#         eta_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      685.91894      6.7225893      534.39121      4.9836606      1110.5776      37.528479
           -4.9       781.4857      7.2162562      609.58376      5.3286182      1252.0365      41.938652
           -4.8      889.22022      8.0815964      694.21903      6.0073172      1400.7829      40.815946
           -4.7      982.31517      8.6205429      766.47269      6.3264915      1559.9475      46.236526
           -4.6      1121.7135       8.619991      874.69884      6.3998137       1753.999      52.701093
           -4.5      1230.7489       9.069085      963.21524      6.7971596      1903.7116       51.72849
           -4.4      1368.4863      9.5947504      1070.1255      7.1356123      2200.6829      53.982601
           -4.3      1487.6201      9.8972149      1165.2314      7.3539253      2283.2396      54.870783
           -4.2      1637.0838      10.958897      1285.6327      8.1703136      2466.6452      49.483707
           -4.1      1794.0867      10.851735      1408.3032      8.1195345      2773.2991      54.834101
             -4      1958.9203      11.308906      1538.6686      8.5122868      2991.7714       60.54041
           -3.9      2136.9283      12.047308      1678.5362      9.0354943      3247.3951      56.263782
           -3.8      2285.6577      12.269482      1797.0493      9.1432029      3434.3369      67.381078
           -3.7      2465.6368      12.769028      1940.8179      9.5798178      3669.4311      68.426967
           -3.6      2611.7362      13.040628      2058.2054      9.7926574      3883.1582      68.663956
           -3.5       2835.165       13.58924      2235.7214      10.451335      4265.8772      68.747604
           -3.4       3005.853      13.916758      2370.8909       10.52327      4354.4398      70.719179
           -3.3      3206.6165      14.443558      2529.8372      11.091205      4695.1951      72.517564
           -3.2      3404.9504      14.680428       2686.238      11.101897      5069.2243      73.946967
           -3.1      3569.7261      15.031485      2816.5913      11.369524      5327.3151      74.861366
             -3      3768.9316      15.441007      2978.6479      11.677014      5521.2666      75.025047
           -2.9      3968.7741      15.842487        3139.02      11.997548      5778.4524      77.280168
           -2.8      4102.2782      16.086045      3246.5892      12.195469      5961.3929      77.824317
           -2.7      4297.4759      16.348471      3399.2947      12.478279      6236.3525      74.965971
           -2.6      4477.7558      16.712867      3546.7569      12.835669      6539.8161      74.111207
           -2.5      4638.2094      16.959303      3672.3224      12.910048      6790.9097      85.858847
           -2.4      4827.2012      17.300019      3824.7789       13.16516      7016.0115      81.677102
           -2.3      4968.5442      17.516893      3940.4403      13.338351      7149.7304      82.011831
           -2.2      5133.6464      17.664829      4071.6913      13.536696      7221.4505      81.696505
           -2.1      5221.5057      17.905726      4146.2576       13.67708      7444.9046       82.43422
             -2      5397.2057      18.012041      4285.2967      13.826969      7612.6354      79.001421
           -1.9      5541.4439      18.266223      4398.0957      13.970794       7772.023      82.724349
           -1.8      5627.3933      18.450309      4473.2769      14.307375      7958.2295      82.425005
           -1.7      5736.7946      18.589373      4561.2598      14.689338       8137.906      77.882967
           -1.6      5812.2654      18.583425      4614.6815      14.247709      8225.0631      79.246615
           -1.5      5894.5972      18.766805      4688.4767      14.449538      8303.5153      84.395146
           -1.4      5974.4454      18.849295      4750.7025      14.515733      8409.8171      79.440755
           -1.3      6019.8539      18.922099      4789.5264       14.55692        8499.97      81.377359
           -1.2      6097.1951      18.995929      4849.6265      14.618521      8545.2377      83.160875
           -1.1      6087.2562      19.671959      4847.7252      15.060222      8401.8844      81.830326
             -1      6116.0514      18.983396      4868.6475      14.642614      8560.9231      72.491688
           -0.9      6141.1419      19.006744      4892.2431       14.64068      8450.9819      80.893982
           -0.8      6143.1319      19.136558      4894.2743      14.755684      8560.2544       79.20099
           -0.7      6156.7349      19.003685      4908.0584      14.870328      8651.2731      81.269312
           -0.6       6152.048      19.066433      4900.9915      14.699481      8576.7438      78.915182
           -0.5        6120.15      18.982817      4882.7831       14.80077      8457.8231      78.641042
           -0.4      6131.4517      19.042193      4889.6371      14.670137      8353.0545      77.835605
           -0.3      6105.3667      18.874047      4871.8637      14.664233      8329.0167      76.415974
           -0.2      6089.6777        18.8277      4858.9137      14.618977      8377.5946      77.721066
           -0.1      6115.8028      18.848633      4877.2309      14.621818      8443.8189      76.407255
              0        6090.44      19.099551      4854.7804      14.687481      8396.3936      75.945275
            0.1       6136.862      19.149806      4893.6457      14.769862      8459.3765      81.237174
            0.2      6167.3848      18.961109      4913.9708      14.702314      8511.1884      75.886714
            0.3      6159.6061      19.068631      4906.6447      14.741082      8589.7529      78.500975
            0.4      6154.9674      19.024691      4903.4835      14.704639      8526.6362      78.169699
            0.5      6143.9995      19.013799      4893.6917      14.655111      8685.3198      74.546204
            0.6      6151.6218       19.17896      4900.6882      14.784418      8591.3476      81.223616
            0.7      6138.0748      19.176548       4893.974      15.589924      8352.1426      77.557443
            0.8      6160.1239      19.083526      4899.0957      14.649223      8641.8359      78.963719
            0.9      6123.6174      19.060433      4880.9653      14.626943      8465.4348      80.049396
              1      6098.4313      19.113082      4857.8001       14.73746      8459.2504      80.311292
            1.1       6098.639      19.162366       4852.061      14.684062      8510.0078      86.339313
            1.2      6043.0648       18.98691      4807.2771       14.78957      8412.0116      77.877502
            1.3      5946.9044      18.953346      4727.7734      14.472965      8364.2801      81.185988
            1.4      5874.9239      18.770651      4670.1242      14.444266      8313.0185      79.768201
            1.5      5833.8971      18.743546      4631.5917      14.350892      8227.7929      81.860885
            1.6      5691.6441      18.612863      4521.8603      14.251016      7977.3526      82.400822
            1.7      5607.6326      18.535734      4453.1207       14.14826      7825.7013      83.055518
            1.8      5504.6461      18.411171      4372.4182      14.078033      7809.8879      79.480078
            1.9      5392.7039      18.241714      4279.9585      13.886875      7688.7311      85.928791
              2      5251.9336      18.103248      4166.6842      13.880786      7536.9258      84.553919
            2.1      5101.0294      17.744708      4046.7068      13.525231      7229.9731      81.605274
            2.2      4986.1694      17.647642      3952.0852      13.445336      7132.2287      77.722128
            2.3      4805.7766       17.55954      3813.0498      13.444059      6844.8532      88.186927
            2.4        4650.63      17.332373      3681.1419      13.092159      6736.5811      80.676763
            2.5       4486.238      16.896875      3551.9725      12.753084      6472.0228       82.05199
            2.6      4277.1423      16.520202      3386.0573      12.527129      6199.3648      82.638977
            2.7      4135.1617      16.237913      3271.9154      12.330317      6087.9188      79.906029
            2.8      3950.9859      16.057644      3121.8261      12.087361      5783.3652       81.49962
            2.9      3762.4325      15.759338      2976.2465      11.850772      5508.5408      80.110376
              3       3554.472       15.26729      2808.8529      11.484094      5205.2249        76.5098
            3.1      3396.1922      14.870209      2679.2551      11.136319      5020.6512      73.066289
            3.2      3189.3998      14.626125      2516.6654      10.923581      4755.4181      73.318373
            3.3      3017.2047      14.168865      2380.7318        10.7226       4639.443      74.861648
            3.4      2853.0562      13.815719      2245.9804      10.287322      4216.7458      71.148197
            3.5      2645.4411      13.368394      2081.5007       10.14592      4072.5906      66.468989
            3.6       2473.421      12.956184      1944.7851      9.6248265      3636.8368      72.713155
            3.7      2292.1618      12.794306       1801.571      9.4757182      3424.9978      64.324063
            3.8      2126.0092       12.17399      1667.8606      9.0252297      3222.5754      62.122019
            3.9      1946.2577       11.56628      1528.8625      8.6075112      2944.0078      61.614872
              4      1772.8028      10.938656      1391.0319      8.1123186      2791.9481      58.555987
            4.1      1640.9381      10.610595      1287.7891      7.9859263      2456.9624      63.455033
            4.2      1495.7674      10.080445      1170.6983      7.4638353      2302.6633      54.430803
            4.3      1372.3957      9.7379425      1073.4192       7.218436      2151.2408      56.301706
            4.4      1228.1696      9.2094004      960.08811      6.7690425      1953.6501      54.247463
            4.5      1100.9641      8.8360381      862.03725      6.4668124      1672.6364      47.868982
            4.6       979.9475      8.2297801      765.55175      6.0939882       1590.803      44.494529
            4.7      875.19504      7.7490418      683.66455      5.7097604       1437.883      43.251061
            4.8      785.23372      7.3408526      611.38232      5.3867827      1336.9238      47.325406
            4.9      698.85614       6.865867      543.83084      5.0497697      1115.4047      39.760391
              5      698.85614       6.865867      543.83084      5.0497697      1115.4047      39.760391
