#      m_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             60      37.794814     0.47911082      29.721567     0.36168178      54.394633      1.9206574
             61      42.073993     0.50771168      33.117704     0.38341056      60.456273      2.1242077
             62      46.627605     0.53519757      36.656105     0.40203316      68.445677      2.4036331
             63      51.490999     0.56944493      40.605965     0.42673696      73.257593      2.8590364
             64      57.657614     0.59882167      45.580862     0.45504093      82.755567       2.810459
             65      65.623658     0.63595559      51.660171      0.4774294      95.142465      3.1175272
             66       75.61508     0.70361293      59.556613     0.52753174       108.0634      3.1698541
             67      86.848187     0.73889082      68.490128     0.55912785      119.15557      3.5597349
             68      102.84113     0.79597173      81.472857     0.60922416      149.07682      3.7974191
             69      122.00048     0.88717066      96.366778      0.6889286       178.0052      4.1072101
             70      146.84657     0.95133704      115.81787     0.71861556      215.17708      4.3702566
             71      181.43866      1.0636204      143.53703     0.80536022       256.5606      5.2040238
             72      229.81155      1.1922472      181.91223     0.93591162      326.40681      5.7017381
             73      299.28212      1.3471675      236.56366      1.0274636      431.43184        5.98687
             74      403.73862      1.5836197      319.22532      1.2066728      583.43676      7.2235969
             75      580.18282      1.9067006      459.40014      1.4453276      841.72599      8.8045112
             76      888.36633      2.3265558      703.74961      1.8101553      1271.6709      11.001179
             77      1538.7162      3.0605878      1219.9162      2.3373658      2197.1587      14.521284
             78      3146.2053      4.3476009         2492.3      3.3022858      4526.6139      20.916303
             79      7675.3684      6.4782397       6082.376       4.911266      11079.883      31.812103
             80       11893.48      7.7497971      9430.9148      5.8890083      16991.737      39.368633
             81      6223.6352      5.9132128      4938.0227      4.4970331      8920.7492      28.641671
             82      2589.6722       3.930631      2054.5056      2.9971732      3709.1977      18.353263
             83       1302.551      2.8573736      1034.2368      2.1774179      1845.9694      13.120357
             84      770.13287      2.1855818       611.6949      1.6689768      1100.1764      9.7228899
             85      507.98159       1.789509       403.7795       1.369612      726.12037      8.2073491
             86      358.15631       1.483113      284.64881      1.1537014      515.87192      6.5697947
             87      264.23255      1.2727677      210.30386     0.97511331      375.02115      5.1867572
             88      202.74607      1.1343447      161.06186     0.86552981       287.5312       5.070272
             89      160.40563      1.0009922      127.54175     0.76411819      226.08235      3.8212674
             90      128.48934     0.90346482       102.3119     0.67886824       187.3492      3.5772698
             91      107.95098     0.81646531      85.886854     0.62334628      158.22885      3.5897272
             92       88.89322     0.73526794      70.782558     0.56405674      123.28252      2.7924537
             93      76.076532     0.70439254       60.56047     0.53445069      107.74007       2.857231
             94      66.316702     0.63873117      52.793723     0.48811362        95.2609      2.9813004
             95      56.642037     0.58988905      44.977447     0.44999927        77.3794      2.9006859
             96       49.45569     0.55836276      39.543627     0.43243507      72.181453      2.1782426
             97      42.650981     0.51205268      34.093478     0.39442343      59.553771      1.8898644
             98      39.452408      0.4911348      31.522328     0.38267986      55.203164      2.4917298
             99      34.805209      0.4604374      27.717406     0.35660533      48.993807      1.7186062
            100      31.207748     0.44080806      24.893355     0.33861012      40.671413      1.8926175
            101      27.563227       0.416751      22.030494     0.32240676      40.626645      1.8456177
            102       25.36041     0.39410531      20.236999     0.30251154      36.152481      1.5577481
            103      23.218928     0.37635955       18.50312     0.28773213      32.252457      1.5988468
            104      21.080269     0.35851001      16.851974     0.27505444      29.744293      1.8970529
            105      19.297426     0.34399654      15.371312     0.26396752      27.480654      1.6140393
            106      17.270207     0.32669401      13.804992     0.25052149      23.171688      1.3311746
            107      16.747116     0.32799851      13.401567     0.25274607      25.371187      1.6351932
            108      15.683684     0.30790642      12.510602     0.23800597      21.844837      1.1256228
            109      14.012334      0.2994557      11.245022     0.23056343       17.16948     0.62063881
            110      13.212718     0.28840989      10.550665      0.2177845      19.068469      1.5803894
            111      12.431995     0.27770988      9.9417191     0.21319511      18.883645      1.4698144
            112      11.408398     0.25913592      9.0919081     0.20127548      15.770523      1.5466054
            113      10.537793     0.25869017      8.5022811     0.19850549      14.083918      1.0251942
            114       9.981072     0.24853958      7.9955695      0.1921428      13.833021     0.83329694
            115       9.805775     0.24593192      7.8238651     0.18862299      12.917293     0.82133099
            116      8.8284112     0.22699902      7.0407643     0.17765885      13.019616     0.78309945
            117       8.693517     0.23260403      6.9424379     0.17842922      11.878396      1.0694256
            118      8.2125217     0.22093589      6.7165477     0.21823729      12.219334      1.0894388
            119       7.299825     0.21108031      5.8788586     0.16403087      9.8437377     0.50320632
            120       7.299825     0.21108031      5.8788586     0.16403087      9.8437377     0.50320632
