#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      277.86211     0.66059424      213.42043     0.47251097      528.67061      5.1142254
              5       687.4793      1.0006842      531.63586     0.72422501      1216.1621      7.1184697
             10      846.60014      1.0700105      660.07623     0.78790382      1373.3382      6.6121387
             15      847.29262      1.0386982      664.99162     0.77594803      1292.1414      5.4843941
             20      775.08696     0.97148556      611.98664     0.73581862      1112.5439      4.5908621
             25      684.52843     0.90011849      542.77178     0.68607085      959.90395      3.7170165
             30      591.80365     0.82573981      471.04598     0.63988076      804.56576      3.0376731
             35      508.47541     0.76615346      405.52602     0.59364264      675.71459      2.5690214
             40      432.22652     0.68940529      345.63868     0.53717222      567.14954      2.1076195
             45      369.31751     0.63266277      295.71908      0.4959063      482.56738      1.7164803
             50      314.38423     0.58076768       252.1011     0.45641515      405.72407      1.5762851
             55      265.95281      0.5321232      213.56831     0.42292644      341.18017      1.3225396
             60       228.3594      0.4929431      183.48254     0.38773017      291.38237        1.14115
             65       194.7785     0.45666998      156.77007     0.37527159      246.48229      1.0409402
             70      165.51647     0.41400675      133.25936     0.32786286      211.35942       0.882542
             75      143.26381     0.38273635      115.44952     0.30591439      180.76709     0.87840285
             80      123.25862     0.36128778      99.318077     0.28539958      155.68195     0.72725281
             85      105.24037     0.32886667      84.915868     0.26078807      133.97137      0.7349421
             90       91.83247     0.30688585       74.14748     0.24360834      115.49835     0.57975866
             95      79.904792      0.2845819      64.440355     0.22621595       101.2074     0.51807186
            100      69.292691     0.26643896      55.983086     0.21192885      87.071367     0.55595781
            105      59.885942     0.24547403      48.322821     0.19617962       75.47588     0.33986209
            110      52.292431     0.23484182      42.226745     0.18654134      65.978986     0.42468084
            115      46.028096     0.21518408      37.245661     0.17977693      57.814138     0.30641562
            120      40.125151     0.20053888      32.385539     0.16009785      50.544252     0.27882545
            125      35.578078     0.18961265      28.648417     0.15067207      44.770996     0.26838556
            130      31.076947     0.17897497      25.052483     0.14300388      39.163188     0.24518363
            135      27.517635     0.16567117      22.155687      0.1319496      34.731801       0.224619
            140      24.471997     0.15955887      19.693237     0.12635494      30.860988      0.2196981
            145      21.840054     0.14715855      17.531311     0.11673138      27.688064     0.20972951
            150      19.217618     0.13993595      15.450243     0.11087796      24.253512      0.1940766
            155      17.283141     0.13096195      13.877164     0.10471472      21.868823     0.18779071
            160      15.254002     0.12487491      12.237138    0.098744384      19.331521     0.17143191
            165      13.810435     0.11742239      11.078026    0.092670074      17.444763       0.178305
            170      12.134683     0.10858431      9.7355389    0.087893258      15.322756     0.15380827
            175      11.065212     0.10381432      8.8761528    0.082644288      14.040438        0.14933
            180       10.05533     0.09996927      8.0474728    0.078895957      12.741511     0.13636528
            185      9.0395237    0.095232571      7.2507481     0.07601662      11.395207     0.14065106
            190      8.1307648    0.089463145      6.5111226    0.071624438      10.309074     0.12603592
            195      7.2790061    0.084350963      5.8346643    0.067153542      9.1885316     0.11736461
            200      6.5758246    0.080019987      5.2538336    0.063007078      8.3506962     0.10803686
            205      6.1844614    0.078841719       4.957552    0.062633225      7.8244964        0.10961
            210      5.4860598    0.072689041      4.3878976    0.057394599      6.9518917    0.098847078
            215      5.0940424    0.070286103      4.1037554    0.067355276      6.3916239     0.13099232
            220      4.4422742    0.065914569      3.5351685    0.051948798       5.671766    0.091405998
            225      4.1923953    0.063811821      3.3372223    0.050196388      5.3419967    0.086500187
            230      3.8277276    0.081936413      3.0463195     0.06083757      4.8831634     0.11786256
            235      3.5446677    0.061578289      2.8306962    0.047847541       4.497542    0.085309523
            240      3.2246443    0.056138922      2.5678726    0.044017921      4.1055888    0.076413158
            245      2.8744599    0.055718196      2.2951724    0.043717954      3.6245624    0.073542747
            250      2.7257316    0.051710342      2.1596165    0.040200394      3.4913681    0.070130589
            255      2.5489452    0.050728772      2.0183427    0.039453497      3.2706661    0.069346141
            260      2.3025798    0.048243201      1.8307744    0.038049114      2.9467239    0.066190705
            265      2.1332101    0.045357588      1.7029341     0.03566569      2.7040387    0.062516097
            270      1.9706227    0.043759056      1.5721336    0.034236049      2.4994921    0.059815134
            275       1.801169    0.048393511      1.4248595    0.036186926      2.3124994    0.069256882
            280      1.6467824    0.040773348      1.3065591    0.031713452      2.1043042    0.056094457
            285       1.585846    0.040835533      1.2578794    0.031535317       2.035162    0.057353539
            290      1.4340921    0.039003148      1.1380597    0.030053527      1.8317606    0.053746867
            295      1.3410115    0.035877299      1.0592701    0.027852687      1.7217897     0.04869983
            300      1.2081484    0.034371966     0.95839793    0.026720086      1.5432619    0.047504558
            305      1.1500093    0.037194822     0.91516376    0.028338912      1.4607361    0.052016549
            310      1.0466041    0.032785692     0.83638325    0.025212166      1.3235367    0.046739438
            315     0.98422616    0.032481067     0.78108299    0.024981865       1.257705      0.0450916
            320     0.92329984    0.030194501     0.72673839    0.023415177      1.1925711    0.041453946
            325     0.86823494     0.02929691     0.69131246    0.022826665      1.1031059    0.040312912
            330     0.77863976    0.027360198     0.62011388    0.021639285     0.98801621    0.036710023
            335     0.75212956    0.026925367      0.5972401    0.020944562     0.95631794    0.036452648
            340     0.73210596    0.026646794      0.5824689    0.020784793     0.92986155    0.036168167
            345     0.61956244    0.026117023     0.48434719    0.019959667      0.8240062     0.06104958
            350     0.60839152    0.040128282     0.47391824    0.028368317      0.7942239    0.059374049
