#pt_bbZ-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1010.1241        1.54681      767.38795      1.0657512      2407.9266      14.216694
              5      1093.3441      1.1978948      861.65401     0.90509292        1532.69       2.316515
             10      869.62743     0.97576141      689.77827     0.75641585      1151.0927      1.5349638
             15      712.28271     0.85161714      566.56953     0.66760986      925.45745      1.2187622
             20      595.73221     0.76405965      474.50347     0.60134129      767.37131      1.0741116
             25       501.7871     0.69520666      400.07794     0.55724425       643.4336     0.95576224
             30      426.17161     0.63640388      340.10074      0.5051568      544.89098     0.86718222
             35      363.08126     0.57974836      289.80817     0.45926444      463.55808     0.77967242
             40       310.6201     0.53264686      247.97335     0.42239483       396.0696     0.71450716
             45      265.19708     0.49170465      211.71433     0.39177501      338.05278     0.65784274
             50      228.52842     0.45788908      182.47428     0.36399244      291.07412     0.61043586
             55      196.32261     0.41887453      156.82355     0.33501891      249.78973     0.56305273
             60      169.35333     0.38764292      135.28152      0.3085915      215.55037     0.52860953
             65      145.99475     0.35906884      116.68895     0.28556481      185.58975     0.47962886
             70      125.89963     0.33349754       100.6986     0.27327665      159.90418     0.45401696
             75      108.85064     0.31193502       87.05846     0.24910424      138.22522     0.42221945
             80       95.23187     0.28947807      76.134952     0.22994406      120.99328     0.38637034
             85      82.643405     0.27793663      66.029034     0.21921729      105.11847     0.37503419
             90       72.40223     0.25161763      58.001747     0.20099136        91.7573     0.34736573
             95      63.242312     0.23443171      50.555789       0.185806      80.363404      0.3123236
            100      55.127069     0.21879859      44.104994     0.17372429      69.982864     0.29211529
            105       48.02354     0.20332423      38.459005     0.16176364      60.840182     0.27189138
            110      42.691596     0.19590213      34.110312     0.15435909      54.191228     0.26470147
            115       37.26776     0.17922717      29.722091     0.14130856      47.399039     0.24086795
            120      33.237304     0.17044636      26.506048     0.13435367      42.269763     0.23031587
            125      29.531103     0.15981511      23.518682     0.12543504      37.618251     0.21538156
            130      26.008908     0.15072342      20.699122     0.11827902      33.153027     0.20387235
            135      23.162479     0.14213235      18.449959     0.11208968      29.492055     0.19372733
            140      20.176922     0.13205476      16.077292     0.10402072      25.661054     0.17925819
            145      18.443304     0.12765358      14.647812    0.099826425       23.56164     0.17351061
            150      16.186727     0.12003806      12.864349    0.094285345       20.64698     0.16427773
            155      14.465732     0.11410444      11.502283    0.089443891      18.432931     0.15773999
            160      12.885571     0.10576202      10.275953    0.084575745      16.351822     0.14884994
            165      11.720792     0.10101207      9.3126341    0.079376592       14.94646     0.14010961
            170       10.42273    0.096105927      8.2529491    0.074983243      13.353343     0.13164272
            175      9.6480102    0.091269462      7.6439982    0.071418065      12.343794     0.12484767
            180      8.3827871     0.08469535      6.6325286    0.066191197      10.743709     0.11594185
            185      7.4871613    0.080667387      5.9306355    0.062813119      9.5713176      0.1108297
