# pt_bbZ-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.21687528    0.014287197      0.1673601    0.010878391     0.29628681    0.020560245
              5     0.78871087    0.028336167     0.60257962    0.021372853      1.0782845    0.040590195
             10      1.4528195    0.039105947      1.1135706    0.029252969       1.967964    0.056523745
             15      2.1039507    0.045661927      1.6012133    0.034262979      2.8661385    0.065325717
             20      2.8772216     0.05238582      2.1840877    0.039678487      3.9242882    0.074679721
             25      3.4600156    0.056455967      2.6223721    0.042387454       4.719095    0.080229316
             30      4.3114325    0.089450722      3.2654619    0.063707206      5.8774463     0.13225353
             35      4.8637444    0.068323438      3.6967662    0.051932338      6.6015332    0.097987483
             40      5.4423389    0.077571927      4.1451901    0.058996595      7.3702029      0.1138474
             45      6.1137975     0.07806926      4.6321323    0.058423868      8.3238194     0.11059157
             50      6.7334015      0.1000893      5.1065581    0.073137317      9.1536285     0.14485264
             55      7.1795598    0.088905106      5.4699478    0.067284853      9.7055279      0.1261289
             60      7.7676627     0.08495055      5.9171862    0.064297724      10.498317     0.12075643
             65      8.2139928    0.087295895      6.2651792    0.066131085      11.083735     0.12275595
             70      8.7724785    0.090888594      6.7093322    0.068790442      11.796016     0.12797326
             75       9.309071     0.10126247      7.0990633    0.074413298      12.562971     0.14730861
             80      9.6027746    0.096920128      7.3446857    0.073102209      12.907678     0.13593265
             85      10.237568     0.11925366      7.8372936    0.087123848       13.74618     0.17273509
             90      10.705698    0.098045184      8.2565414    0.075212294      14.239362     0.13630747
             95      11.266442     0.10052534      8.6934184    0.076989559      14.968743     0.13977938
            100      11.814913     0.10346147      9.1434974     0.07920904      15.637041     0.14318074
            105      12.835591      0.1068952      9.9789071    0.082415224        16.8843     0.14740688
            110       13.87146     0.11422172      10.829781    0.088392364      18.142114     0.15915958
            115      15.168834     0.11992225      11.883692    0.092409587      19.742091      0.1657948
            120      17.572502     0.12644598      13.847779    0.098186831      22.692916     0.17359385
            125      18.045425     0.12586638      14.279535    0.098277533      23.169307     0.17083439
            130       17.92506     0.12777979       14.21273     0.10304277      22.945683     0.18112588
            135      17.789883     0.12701749      14.099132      0.0993021      22.784503     0.17402528
            140      16.636994     0.12264547      13.267068     0.10937993      21.123567     0.18391784
            145      15.920078     0.12030523      12.597286    0.093629855      20.421945     0.16434442
            150      14.692493     0.11671484      11.646497    0.091381273      18.791388     0.16046635
            155      13.777851     0.11501161       10.91687    0.089260089      17.629219     0.15898287
            160      12.777215     0.10784662      10.145881    0.084931424      16.297112     0.14984912
            165       11.87668     0.10369521      9.4117098    0.081121563      15.189449     0.14403039
            170      10.896224    0.099858314       8.614897    0.077817392      13.977501     0.13687451
            175      10.312276    0.095410677      8.1566452    0.074562991      13.213771     0.13032436
            180       9.181089    0.091795292      7.2568854    0.071552755      11.771951      0.1267193
            185      8.4010909    0.086897787      6.6270207    0.067338713      10.793236     0.11936764
            190      7.7865648    0.084103972      6.1330904     0.06517665      10.027899     0.11672495
            195      7.2725955    0.081240666      5.7544163    0.063534639      9.3069448     0.11261971
            200      6.7561272    0.078524038      5.3542617    0.061426631      8.6240742     0.11063432
            205      6.1707626    0.074589614      4.8890503    0.060647278      7.8780245     0.11055679
            210      5.6764223    0.073237781      4.4785552    0.056335371       7.287282     0.10095494
            215      5.0924509    0.070253482      4.0334779    0.054346869      6.4991698    0.098879735
            220      4.7130155    0.065741948      3.7172948    0.050770892      6.0514247    0.090803874
            225      4.5164672    0.064113838       3.551991    0.049285613      5.8195965    0.088333908
            230      4.0887335     0.06091598       3.213469     0.04714704       5.272999    0.084583679
            235      3.7362293    0.079352458      2.9371122    0.057867369      4.8157738     0.11502471
            240      3.4353968    0.055612662      2.7058001    0.042904369      4.4157495     0.07761749
            245       3.160967    0.053220975      2.4831827     0.04103671      4.0777694    0.072904862
            250      2.9650685    0.057825425      2.3296678    0.043422427      3.8217246    0.083102117
            255      2.7638816    0.051555813      2.1781923    0.039575548      3.5485948    0.073313524
            260      2.4874322    0.047428309      1.9601192    0.036752044      3.1912685    0.066048694
            265      2.3199157    0.046428644      1.8327831    0.036035519      2.9678518    0.064599393
            270      2.1374924    0.043927272      1.6731196     0.03353305      2.7684018     0.06112654
            275      2.0294253    0.044195808       1.602154    0.033844175      2.5972256    0.062138027
            280      1.8837153    0.041618088      1.4860437    0.032052779      2.4120379    0.058239556
            285      1.7387785    0.039974819       1.373009    0.031261813      2.2238416    0.057846127
            290      1.5433068    0.037286609      1.2127921     0.02862836      1.9857993    0.051708301
            295      1.4539808    0.036499404      1.1382436    0.027836563      1.8815226    0.050878877
            300      1.4222217    0.036050835       1.118155     0.02761832      1.8297216    0.050729308
            305      1.2318114    0.033804601      0.9819366    0.026305203      1.5532195    0.048295741
            310      1.1899724    0.033621933     0.93110163    0.025505426      1.5402824     0.04717115
            315      1.1199561    0.032028472     0.87056329    0.024278196      1.4628785    0.044870531
            320      1.1078564    0.036202452     0.87192712    0.027274735      1.4215428    0.052515218
            325     0.89165136    0.029179951      0.7022839    0.022056299      1.1430875    0.042166707
            330     0.94277549    0.028976819     0.74351753    0.022158976      1.2068353    0.041183303
            335      0.8844149    0.028522375     0.69736817    0.021987306      1.1313759    0.039833342
            340     0.76025401     0.02635806     0.59940795    0.020020013     0.97194148    0.037391013
            345     0.79165423    0.026005362     0.62413515    0.020710675       1.012149     0.03701812
            350     0.68111041    0.024995196     0.53606965    0.019212448      0.8738309    0.034938935
            355     0.65966081     0.02652579      0.5189281    0.019898508     0.84534036    0.038234114
            360     0.59902834    0.024140844     0.49270952    0.026523035     0.71991958    0.056117891
            365     0.54472246    0.029635818     0.42611875    0.021380089     0.70401759    0.043516666
            370     0.50736242    0.021841196     0.39696084    0.016682139     0.65545858    0.031291632
            375     0.54040661    0.023357501     0.42200602    0.017648715     0.69967794     0.03306591
            380     0.44829214     0.02041028     0.35098275    0.015475125     0.57786187    0.029083218
            385     0.44711913     0.02014441     0.34627129     0.01522997     0.58520869    0.028173136
            390     0.44383315     0.02070979     0.34781228    0.015756779     0.57216797    0.028975637
            395     0.36093173    0.018535293     0.29308883    0.016865264     0.43906805    0.037357594
