#  pt_bbZ-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.5627394    0.038913979      1.2414598    0.030528191      2.0993966    0.064043294
              5      5.2737575    0.072079489      4.1493249     0.05610517      6.9620664     0.09925403
             10      9.8003609    0.098108507      7.6953824    0.078658705      13.006198     0.17477677
             15      14.555493     0.11838536      11.423101    0.092498485      19.105518     0.16216107
             20      19.990893     0.14081687      15.661319     0.10919528      26.244146     0.19334438
             25      25.393158     0.15435068      19.889554     0.12011621      33.309811     0.20967441
             30      31.781608      0.1825454      24.889814     0.14047945      41.665358     0.25079151
             35      37.731253     0.18758061      29.628892     0.14655947      49.349217     0.26510627
             40      45.040713     0.20546422      35.402326     0.16092914      58.724235     0.27837908
             45      53.177764      0.2228483      41.857625     0.17463129      69.205578     0.30266887
             50      63.345645     0.24772998      50.097722     0.19393878      81.858059     0.33626115
             55      74.120669      0.2610146      58.821975     0.20606782      95.293799     0.35209009
             60      89.453809      0.2840029      71.348573     0.22658285      114.26525     0.39542571
             65      95.096707     0.29596689      75.975245     0.23498275      121.10798     0.39603543
             70      95.232515     0.29333533      76.249511     0.24283936       120.9504     0.40096116
             75      90.971534     0.29040784      72.813428     0.23199151      115.55415     0.39322873
             80      85.331085     0.27682447      68.329255     0.22017682      108.31822     0.36850753
             85      78.483326     0.27370332      62.773596     0.21553207      99.700351     0.36835016
             90      71.655082     0.25224139       57.40469      0.2024557      90.730649     0.34396142
             95      64.876138     0.24039307      51.795277     0.19028352      82.495094     0.32271133
            100      58.098968     0.22735718      46.355516     0.17996064      73.902706     0.30654924
            105      51.981405     0.21427808      41.480952     0.16979976      66.098199     0.28902247
            110      46.802806     0.20793006      37.287757     0.16335292      59.618353     0.28170031
            115      41.584428     0.19453193      33.076351     0.15248224      53.058741     0.26246455
            120      37.382578     0.18321753      29.741942     0.14445875      47.670723     0.24811332
            125      33.205722     0.17170878      26.370824     0.13441978      42.442334     0.23139143
            130      29.466496     0.16284962      23.414186     0.13015468      37.619435     0.22618855
            135      26.545461     0.15445663      21.088081     0.12156332      33.902471      0.2106092
