# pt_bbZ-zoom-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      3.0250724      0.1241838      2.4192272    0.098194877      3.9179347     0.17056419
              1      9.9086198     0.23124496      7.9345558     0.18140035      14.198383     0.67846531
              2      17.248654      0.3028423      13.812221     0.24368078      22.652777     0.43331159
              3      25.393559     0.36830325      20.254051     0.28814861      33.316733     0.51326529
              4      34.781321     0.43105243      27.754959     0.34207787      45.395466     0.59331022
              5      44.606676       0.489099      35.565116     0.38870175       58.29517     0.68399392
              6      54.296978     0.53511975      43.017328     0.41784251      71.375516     0.73873417
              7      66.511308     0.59391259        52.6031     0.46276602       87.48387     0.81921488
              8      80.385768     0.67695178      63.605744     0.55152601      105.60119     0.91305607
              9      91.978412     0.69545434      72.937625     0.54683402      120.38636     0.96115191
             10       106.8024     0.74894775      84.559533     0.58554349      139.68382      1.0302621
             11      123.22235     0.80159589      97.594145     0.63390605      161.47988      1.1345308
             12      139.43793     0.85497031      110.22871     0.66715968      183.80151      1.4329291
             13      156.37727     0.90327767      123.86328     0.70950068      204.09306      1.2407856
             14      174.61283     0.95378774       138.4658     0.75035992      227.11036      1.3138233
             15      194.30491      1.0038955        154.093     0.78655921       253.0743      1.4054732
             16      217.32442      1.0595631      172.24005     0.83086545      282.93487      1.4823353
             17      239.78919      1.1127092      190.22615      0.8711028      311.47324      1.5253313
             18      262.63275      1.1649454      208.72102      0.9363133      340.29109      1.6106707
             19      281.95231      1.2015351      224.25754     0.95019193      363.82398      1.6639958
             20      320.37198      1.2792607      254.84737      1.0086015      413.04464      1.7592824
             21      340.71665      1.3124755      270.97558      1.0313187      438.71919      1.9378439
             22      362.89796      1.3659265      289.10714      1.0799123      466.62493      1.9167272
             23       381.0635      1.3850719       303.5608      1.0950411      490.70012      1.9528173
             24      393.06948      1.4057916      313.04216      1.1116809      506.11277      1.9147446
             25      402.60845      1.4192804      321.13317      1.1249399      516.75083       1.914426
             26      407.57745       1.425754      324.78397      1.1264104      523.57227      1.9272815
             27      411.71932      1.4379955      328.34389      1.1381522      528.16887      1.9773139
             28      413.18889         1.4305       329.7751      1.1311932      529.65249      1.9840495
             29      413.52581      1.4284595      329.90293      1.1291564      529.20064      1.9616056
             30      411.56472      1.5044348      328.45585      1.1887727      526.59015      2.0585477
             31      409.03233      1.4145539      326.54721      1.1209051      523.49855      1.9056987
             32      403.39418      1.4058888      322.09201      1.1170146      515.85228      1.8854073
             33      396.84991      1.3910684      316.86719      1.1048752      507.91778      1.9414869
             34       390.9265      1.4195936      312.30877      1.1305123      499.43066      1.8982515
             35      384.10811      1.3651242      306.84447      1.0830808       490.8425      1.8372393
             36      375.30128      1.3437299      299.72688      1.0689763      479.55306      1.8047505
             37      367.58215      1.3312856      293.45771      1.0551197      470.09157      1.8128231
             38      358.09206      1.3108351      286.39517      1.0434502      456.64453      1.7619005
             39      349.51149      1.2949129      279.21418      1.0254608      446.05988      1.7401051
             40      340.64873      1.2708215      272.08953      1.0083453      434.90733      1.6965542
             41      330.44901      1.2504675      263.98518     0.99375876      421.54106      1.6764815
             42       320.2995      1.2348627      255.90648     0.97778708      408.46574      1.6488451
             43      310.55947      1.2078513      248.13301     0.95809824      395.99643      1.6185323
             44      302.06984      1.2003113       241.3619     0.95783216      385.19866      1.6014881
             45      293.88533      1.1835181      234.81923     0.96224368      374.77925      1.5802632
             46      283.71345      1.1614982      226.72675     0.92022632      361.62547      1.5499494
             47      274.68024      1.1343181       219.6051     0.89972185      349.86252      1.5110976
             48      266.76178      1.1221663       213.0444     0.89347255      340.48755      1.4990051
             49      261.13193      1.1021661      208.69557     0.87613381      332.75478      1.4624206
             50      261.13193      1.1021661      208.69557     0.87613381      332.75478      1.4624206
