# dy_bbZ-j1-ptj        central        num_err    min (scale)        num_err    max (scale)        num_err
# 120
             -8     0.19142224    0.085602347     0.13384941    0.060267979       0.292438     0.13237315
           -7.9    0.038284448    0.038282533    0.031927165    0.031925569    0.047042321    0.047039969
           -7.8     0.15313779    0.076565067     0.11817421    0.059358864     0.20339764     0.10231479
           -7.7    0.038284448    0.038282533    0.030220472    0.030218962    0.048887793    0.048885349
           -7.6     0.15313779    0.076565067    0.097176182    0.049112837     0.25992421     0.13177536
           -7.5     0.11485334    0.066307293    0.098145669    0.057472728     0.13191535    0.078913362
           -7.4    0.076568896    0.093772673    0.051030512      0.1243385    0.089746063    0.089856702
           -7.3     0.15313779    0.076565067     0.10838484    0.054247614     0.22647047      0.1133182
           -7.2     0.19142224      0.1148476     0.13478149    0.077265724     0.29839075     0.18855277
           -7.1     0.42112893     0.13802964     0.27727953    0.090888571     0.67722639     0.22279742
             -7     0.37046357     0.16860904     0.24387106     0.11295043     0.59924803     0.27268024
           -6.9     0.72740451     0.18359658     0.53753642     0.13327825      1.0267795     0.26837583
           -6.8      0.8039734     0.19141267     0.58752264     0.13881943       1.145689     0.28119508
           -6.7      1.1502933     0.22353213     0.83189075      0.1593706       1.661503     0.33445925
           -6.6      1.0336801     0.22648252     0.78022145     0.15898742      1.4183947      0.3452599
           -6.5      1.4165246     0.23907434      1.0023809     0.16937602      2.0982224     0.35868685
           -6.4      1.7683494     0.29755978      1.2974596     0.21033389      2.5109291     0.44924377
           -6.3      2.2339468     0.31248219      1.6748248     0.23347995      3.0756201     0.43895213
           -6.2      2.0384114     0.31458623      1.6004957     0.23588111      2.6433376        0.44629
           -6.1      2.4457243     0.36440086      1.8605246     0.26400018       3.334696     0.54334439
             -6      3.2924625     0.37897697      2.5918653     0.28347367      4.2340984     0.56767618
           -5.9       4.019867       0.428009      3.1243387     0.31443547      5.3267746     0.64718943
           -5.8      4.4129605     0.45634989      3.4471301     0.34255996      5.7950463     0.67695341
           -5.7      6.6631337     0.54349727      5.0235039     0.40230992      9.1111758     0.77498111
           -5.6      6.3450284     0.53654211      4.8497146     0.39887259      8.5430984     0.76241893
           -5.5      6.5772302     0.55581564      5.0519385     0.40754746      8.7911191     0.81489203
           -5.4      7.5375697     0.57857398      5.7965325     0.43222684      10.065353     0.82838909
           -5.3      10.550465     0.69643113      8.0861516     0.51621904       14.12896      1.0011111
           -5.2      11.524621     0.69515412      8.7759341     0.52521694        15.6007     0.97757346
           -5.1      15.058448      1.3476564      11.387622     0.97480424      20.485612      1.9369284
             -5      16.558309     0.86970357      12.744697     0.66661101       22.11905      1.2793323
           -4.9      17.966339     0.88133648      13.682729     0.65889938      24.297724       1.251874
           -4.8      19.471322     0.90576583      14.865079     0.67950011      26.235521      1.2803153
           -4.7      21.393938     0.96087613      16.321635     0.72414433      28.874489      1.3755374
           -4.6      25.619317      1.0908696      19.499558     0.80737192       34.67051       1.566459
           -4.5      30.543866      1.1418133       23.94588     0.93066504      39.790835      1.7373613
           -4.4      33.768708      1.1941297      26.260205     0.91293692      44.389361       1.706657
           -4.3      40.051436      1.3030061      30.689229     0.97934128      53.708276      1.8406192
           -4.2      39.311124      1.2830397      30.240175     0.97179309      52.393777      1.8008552
           -4.1      47.045211      1.4118528      35.801581      1.0584206      63.595569      1.9990505
             -4      51.537288      1.4677626      39.546933      1.1104558      68.933466      2.0612942
           -3.9      59.696956      1.6353449      46.472385      1.2530782      78.451433       2.382831
           -3.8      64.664346      1.6687151      49.958368      1.2749669       85.76324      2.3607429
           -3.7      70.204862      1.9789608      54.454019      1.4696612       92.53782      2.8318804
           -3.6      82.003728      2.0725678      63.647759      1.8623751       107.9715      3.7178042
           -3.5      85.822889      1.9210532      66.370515      1.4610677      113.58173      2.7296839
           -3.4      99.987493      2.2140459      76.839749      1.6594728      133.36649      3.1236692
           -3.3      105.85158      2.1219875      82.394555      1.6669279      138.70624      3.1153402
           -3.2      115.25161      2.4209567      88.922064        1.81354      152.94574      3.4204226
           -3.1      127.75362      2.3517916      98.909919      1.7922168      168.85255      3.2766121
             -3      133.99765      2.5238126      103.82933      1.9067542      176.85064      3.5504493
           -2.9      151.02326       2.538958      116.98046      1.9323254      199.40184      3.5371668
           -2.8      160.86143       2.638626      125.42082      2.0252007      210.62394      3.6911873
           -2.7      175.60023      2.7278438      136.23338      2.0830102      231.34652      3.8062969
           -2.6      188.35484      3.2689152      147.01309      2.5427362      246.19628      4.4802505
           -2.5      206.49448      3.1515887      160.78977      2.3851498      270.69229      4.4578041
           -2.4      218.98689      3.6600267      170.51791      2.7182877       287.0604      5.2156007
           -2.3      233.57336      3.1818025      182.53497       2.440759      304.76839      4.4557122
           -2.2       251.9028      3.2682339        196.651      2.5110663      329.16473      4.5300995
           -2.1      274.02393      3.4011994      214.02809      2.7371141      357.76859      5.1415165
             -2      281.12449      3.4887987      220.76752       2.712646      364.60076      4.9607361
           -1.9      300.29432       3.622392      234.61704      2.7835826      392.00786      5.0890396
           -1.8      309.61269       3.632247      242.50904      2.8015742      402.90185      5.0085994
           -1.7      333.01032      3.9078743      260.87124      3.0032531      433.35386      5.4977968
           -1.6      350.04988      3.9217501      275.71035      3.1687327      451.83942      5.9652413
           -1.5      355.43953      3.9235459      278.23852      3.0348486      462.93377      5.5035591
           -1.4      374.50302      4.0615139      294.73653      3.1548393      484.27037      5.7032482
           -1.3      385.67641      4.0267734      303.52035      3.1232073      498.73774      5.6135921
           -1.2      401.47998      4.5526065      316.57353      3.8815423      518.07594      7.5621158
           -1.1      417.00221      4.3423084      327.48046      3.3331877      540.92359      6.0816789
             -1      423.61029      4.1930389      332.79318      3.2605314      549.10312      5.7798324
           -0.9      436.32233      4.3291196      345.16281      3.4002837      560.41122      6.1143499
           -0.8      446.63367      4.3033454      351.62835      3.3401222      577.42901      5.8859602
           -0.7       462.2643      4.3988235      365.08009      3.5432942      595.04478      6.4208014
           -0.6      469.30881      4.4427699      371.07687      3.4603072      602.97902      6.1140915
           -0.5      462.30235      4.3923585      365.29035      3.4177765      594.81069      5.9788541
           -0.4      470.30036      4.3970142      371.24148      3.4330568      605.87338      6.0054424
           -0.3      465.76473      4.4179022      368.84716      3.4554581      597.30825       6.060448
           -0.2      453.12471      4.3547098      360.83786      3.4427098      576.73023      6.0614389
           -0.1      449.62342      4.3273757      355.12792      3.3627719      578.56186      5.9262533
              0       457.4175      4.3758603      362.00278      3.4584042      586.90686      6.1917759
            0.1      450.32554      4.3377858      356.14366      3.3791622      578.60028      5.9323596
            0.2      466.21285      4.3786013      367.58474      3.4184918      601.55344      5.9778287
            0.3      466.04475      4.4192309      367.42353      3.4334316      601.32449      6.0424534
            0.4      469.79913      4.4317978      371.98191      3.4739371      602.61804      6.1079206
            0.5      467.20354      4.4501327      370.16946      3.4928587      598.83411      6.1456548
            0.6       448.7359      4.3245466        355.522      3.4187905      575.16132      6.0642572
            0.7      451.44999      4.3955319      354.81255      3.3899229      584.75594      6.0565129
            0.8      435.67336      4.3883331      342.06572      3.3700743      565.27522      6.0679016
            0.9      428.32857      4.2253519      337.44303      3.2892031      552.91909       5.864862
              1      413.68942      4.1735841       324.7889      3.2254903      536.75907      5.7519268
            1.1       405.6046      4.1043844      318.96962      3.2042022      525.01043      5.6544254
            1.2       381.5771      3.9924074      300.45457      3.0994437      492.94716       5.487437
            1.3      375.18903      3.9775378      294.94569      3.0797181      485.82044         5.4515
            1.4      362.99302      3.9561355       285.1024      3.0688361      470.83109      5.5240064
            1.5       347.3976      3.8893666       271.6243      2.9970998      453.00293       5.419709
            1.6      324.26465      3.6797358      254.69987      2.8617205      420.33275      5.1039854
            1.7      316.20465      3.9416109      247.45172      2.9849152      411.95994      5.6018093
            1.8      296.77516      3.5558063      233.10841      2.7622164      384.68526      4.9776494
            1.9      287.21073      3.5073842      224.39212      2.6932373      374.86505      4.8305746
              2      265.17143      3.5664443      207.02067      2.7173591      346.50322      5.0712847
            2.1        250.087      3.2926553      195.10265      2.5265137      327.03184      4.5950092
            2.2       235.7612      3.3220057      184.40426      2.5362431      307.30371      4.6631147
            2.3      218.08686      3.0432176      169.85855         2.3253      285.85219       4.234121
            2.4      202.82931      3.0026203      158.06638      2.2923049      265.65437      4.1838159
            2.5      190.72103      2.8301208      148.32733      2.1696759      250.50529      3.9479929
            2.6      175.43406      3.7662429      135.95111      2.7408095      231.63317      5.4527568
            2.7      167.05581      3.7954176      129.89136      2.7827863      219.52394      5.4896653
            2.8      153.50187      2.9466876      118.71967      2.1785869      203.15746      4.2356068
            2.9      138.29512      2.4874175      108.15614      1.9457798      180.31174      3.5768383
              3      127.78629      2.3916499      99.773692      1.8705687      166.93319      3.4772905
            3.1       115.2808      2.4585945      89.358927       1.838162      152.04435      3.4858422
            3.2      108.88719      2.1315229      83.913659      1.6301368      144.71239      2.9871603
            3.3      100.84137      2.6215796       77.70974      1.9334949      133.96276      3.8651684
            3.4      86.007972      1.9167018      66.303275      1.4526033      114.35158      2.7071376
            3.5      83.030831      3.9730647      63.766711      2.7565948      110.85273      5.9686721
            3.6      73.159423      1.7939415      56.583016      1.3574641       96.81348      2.5337126
            3.7       66.74357      1.6759682      51.876688      1.3653732      87.856948      2.4853938
            3.8      57.876321      1.5591325      44.404956      1.1811855      77.329273      2.1759582
            3.9       54.52452      1.5245902      42.049104      1.1612884      72.432374      2.1605219
              4      46.367973      1.3973097      35.479019      1.0502896      62.296514      1.9787695
            4.1      41.461727      1.3227793      32.140249      1.0256354      54.615681       1.989663
            4.2      38.138171      1.2738802      29.398404     0.95794666      50.729477      1.8135537
            4.3      32.589528      1.1841365      25.091619      0.8910724      43.379322      1.7035076
            4.4      28.561548      1.0892495      22.188833     0.83834901      37.600664      1.5165318
            4.5      25.558104      1.0259266      19.774874     0.78248602      33.830538      1.4281842
            4.6      21.745999     0.96942224      16.604464     0.72993137      29.293603      1.3682858
            4.7      21.131141     0.94403672      16.085057     0.70770702      28.598761       1.342223
            4.8      16.774911     0.83200754      12.755274     0.62056952      22.711437      1.1923612
            4.9      15.502515     0.82809565      11.771996     0.61593518      21.045607      1.1762749
              5       13.72607     0.78437549      10.800019      0.6264582      17.694037      1.2962253
            5.1      11.273983     0.68601307      8.5658781     0.51603378       15.29292     0.97498947
            5.2      10.967977     0.74118161      8.3662576     0.55057473      14.812568      1.0590977
            5.3      8.0080874     0.59720629      6.2789941     0.45277512      10.438115     0.87391005
            5.4      7.4841229     0.57679272      5.7258435     0.43394461      10.059768     0.81072871
            5.5      6.9030569     0.55662695      5.2220473     0.41333432      9.4282274     0.79463669
            5.6      5.3986643     0.49475863       4.173375     0.36873059      7.1942136     0.77470878
            5.7      4.9916643     0.51180055      3.7969071     0.37731224      6.7431929     0.73490059
            5.8       3.675307     0.41585194       2.763902     0.30110189      5.0717874     0.61273804
            5.9      3.2541781     0.37313002      2.4604951     0.27928964      4.4326695     0.53405577
              6       3.057306     0.43318631       2.277235     0.30291203      4.2556181     0.66826566
            6.1      2.2229389     0.31199299      1.6687726     0.22985041      3.0571289     0.45267588
            6.2      2.5702519      0.3405316      1.9182717     0.24690927      3.5826073     0.50243156
            6.3      1.6058641     0.26651903      1.1847411     0.19403841      2.2667106     0.38875273
            6.4      1.5357706     0.25462668      1.1389094     0.18641119      2.1428691     0.36644131
            6.5      1.5752716     0.29943533       1.151934      0.2136397      2.2316535     0.44057936
            6.6      0.8039734     0.19141267     0.59662008      0.1386224      1.1233789     0.27964649
            6.7     0.49769782     0.15784293     0.38178445     0.11585182      0.6610807     0.22673145
            6.8     0.80543994     0.18390795     0.59110433     0.13422487      1.1523898     0.27167044
            6.9     0.46537302     0.13445602     0.35298327     0.10335765     0.63852854     0.18910157
              7     0.57426672     0.14826761      0.4245679     0.11092141     0.81338484     0.21354788
            7.1     0.15313779    0.076565067     0.10791142     0.05399217     0.22472145     0.11246028
            7.2     0.26799113      0.1148476     0.17810925     0.07409808     0.43413975      0.1937041
            7.3     0.24708267      0.1211898     0.18421949    0.090906836     0.34449606     0.16834724
            7.4     0.11485334    0.066307293    0.085878937    0.049658312     0.15711319    0.090922629
            7.5    0.038284448    0.038282533    0.028548227      0.0285468    0.053135827     0.05313317
            7.6     0.11485334    0.066307293    0.071746064    0.041644847      0.1951811     0.11336187
