#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      3.3760269    0.021377601      2.7242385      0.0171212      4.2898961    0.028143916
             50      2.5283258    0.020755243      2.0433402    0.016626245      3.2155359    0.027457311
             75      2.0734909    0.018660666      1.6946984    0.015075297      2.6109949    0.024652001
            100      1.4172448    0.015516042      1.1642245    0.012583975      1.7770174    0.020246938
            125     0.89806056    0.012420708     0.74312808    0.010128001      1.1144843    0.016077426
            150     0.49376904   0.0065290489     0.41044575   0.0053463842     0.60984568   0.0083993886
            200     0.24616592   0.0046916686     0.20668049   0.0039144691      0.2999119   0.0061767144
            250     0.13205681   0.0036616774     0.11043217   0.0029846788     0.16191323   0.0048443499
            300    0.062637522   0.0017105484    0.052863551   0.0014014639    0.075707863   0.0022390713
            400    0.024588027   0.0010859117    0.020620469  0.00088438305    0.029906752   0.0014030748
            500    0.024588027   0.0010859117    0.020620469  0.00088438305    0.029906752   0.0014030748
