#   pt_Z-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.95108625    0.028552649     0.74351246    0.021952578      1.2439351    0.039925767
              5      3.1921848    0.052064684      2.4877677    0.039990967      4.1917851    0.072464974
             10      5.0207784    0.064911921      3.9182017    0.050131181      6.5806173    0.090341851
             15      6.7829647    0.075758224      5.2655324     0.05801426      8.9504389     0.10529136
             20      8.5356602    0.085229119      6.6301648    0.065265146      11.252315     0.11849004
             25      9.7359535    0.090470497       7.583304    0.069669513       12.79112     0.12618481
             30      10.919695    0.099782213      8.5317262    0.079339632      14.284113      0.1475786
             35      11.916565     0.10828685      9.2733798    0.082475216       15.66761     0.15427526
             40      12.396009     0.10282105      9.7031111    0.079818503      16.174487     0.14513255
             45      12.941209     0.10462698      10.065214    0.080893279      17.030739     0.14713565
             50      13.295841     0.11530948      10.337953    0.086473952      17.496784     0.16570042
             55      13.402355     0.10693099      10.446434    0.082478093      17.582599      0.1508365
             60      13.487608     0.12101494       10.51459    0.091265422      17.686958     0.17192279
             65      13.169764     0.10639683      10.247518    0.081708752      17.312655     0.14893885
             70      13.012767     0.10461808      10.159285    0.080676654      17.028433     0.14526594
             75      12.940567     0.10560148      10.094404    0.082643832      16.951189     0.15345047
             80      12.960179     0.12659058      10.091638    0.093668092      17.016653     0.18222876
             85      12.415501     0.10479541      9.7091373    0.080629855      16.209086     0.14770484
             90      12.535623     0.10385348      9.8009906    0.079938113      16.371522     0.14434475
             95      12.284305      0.1029939       9.578234    0.078895673      16.100636     0.14291177
            100      12.213137     0.10259193      9.5604694    0.078945278      15.922004     0.14309177
            105      12.105026     0.10290699      9.4648482    0.079593117      15.801755     0.14349644
            110      11.991616     0.10360509      9.4200486    0.080005201      15.557514     0.14508552
            115      12.029958     0.10088951      9.4848107    0.086614994      15.530654     0.15750247
            120      11.609374     0.09978114      9.1433313    0.077213001      15.002454     0.13813914
            125      11.528971    0.099548069      9.0787183    0.077075504      14.900393     0.13799384
            130      11.181693      0.1028595      8.8527172    0.079202938      14.344733     0.14488332
            135      10.607136    0.093662316      8.3853869    0.073279523      13.633095     0.12809389
            140      10.379645     0.09867483      8.1847918    0.075753751      13.385682     0.13651233
            145       9.719599    0.090676609      7.6788487     0.07082361      12.500862     0.12501335
            150      9.0893647     0.08941023      7.2080695    0.069829733      11.629182     0.12523761
            155      8.5343287    0.085303129      6.7443524    0.066640151      10.965063     0.11654477
            160      7.8564105     0.08404493      6.2204511    0.065419308      10.068688     0.11650377
            165      7.3581891     0.07857856      5.8201475     0.06125557      9.4392134     0.10751971
            170      6.7880416    0.074773854      5.3757925    0.061275659      8.6968662     0.11105559
            175      6.2704228    0.071945659      4.9713239    0.056577858      8.0187511    0.099559466
            180      5.9156756    0.069960834      4.6934949    0.054799394      7.5535691    0.095470849
            185      5.4601867    0.067521114      4.3191247    0.053037227      7.0001793    0.093328096
            190       4.972059    0.064650305      3.9310034    0.050564915      6.3753067    0.089523112
            195      4.5776818    0.061360168      3.6204325    0.048117157      5.8645303    0.085422226
            200      4.2610118    0.059811257      3.3664499    0.046511066      5.4690026    0.081504587
            205      3.9534024    0.057901041       3.124226     0.04510396      5.0704671    0.080255161
            210       3.584599    0.054823878      2.8324798    0.042662644      4.5979774    0.075443563
            215      3.3480433    0.052501466      2.6377768    0.040773383      4.3123302    0.071569076
            220      2.9888237    0.050058288      2.3531854    0.039222432      3.8498038    0.070806465
            225      2.8959427    0.049191731      2.2771485    0.038186819      3.7371625    0.067604692
            230      2.6957841    0.072458111      2.1274743    0.052679372      3.4604776     0.10542364
            235      2.4424661    0.047959354      1.9281114    0.036868683      3.1344877    0.067320268
            240      2.2511071    0.043967648      1.7801494    0.034155998       2.882909    0.061096908
            245      2.0203686    0.042040975      1.5974384     0.03256819      2.5887054    0.058875683
            250      1.9511994    0.040663167      1.5324365    0.031250087      2.5192394     0.05591281
            255      1.7994892    0.039096834      1.4095579    0.030123516       2.331661    0.053472549
            260      1.6883825    0.037779865      1.3239971    0.029293527      2.1851106    0.051890764
            265      1.5461833    0.035864393      1.2267497    0.028015223      1.9684701    0.050640752
            270      1.4468154    0.035022687      1.1469572     0.02720034      1.8443624    0.048545223
            275      1.3151599     0.03993547      1.0258631    0.029233057      1.7133008    0.057772577
            280      1.2264904    0.032760146     0.96383576    0.025175537      1.5813778    0.045704553
