#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      100.93647     0.69092416      80.062838      0.5277509      133.49049      1.0273122
              1      299.95839      1.1914998      238.32959     0.91561883      395.82535      1.7976831
              2      486.78306      1.5116635      386.89664      1.1581172      642.94649      2.2549175
              3      651.68544      1.7470303      518.68511      1.3462056       858.8924      2.6203825
              4      782.95168      1.9121464      623.57873       1.468609      1030.4406      2.8392765
              5      893.66635      2.0335721      712.60635      1.5802065      1173.7452      3.0420831
              6      966.19362       2.111212      771.35496       1.626476      1266.0436      3.1037994
              7      1016.6585      2.1672745      812.19183      1.6777652        1329.38      3.1714958
              8      1047.5547      2.2184841      837.37807      1.7125345      1368.0067      3.2287964
              9      1057.2981      2.1894092      846.33623      1.7006194       1377.329      3.1842785
             10      1052.3705      2.1915376      843.45072      1.7035176      1367.5128       3.173522
             11      1034.8311      2.1672284      829.90787      1.6884951      1342.6371      3.1203753
             12      1015.0068      2.1504576      814.63079      1.6750663      1314.8732      3.0811702
             13      984.17556      2.0983756      790.70288      1.6435679      1273.1665      3.0069562
             14      949.11416      2.0558333      763.29455      1.6082395      1225.3525      2.9274413
             15      914.33989      2.0174688      736.05217      1.5828151      1178.0324      2.8689976
             16      875.70161      1.9728727      705.10624      1.5470481      1128.0358      2.7866177
             17      838.67857      1.9242609      675.95612      1.5121298       1078.926      2.7155263
             18      797.07295      1.9289713      643.33293      1.5230531      1022.9796      2.7230653
             19      759.63146      1.8359847      613.55829      1.4443426      973.20486      2.5730533
             20      725.73869      1.7853514      586.57063      1.4181348      928.90305      2.5233104
             21      688.96174      1.7588316      557.13474      1.3855941      880.65819      2.4539497
             22      656.59739      1.6989017      531.44867      1.3411279      838.00681      2.3596642
             23      624.49564      1.6595892      505.80147      1.3140951      796.27748       2.309987
             24      594.34641      1.6166634      481.59061      1.2829374      757.02788      2.2472535
             25      563.21838      1.5717005      456.66528      1.2458515      716.95921      2.1741207
             26      534.55064      1.5261589      433.27001      1.2114544      680.62548      2.1054427
             27      508.58037      1.4906283      412.96322       1.183761      645.78582      2.0510629
             28      485.45931      1.4553249      393.83067      1.1544262       616.9881      1.9931792
             29      458.57866      1.4220843      372.50219      1.1298442      581.59539      1.9479512
             30      436.57102      1.3777648      354.51895      1.0964997      553.76892      1.8908397
             31      413.62444      1.3394037       336.3536      1.0659417      523.79804      1.8311897
             32      393.97188      1.3248592      320.38773      1.0647808      498.81765      1.8560757
             33      376.50478      1.2778875      306.19433      1.0162895      476.40248       1.735353
             34      355.34138      1.2400905      289.10914     0.98717671      449.45777      1.6834703
             35       338.7625      1.2098843      275.69868     0.96337639      428.45613      1.6394334
             36      326.96793      1.1919234      266.54961     0.95332236      412.15157      1.6260927
             37      308.57668      1.1561023      251.64868     0.92301641      388.87145      1.5644021
             38      294.64711      1.1299124      240.34674     0.90148284      371.14826      1.5257608
             39      280.16292      1.1052231      228.68038     0.88468818      352.51659      1.4977221
             40      268.19321      1.0764913      218.99243     0.86295567      337.31934      1.4574207
             41        255.067      1.0501747      208.45409       0.842687      320.40126      1.4215252
             42       244.5072      1.0245296      199.56685     0.82244922        307.642      1.3892187
             43      236.41827       1.009265       193.0132     0.80857217      297.21446        1.35877
             44      223.95507     0.98392647      182.98533     0.78824141      281.32124      1.3269548
             45      214.83823     0.96581832      175.66961      0.7774403      269.57771      1.3088152
             46       204.1789     0.93595461      167.01965     0.75565366      255.97248      1.2735121
             47      195.63955     0.91862648      159.94083      0.7392089      245.50268      1.2390521
             48      188.52648     0.90971238      154.13612     0.73211868      236.40964      1.2233169
             49      180.31942     0.87997761      147.51438     0.70737597      226.02714      1.1822427
             50      180.31942     0.87997761      147.51438     0.70737597      226.02714      1.1822427
