#  y_bbZ-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5    0.076568896    0.054139678    0.045836613    0.032458462      0.1357254    0.096158662
           -4.4              0              0              0              0              0              0
           -4.3   -0.038284448    0.038282533   -0.071537401    0.071533824   -0.021498031    0.021496956
           -4.2     0.53598227     0.14324012     0.34699311     0.09399522     0.88102363     0.23969883
           -4.1     0.68912006     0.16241903     0.44005216     0.10441787      1.1448396     0.27174259
             -4      1.0719645     0.20968067     0.73143602     0.14341826      1.6589449     0.33178304
           -3.9      2.6416269       0.335927      1.8680915     0.23311457       3.915315     0.52615068
           -3.8      4.3261426     0.42110404      3.0364252     0.29602713      6.4684145     0.64790474
           -3.7      5.6693503     0.48172721      4.0216024     0.34280531      8.3623937     0.72439908
           -3.6      10.895212     0.68642828      7.9057413     0.48837875      15.676065      1.0432479
           -3.5      14.467847     0.81582317      10.531105      0.5803407      20.677907      1.2426574
           -3.4      24.224564       1.005617      17.705697     0.73029536      34.472087      1.4856534
           -3.3      34.523988      1.1984691        25.5199     0.88276772      48.390006      1.7533342
           -3.2       44.66464      1.3649595      33.263129      1.0056814      62.073555      1.9935389
           -3.1      62.221214      2.5233349      46.010213       1.680322      87.189779      4.0460186
             -3        78.8836      1.8175933      59.177705      1.3577993      108.55737      2.6996739
           -2.9      97.749995      2.0074417      73.989122      1.5396112      133.20612      2.9286375
           -2.8      119.59841         2.3442      90.662207      1.7409831      162.61068       3.374388
           -2.7      143.77979      2.4979426      109.96304        1.88924      193.13185      3.5893162
           -2.6      171.79387      3.4485265      131.80318       2.533136      229.85268      5.0091729
           -2.5      192.69188      2.8425651      148.58034      2.1554749      256.09727      4.0111976
           -2.4       222.0226      3.0700202      171.67862      2.3369656      294.04139      4.3307061
           -2.3      241.86694      3.3553445       188.1878       2.622681      317.69964      4.5909508
           -2.2      269.40787      3.3576681      208.87991      2.5760432      355.82029      4.6977609
           -2.1      297.58241      3.5459164      231.53716      2.7143711       391.0444      4.9314352
             -2       325.0123      3.6820949      253.45006      2.8305369      425.71843      5.1001245
           -1.9      347.82974      3.8377795      272.37897      2.9660904        453.124      5.3668324
           -1.8       370.2097      3.9322946      289.70388      3.0275544      482.62593      5.4514186
           -1.7      393.00326      4.1130506      307.45979      3.1597896      512.31928      5.6920582
           -1.6      409.27995      4.1938222      321.00906      3.2281531      531.96969      5.7788631
           -1.5       432.9512      4.5367809      341.16835      3.4807867      559.12775      6.4153044
           -1.4      453.41352      4.4252193      355.57481      3.4138885      589.34867      6.0809174
           -1.3      465.75478      4.4401403      367.34419      3.4974673      600.54544       6.267275
           -1.2       473.0267      4.5040432      373.20437      3.5036111      609.67936      6.2360804
           -1.1      477.35507      4.6567486      376.88753        3.73819      614.64658      6.8367424
             -1      486.75879      4.5350166      385.56615      3.5648259      623.92472      6.3297759
           -0.9      501.21241      4.6676417      395.34397       3.605727      646.09307      6.4173192
           -0.8      499.67766      4.6672555      393.66296      3.6055021      644.86726      6.4109886
           -0.7      503.85217      4.7024992      398.12336      3.6450278      647.69018      6.4961377
           -0.6      509.03549       4.763282      401.44801      3.6793262      655.93148      6.5511096
           -0.5      518.15104      4.9581261      409.57107      3.8169183      665.68558       6.973339
           -0.4      527.98653      4.8433643      417.83862      3.7687455      677.18615      6.7429781
           -0.3      522.90545      4.6684931      413.03678      3.6414234      672.11933      6.4095841
           -0.2      525.18115      4.7309328      414.82564      3.6778815      675.11637      6.4791493
           -0.1      533.37497      4.7250748      421.73507      3.7073365      684.67326      6.5637037
              0      515.53593      4.6744468      407.04389      3.6262183      663.16674      6.3952262
            0.1      516.81429      4.6590534      408.78422      3.6395884      663.13559      6.4324618
            0.2      530.37886       5.461802      419.22647      4.1386775      681.29736      7.7044435
            0.3      522.42868      4.7545188      412.13794      3.6858524      672.85047      6.5464749
            0.4      519.24568      4.7699741      410.89962       3.693791      666.03039      6.5903087
            0.5      518.46595      4.7690873      410.48909      3.8159783      664.43815      6.9284964
            0.6      514.06664      4.7433386      407.10162       3.699426      658.85634      6.5703448
