#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      17846.986      14.259194      17846.986      14.259194      17846.986      14.259194
     0.31415927      13750.273      12.750972      13750.273      12.750972      13750.273      12.750972
     0.62831853      10870.142      11.578883      10870.142      11.578883      10870.142      11.578883
      0.9424778      9028.2348      10.693611      9028.2348      10.693611      9028.2348      10.693611
      1.2566371      7813.9822      10.032828      7813.9822      10.032828      7813.9822      10.032828
      1.5707963      7008.2409      9.5995555      7008.2409      9.5995555      7008.2409      9.5995555
      1.8849556      6486.5669      9.1837906      6486.5669      9.1837906      6486.5669      9.1837906
      2.1991149      6183.9653      9.1180179      6183.9653      9.1180179      6183.9653      9.1180179
      2.5132741      5998.9023       8.866857      5998.9023       8.866857      5998.9023       8.866857
      2.8274334      5950.4939      8.8077214      5950.4939      8.8077214      5950.4939      8.8077214
      3.1415927      5950.4939      8.8077214      5950.4939      8.8077214      5950.4939      8.8077214
