# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ150
              0      59.408533     0.53996811      59.408533     0.53996811      59.408533     0.53996811
              1      220.14195      1.0466693      220.14195      1.0466693      220.14195      1.0466693
              2      345.48823      1.3457466      345.48823      1.3457466      345.48823      1.3457466
              3      417.99641      1.4701709      417.99641      1.4701709      417.99641      1.4701709
              4      451.08658      1.5192889      451.08658      1.5192889      451.08658      1.5192889
              5      461.80541      1.5241113      461.80541      1.5241113      461.80541      1.5241113
              6      457.42708      1.4941917      457.42708      1.4941917      457.42708      1.4941917
              7      451.81164      1.4695378      451.81164      1.4695378      451.81164      1.4695378
              8      437.23184      1.4340376      437.23184      1.4340376      437.23184      1.4340376
              9      421.91546      1.4020406      421.91546      1.4020406      421.91546      1.4020406
             10      404.12848      1.3618459      404.12848      1.3618459      404.12848      1.3618459
             11      391.46657        1.33878      391.46657        1.33878      391.46657        1.33878
             12      375.42226      1.3089154      375.42226      1.3089154      375.42226      1.3089154
             13       358.9234      1.2685011       358.9234      1.2685011       358.9234      1.2685011
             14      343.15906       1.232544      343.15906       1.232544      343.15906       1.232544
             15      331.04521       1.208046      331.04521       1.208046      331.04521       1.208046
             16       317.5424       1.178856       317.5424       1.178856       317.5424       1.178856
             17      306.31334      1.1560452      306.31334      1.1560452      306.31334      1.1560452
             18      294.24635      1.1281702      294.24635      1.1281702      294.24635      1.1281702
             19      282.54244      1.1077035      282.54244      1.1077035      282.54244      1.1077035
             20      271.87864      1.0788002      271.87864      1.0788002      271.87864      1.0788002
             21      261.58273      1.0563485      261.58273      1.0563485      261.58273      1.0563485
             22      251.84857      1.0389786      251.84857      1.0389786      251.84857      1.0389786
             23      242.11383      1.0146773      242.11383      1.0146773      242.11383      1.0146773
             24      233.64058     0.99377496      233.64058     0.99377496      233.64058     0.99377496
             25       224.5158     0.97031455       224.5158     0.97031455       224.5158     0.97031455
             26      215.36956     0.95551481      215.36956     0.95551481      215.36956     0.95551481
             27      207.70549     0.94829149      207.70549     0.94829149      207.70549     0.94829149
             28      200.86429     0.91684045      200.86429     0.91684045      200.86429     0.91684045
             29        193.928     0.90203831        193.928     0.90203831        193.928     0.90203831
             30       186.4398     0.88651408       186.4398     0.88651408       186.4398     0.88651408
             31      180.83068     0.87557717      180.83068     0.87557717      180.83068     0.87557717
             32      173.94026     0.85425624      173.94026     0.85425624      173.94026     0.85425624
             33      168.96222     0.83628791      168.96222     0.83628791      168.96222     0.83628791
             34      162.76941     0.84253238      162.76941     0.84253238      162.76941     0.84253238
             35      156.27094     0.80651386      156.27094     0.80651386      156.27094     0.80651386
             36      150.62357     0.78773176      150.62357     0.78773176      150.62357     0.78773176
             37      145.19597     0.77856348      145.19597     0.77856348      145.19597     0.77856348
             38       139.6821     0.76694581       139.6821     0.76694581       139.6821     0.76694581
             39       137.0708     0.75300412       137.0708     0.75300412       137.0708     0.75300412
             40       130.6083     0.73705673       130.6083     0.73705673       130.6083     0.73705673
             41      127.76215     0.72440768      127.76215     0.72440768      127.76215     0.72440768
             42      122.76419     0.71280624      122.76419     0.71280624      122.76419     0.71280624
             43      119.81138     0.70214932      119.81138     0.70214932      119.81138     0.70214932
             44      113.82947     0.68693943      113.82947     0.68693943      113.82947     0.68693943
             45      111.58255     0.67525215      111.58255     0.67525215      111.58255     0.67525215
             46      106.62817     0.66024995      106.62817     0.66024995      106.62817     0.66024995
             47      102.68676     0.64977443      102.68676     0.64977443      102.68676     0.64977443
             48      98.814531     0.63448461      98.814531     0.63448461      98.814531     0.63448461
             49      96.441856     0.62800722      96.441856     0.62800722      96.441856     0.62800722
             50      96.441856     0.62800722      96.441856     0.62800722      96.441856     0.62800722
