# pt_bb-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      549.57395     0.46612342      426.80075     0.34381076      862.61895      2.6001069
              5      1181.4621     0.66556665      921.63679     0.49217244       1818.002       3.541083
             10      1204.4234     0.67082218      945.42022     0.50352425      1790.7966      3.2313455
             15      1004.3358      0.6147531      793.07336     0.46389256      1449.7448       2.623238
             20      789.14571     0.54859581      626.44932     0.41773981      1110.6962      2.1416113
             25      609.71153     0.48390278      486.05507     0.37123782      839.41417      1.7304804
             30       472.1819     0.42674782      377.83052      0.3290741      639.53273      1.4485475
             35      368.33723     0.37683272      295.88107     0.29385306      490.17702      1.1483384
             40      290.05612     0.33415415      233.51656     0.26201848      380.55471     0.99543558
             45      230.39911     0.29747116      185.96701     0.23463684      300.56366      0.8371621
             50      184.85375     0.26618449      149.47341      0.2087198       238.0768     0.71728191
             55      150.19142     0.23907798      121.59161     0.18810881      191.87572     0.61274865
             60      122.25527     0.21570341       99.23544     0.17215363      155.80845     0.52668055
             65        100.604     0.19477448      81.807226     0.15516915      126.72099     0.44359742
             70      83.524758     0.17692835      67.939332     0.14032952      105.11969     0.42609282
             75      70.043407     0.16495849      57.051242     0.13104967      87.734301     0.33678871
             80      58.784638     0.14775644      47.899568     0.11756073      73.701757     0.31979749
             85      49.700116     0.13577759       40.54714      0.1079902      61.990951     0.28967895
             90      42.088084     0.12519691       34.36316    0.099719372      52.504518     0.24595224
             95      36.197262     0.11555348      29.570077    0.092532127      45.038428     0.25651049
            100      30.819916     0.10636439      25.220323    0.085170966      38.222816     0.15440119
            105      26.699163    0.098603588      21.850181    0.079705042      33.222691     0.18278843
            110      22.844459    0.090899583      18.714653    0.078277511      28.427002     0.17098633
            115      20.002556    0.084692985      16.359818    0.068552259      24.862741      0.1202416
            120      17.291503    0.078480861      14.146634    0.064591607      21.462156     0.11286626
            125      15.103083    0.073656435      12.372612    0.061498017      18.766332     0.14569282
            130      13.238209    0.068597657      10.802818    0.055341437      16.442556    0.097910988
            135      11.475376    0.063621804      9.3607763    0.051207249      14.285102    0.088946606
            140      10.015536    0.059711218      8.1784809    0.047813923      12.418497    0.083831639
            145      8.8264827    0.055586609      7.1968824    0.045153654      10.956824    0.077592089
            150      7.8042351    0.052490748      6.3641831    0.042158813      9.6368465    0.077839709
            155      6.8712466    0.049261187        5.60508    0.039848674      8.5388537    0.070868984
            160      6.0683477    0.046409262      4.9434393    0.037558578      7.5540382     0.06532348
            165      5.4166589    0.043342858      4.4209147    0.034994879      6.6936875    0.058973426
            170      4.7719747    0.045381794      3.8901896    0.035085327      5.9115951    0.064916569
            175      4.1756211    0.037958868      3.3986193    0.030585197      5.1854211    0.053332633
            180      3.7708499      0.0355721      3.0656454    0.028430434      4.6862174    0.047689741
            185      3.3292465    0.033585645      2.7202139      0.0272531      4.0974242    0.048290863
            190       2.989818    0.037496922      2.4200607    0.028715196       3.734076    0.052906218
            195      2.5652774    0.029515443      2.0850062    0.023494173      3.1750852    0.041002215
            200      2.3421735    0.027751672      1.8986732    0.022060697      2.9172643    0.037827015
            205       2.035841    0.025823484      1.6406367    0.020316551      2.5525912    0.034960726
            210      1.8366436    0.024656383      1.4827611    0.019402108      2.2975014    0.033538628
            215      1.6365718    0.022851243      1.3260358    0.018088799       2.035561    0.031375668
            220       1.475616    0.023228754      1.1991164    0.018406427      1.8283268    0.032764119
            225      1.2893889    0.020560434      1.0358137    0.016104062      1.6200883    0.028530089
            230      1.1380273    0.020037393     0.91365195    0.015388737      1.4291349    0.027805672
            235      1.0639541    0.018263612     0.85982149    0.014403211       1.323721    0.025069668
            240     0.92073405    0.016649288     0.74714919    0.014150239      1.1379069    0.025037305
            245     0.85010433    0.016226388     0.68106402    0.012627521      1.0694867    0.022146432
            250     0.71325447    0.014721945     0.57150732    0.011405574     0.89684467    0.020159316
            255     0.65806845    0.014102508     0.52982897     0.01110824     0.82143189    0.019463884
            260     0.62118853    0.015506425     0.49864105    0.011785836       0.778244    0.021721857
            265     0.56368552    0.013380176     0.46036284    0.011183935     0.68894398    0.020197989
            270     0.48798162    0.012598401     0.39402363   0.0098283564     0.60633918     0.01816952
            275      0.4469698     0.01167682     0.36065296   0.0091694866     0.55576977     0.01610562
            280     0.41980228    0.011462568     0.33735021   0.0089101622     0.52499404    0.016489661
            285     0.37059863    0.010701707     0.29999921   0.0084193425     0.45835418    0.015241126
            290     0.34901435    0.010567011     0.28303876   0.0081625348     0.43020439     0.01495947
            295     0.32470877   0.0099549135     0.25821102   0.0076703715     0.41174528     0.01383063
            300     0.28240221   0.0093081298     0.22640856   0.0072578626     0.35405866    0.013039933
            305     0.25268937   0.0088319187     0.20562116   0.0069666528     0.31020668    0.012925305
            310     0.23556585   0.0087528387     0.19254902   0.0067995476      0.2866974    0.012377887
            315     0.21990448   0.0082848775     0.17964684   0.0064931048     0.26782407    0.011985036
            320     0.19198529    0.007600037     0.15670116   0.0060033224     0.23403629    0.011209995
            325     0.17922169   0.0077808929     0.14178255   0.0058399797     0.22854531    0.011046827
            330     0.16585373     0.00781648     0.13319607   0.0059560038     0.20716435    0.011311837
            335     0.14952814   0.0068462321     0.11948059   0.0051863108     0.18795279    0.009661389
            340     0.13559607   0.0064955008     0.10940606   0.0049811631     0.16798766   0.0091418134
            345     0.11948949    0.006097738    0.094993174   0.0045806727     0.15119492   0.0087062083
            350     0.11224009   0.0061330644    0.089448617   0.0046202823     0.14160806   0.0088362969
            355     0.10588072   0.0059329195    0.086234899   0.0045502202     0.12930186   0.0084149136
            360    0.097435242   0.0062477346    0.078526606   0.0047873932     0.12074003   0.0089997815
            365    0.090240062   0.0051907704    0.071777297   0.0040398623     0.11417668   0.0072646139
            370    0.083757957     0.00526329    0.068041444   0.0040163346      0.1026234   0.0074745172
            375    0.079855935   0.0049645899    0.064777822   0.0038498724    0.098016472   0.0070406576
            380    0.071252348   0.0045768139    0.058405113   0.0037268236    0.085637524     0.00679624
