# pt_bbZ-mbbZ10        central        num_err    min (scale)        num_err    max (scale)        num_err
# 00
              0      932.26937     0.86203063      720.47942     0.59716188      2149.5204      6.8401048
              5      1086.0677     0.68158035        859.729     0.51784961      1495.2331       1.181588
             10      883.67786      0.5612052      702.08842     0.43542628      1162.5096     0.84613688
             15      732.83492     0.49336652      583.42517      0.3911371      949.87393     0.69552028
             20      617.34666     0.44372084       492.1509     0.35065111      794.45026     0.61088207
             25      523.94675      0.4039094      418.03011     0.32016388      671.58005      0.5514682
             30      447.17732     0.37041518      356.88488     0.29370772      571.81701     0.50126275
             35      382.62679     0.33993027      305.49859     0.27063318      488.47508     0.45569112
             40      328.27899     0.31336159      262.13269      0.2495788      418.80242     0.42569657
             45      282.57989     0.28955973      225.80899     0.23180956      359.95621     0.38854472
             50      243.63563     0.26826268       194.6979      0.2136277      310.20766     0.35872092
             55      210.26756     0.24883667       168.0341     0.19908315      267.66581     0.33138074
             60      182.22738     0.23053041      145.69566     0.18339683      231.70211     0.31242144
             65      157.22593     0.21368416      125.71758       0.172793      199.92612     0.28837892
             70      137.04211      0.1991909      109.65577     0.15952709      174.08413     0.26827415
             75      119.29265     0.18565005      95.467472     0.14842882      151.50674      0.2491052
             80      103.91079     0.17304015      83.222033     0.13796012       131.8197     0.23078636
             85      90.411099     0.16127866      72.410513     0.12841874      114.70275     0.21433466
             90      79.360545     0.15131946      63.532637     0.12011682      100.71549     0.20221522
             95      69.894639     0.14466197       55.92861     0.11423943      88.595402     0.19576929
            100      61.284596     0.13266174       48.93975     0.10520594      77.871536     0.17819977
            105      54.117965      0.1254884      43.235762     0.10053379      68.697106     0.17239887
            110      47.770907     0.11820485      38.102913    0.096207901       60.75068     0.16176283
            115       42.21293     0.11061599      33.686504     0.08754232      53.627602     0.15019927
            120       37.34765     0.10404579      29.737838    0.082064221      47.579808     0.14077229
            125      33.098733    0.098941353      26.364797    0.078311356      42.127843     0.13644412
            130       29.64754    0.092885617      23.580273    0.073349646      37.799462     0.12718074
            135        26.3699    0.089265577      20.956811    0.069897688      33.650986     0.12221795
            140      23.691879    0.084747148      18.804362    0.066365038      30.271581     0.11585216
            145       20.93919    0.079268096       16.64608    0.062325839      26.689164     0.10953966
            150      18.883202    0.074469517      14.994518    0.058666793      24.102585     0.10210405
            155      16.925088    0.070040486      13.434013    0.055153759      21.608741    0.096050794
            160       15.28964    0.066453704      12.109622    0.052180564      19.574811    0.091659244
            165      13.802816    0.063120331      10.929122    0.049470153      17.675555    0.086560534
            170      12.359229    0.060257608       9.784063    0.046853372      15.823341    0.082509183
            175      11.158458    0.056897624       8.832726    0.044567817      14.283404    0.078357686
            180      10.194505    0.056649524      8.0561562    0.043489212      13.079892    0.079223185
            185      9.0996394    0.051494119      7.2006424    0.040243841      11.651367    0.071142229
            190      8.2619993    0.048627683      6.5284121    0.038067724      10.596602    0.067171612
            195      7.6311091    0.046975887      6.0240199    0.036529934      9.7982086      0.0647693
            200       6.854208    0.044968077      5.4193066    0.034882664      8.7765026    0.062217898
            205      6.2694927    0.043308646      4.9465608    0.033572626      8.0539662     0.06033635
            210      5.7775377     0.04138276      4.5611213    0.032252173      7.4104825    0.057563771
            215      5.2700444    0.040921743      4.1572269    0.031403808      6.7660494     0.05707574
            220      4.7643065    0.037025083      3.7573807    0.028660748      6.1187416    0.051206534
            225      4.3699332    0.035932693      3.4477529    0.027818663      5.6087151    0.049939434
            230      4.0409562    0.034516871      3.1844815    0.026706012      5.1930401    0.047967169
            235      3.6857538    0.033950062      2.9095356     0.02603275      4.7245656    0.047307964
            240       3.339511    0.031125769      2.6261477    0.024049056      4.3018282    0.043024907
            245      3.1939667    0.030053042      2.5190083    0.023586781      4.0964985    0.042350421
            250      2.9077526    0.028986559      2.2870799    0.022320213      3.7436888    0.040055903
            255      2.6440527    0.027851736       2.086352     0.02154519       3.388155     0.03906602
            260      2.4829419    0.039375929      1.9426542    0.028485077      3.2190683    0.057561307
            265      2.3025913    0.026852603       1.813793    0.020622622      2.9571688    0.037845006
            270      2.1159575    0.026654926      1.6659792    0.020312458      2.7177304    0.038514485
            275       1.980716    0.024030042      1.5563488    0.018835132      2.5516971    0.034832468
            280      1.8383449    0.023770731      1.4445335    0.018316434      2.3669095    0.033813115
            285      1.6125731     0.02207814       1.269468    0.016961109      2.0715166    0.031265339
            290      1.5686652    0.023194306       1.232098     0.01751764      2.0207612    0.033149899
            295      1.4487689      0.0204857      1.1356291    0.015708906      1.8715986    0.028535802
            300       1.328091    0.020000805      1.0473961    0.015302532      1.7004202    0.028082497
            305      1.2377428    0.019243766     0.97377714    0.014702487       1.590517    0.026943259
            310      1.1237784    0.019173918     0.88574487    0.014697763      1.4394553    0.027864931
            315       1.076642    0.017869025     0.84389964    0.013609554      1.3900273    0.025125926
            320     0.99397606    0.016984893     0.77978943     0.01303825       1.281534    0.023776314
            325     0.91407782    0.016272366     0.72307129    0.012543051      1.1642375    0.022684218
            330     0.87033063    0.017218434      0.6838134    0.012956798      1.1190383    0.024491626
            335     0.81260214    0.015287992     0.63946166    0.012792511      1.0436797    0.023768878
            340     0.75264078    0.015679818     0.59599785    0.011944492     0.95676483    0.022418474
            345     0.75316632    0.031558408     0.58756255     0.02198959     0.97683884    0.047303938
            350     0.66990052    0.016293528     0.52679135    0.012249993      0.8598023    0.024591503
            355     0.64286354     0.01763385     0.49988519    0.012695329     0.83824066    0.026167934
            360     0.58195677    0.014979979     0.45409845    0.011042309     0.75504902    0.021648114
            365     0.56651365    0.014429944     0.44339019     0.01090193     0.73153343    0.021321128
            370     0.53192634    0.012426243     0.41404841   0.0093798388     0.69204209    0.017585297
            375     0.49468915    0.016739582     0.38637801    0.012056896     0.64042829    0.024860937
            380     0.44345109    0.011676575      0.3487891   0.0088915244     0.56763386    0.016770701
            385     0.42261814    0.011196913     0.33031066   0.0084790221     0.54652081    0.015765492
            390     0.41173948    0.010876373     0.32499361    0.008826875     0.52445009    0.017728172
            395     0.37336977    0.010476752     0.29253419   0.0079453255     0.48094941    0.014843323
            400     0.34568682    0.010083168     0.27589565   0.0078273914     0.43376204    0.014364796
            405      0.3351565    0.010287535     0.26231338   0.0078215662     0.43280155    0.014762232
            410     0.31248112   0.0098012489     0.24495209    0.007488512     0.40226047    0.014023575
            415     0.29247547   0.0093054322     0.22805429   0.0070214441     0.37919101    0.013265234
            420     0.27205334   0.0090322135     0.21268328   0.0068860819     0.35137437    0.012847632
            425      0.2521863    0.008728302     0.19652397   0.0065580328     0.32736203    0.012440138
            430     0.25946875   0.0088316651     0.20252274   0.0067036079     0.33581258    0.012673081
