# pt_bbZ-zoom-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      1.7621443    0.052334699      1.3834624     0.04088421      2.2921764    0.074542463
              1      5.3090853    0.092420841      4.1566542    0.071654639      6.9573456     0.12678656
              2      8.9273286     0.11896817      7.0193404    0.093486999      11.660319     0.16138937
              3      13.039615     0.14446698      10.224909     0.11267738       17.08872     0.19579656
              4        17.3133     0.16672134      13.597725      0.1297624      22.643038     0.22599743
              5      21.450751     0.18418346      16.798418     0.14344932       28.16927     0.24909935
              6      25.826368     0.20278944      20.266292     0.15846291      33.811287     0.27662507
              7      30.456372     0.22121026      23.865173     0.17292677       39.95295     0.29831978
              8      35.335502     0.23722791       27.76061     0.19010563      46.180047     0.32115281
              9      40.437728     0.25352945      31.700115     0.19786621      53.016355     0.34392513
             10      45.813998     0.26948878      35.988643     0.21227472       59.90185     0.36607796
             11      51.168219     0.28676502      40.216968     0.22491172      66.853871     0.38965826
             12      56.952441     0.30092607      44.716989     0.23482801      74.509435     0.40814999
             13      62.844726     0.31569942      49.393792     0.24612691       82.08762     0.43001541
             14      69.049517     0.33076278      54.266683     0.25893504      90.218577     0.44718125
             15      75.778245     0.34659683      59.599331     0.27171689      98.900135     0.47054122
             16      83.071186     0.36215711      65.267176     0.28276324      108.56117     0.48928042
             17      89.594937     0.37642494      70.481285     0.29390213      116.84634     0.51157112
             18      97.981348     0.39343359      77.084712     0.30777657      127.80656     0.53159536
             19      105.41119       0.411151      83.179534     0.35005122      136.95841     0.56787005
             20      113.83166     0.42718327      89.748522     0.33536474       148.0682     0.57887913
             21      122.46175      0.4409185      96.594807     0.34628359      159.16624     0.59629586
             22      131.82257     0.46005461       104.0825     0.36311309      171.08101     0.62139164
             23      141.55702     0.47432127      111.74532     0.37196576      183.77691     0.64081199
             24      151.49198       0.489792      119.83644      0.3864397      196.05855      0.6623479
             25      162.42042     0.50479226      128.45849     0.39810425      210.25821     0.68022683
             26      173.53238     0.52315923      137.41066     0.41335186      224.26022     0.70349014
             27      184.11714     0.53724618      145.80817     0.42215259        237.969     0.73217152
             28      194.65369     0.55269201      154.34962     0.43951205      250.97565     0.74458146
             29      204.97354     0.56560601      162.60842     0.44676692      264.12329     0.76282195
             30      227.05033     0.59834415      180.32283     0.47135554      292.03663     0.80263937
             31      236.68231      0.6106812      188.35671     0.48483611      303.52462     0.85255187
             32      246.38656     0.62331653      195.98996     0.49268091      316.02162      0.8414233
             33      254.62442     0.62899987      202.59123     0.49811448      326.54815     0.84295029
             34      261.75528     0.63806541      208.36841     0.50395623      335.39707     0.85566326
             35      268.51987     0.64686198      213.99299      0.5144969      343.51084     0.87148615
             36      271.60699     0.64806312      216.46254     0.51492192      347.42327     0.87097043
             37      274.25102     0.65100813      218.70139     0.51903427      350.53122     0.86763219
             38      276.18223     0.65304791      220.25904     0.51949641      352.94867     0.87483713
             39      275.66373     0.65086816      219.89319     0.51615354      352.17084     0.86744268
             40      275.74019     0.65091257      219.89721     0.51668617      352.54068     0.87559571
             41      274.58638     0.64858442      219.12732     0.51433107      350.71176     0.89446601
             42      272.99832     0.64974484      217.83598     0.51513637      348.36429        0.88989
             43      269.91069     0.64177506       215.4166     0.51106316      344.51279     0.87375682
             44       266.6123     0.63630009       212.7051     0.50670843      340.42079      0.8477189
             45      263.53298     0.63323272       210.4454     0.51100055      336.07064     0.85732253
             46      259.92324     0.63075392      207.57781     0.50524477      331.39877     0.84865187
             47      255.98934     0.62393072       204.5113     0.50093777      326.21021     0.82942681
             48      249.26771     0.61350797      199.04926     0.48861363      317.88714     0.82110927
             49      246.48961     0.60959425       196.8651     0.48387735      314.18859     0.81573795
             50      246.48961     0.60959425       196.8651     0.48387735      314.18859     0.81573795
