#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      235.87503      1.2796778      176.20624     0.80601225      734.85201       20.64744
              1      881.88311      2.3141091      660.20807      1.5157286      3608.5329      23.791397
              2      1134.5709      2.1718163      875.50735       1.520249      2533.0964      11.269299
              3      1204.9096      1.9964103      942.88546      1.4491922      2050.7388      5.9953334
              4      1207.4801      1.8509426      950.47657      1.3718756      1825.0366      4.1580656
              5      1171.9003      1.7320351      925.39188      1.2984593       1679.187      3.3132975
              6      1132.3685      1.6384074       896.0497      1.2401599      1573.4721      2.8829422
              7      1088.1768       1.560734      862.11932      1.1944485      1486.5864      2.5801168
              8      1043.1416      1.4888017      826.60988      1.1405232      1406.4168        2.35901
              9      1003.6907      1.4346764      796.13854      1.1156557      1342.3231      2.2113444
             10      958.96444      1.3786538      761.33497      1.0658593      1272.5121      2.1267346
             11      919.36402      1.3350295      730.43283      1.0382216      1212.7238      1.9655347
             12       883.8242      1.2915261      702.33955      1.0073394      1161.0047      1.9435854
             13       850.5913      1.2537068      676.35527     0.97555336      1114.2129      1.9053809
             14      817.90563      1.2193506      650.46506     0.94893147      1067.5748      1.7427134
             15      790.51848      1.1896799      628.92426     0.92956944      1029.2788      1.7034699
             16      759.51425      1.1594513      604.56628      0.9111117      986.17227      1.6197087
             17      733.39556      1.1389611      584.03327     0.91468309      950.10765      1.5773214
             18      709.82852      1.1089816      565.39208     0.87934661      917.80682      1.5648768
             19      684.70263      1.0852737      545.92688     0.87377749      882.99249      1.5283274
             20      663.10508      1.0620065      528.50159     0.83826483      855.12313      1.4589728
             21      640.87654      1.0396008      511.08281     0.82205368       825.2183       1.441924
             22      619.42683      1.0209365      494.09011     0.81065251      796.66847       1.398141
             23      598.40022     0.99773682      477.08602     0.78809009      769.35502      1.3577504
             24      580.07061     0.98020898      462.78153      0.7747132      744.79242      1.3402592
             25      560.53682     0.95936132      447.19065     0.75887547      719.38552      1.2966536
             26      543.48279     0.94406468      433.78436     0.75179983      696.75815       1.307988
             27      526.09848     0.92446616      419.94602     0.73233371      674.07424      1.2601405
             28      509.78713       0.907636      406.81175     0.72073111       653.0761       1.225686
             29      494.55609     0.89288919      394.83707     0.70775497      632.89159      1.2094166
             30      478.58867     0.87774573      382.12714     0.69649446      612.17753      1.1783161
             31       463.2017     0.86128573       369.8368     0.68249623      592.16267      1.1869182
             32        449.675     0.84800362      358.89626      0.6716325      575.07552      1.1414953
             33      435.93333     0.83142122      348.01709     0.66245264      557.21986      1.1126973
             34      422.88662     0.81686177       337.6249      0.6474508      540.32969      1.0972454
             35      409.63471     0.80423261      327.15922     0.64170795      523.02826      1.0786032
             36       397.0871     0.78986093      317.18097     0.63090383      506.80859      1.0609019
             37      384.72968     0.77496982      307.19973     0.61702097      491.25656       1.033106
             38      373.72299     0.76294088      298.50103     0.60653755      476.90736      1.0213577
             39      361.33234     0.74842605      288.65164     0.59424122      460.95157      0.9978362
             40      350.84668     0.73674055      280.08447     0.58465929      448.10857     0.98883134
             41      340.57925      0.7247555      272.06702     0.57487472      434.53873     0.99233893
             42       331.3202     0.71763058      264.74734     0.57014364      422.16176     0.97886459
             43       320.8032      0.7025999      256.36223     0.56706636      408.87908     0.96142868
             44      310.75952     0.68913869      248.17728     0.54866549      396.34722     0.91793153
             45      302.08079     0.67976863      241.47459     0.54784179      384.78087     0.91815264
             46      293.82214     0.67201983      234.89719     0.53810088      374.16726     0.90261399
             47      285.54803     0.66012254      228.32574     0.52973027      363.50225     0.87743458
             48      275.03682     0.64561042      219.79077     0.51440725      350.44474     0.86291374
             49      268.81998     0.63858135      214.89688     0.50917642      342.27323     0.85345575
             50      268.81998     0.63858135      214.89688     0.50917642      342.27323     0.85345575
