# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      13.700837     0.17798695      11.088306     0.14203844      17.380758     0.23566551
            0.6      45.261354      0.3250489      36.744991     0.26005508      57.181521     0.43003772
            1.2      83.656766     0.44501566      68.274275     0.35759283      105.11963     0.58758966
            1.8        128.605     0.54751059      105.09234     0.44212824      161.52175      0.7256089
            2.4      160.25934     0.86329167      130.62102     0.69558388      201.92757      1.1400484
            2.7      175.33753     0.90357365      143.43296     0.73097341      220.27258      1.1893194
              3      113.46181     0.73108722      93.125136     0.63631717      142.01653       1.049567
            3.3      41.733454     0.28188447      33.647487      0.2266955      53.155906     0.37076614
              4      9.5411117     0.11225354      7.5978136    0.089055981      12.302172     0.14855929
              5      9.5411117     0.11225354      7.5978136    0.089055981      12.302172     0.14855929
