#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      199.36636     0.26105588      161.85184     0.20116506      263.77158     0.41357167
              5      505.09141      0.4016349      409.34031     0.30948375      662.90757      0.6182703
             10      636.16016     0.43746301      514.63023     0.33905048      827.04283     0.65280759
             15      648.77092     0.43317839      524.24493     0.33783267      837.41039      0.6306943
             20      606.51799     0.41353495      489.84218     0.32343763      778.74201     0.58990099
             25      542.83727     0.38823555      438.26769     0.30570917      694.30317     0.54816184
             30      476.83375     0.36222615       384.9596     0.28643573      608.15403     0.50676689
             35      412.69557     0.33564974      333.30198     0.26621627      524.86407     0.46616034
             40      356.45169     0.31144524      287.78427     0.24741805      452.85351     0.42905789
             45      306.25223     0.28828754      247.39374     0.22946491      388.27715     0.39446242
             50      262.33948     0.26737393      211.95735     0.21283025      332.17792     0.36407096
             55        225.619     0.24764707      182.21749     0.19751608      285.61924     0.33624209
             60      192.86329     0.22863314      155.84762      0.1825342      243.81326     0.30955545
             65      166.06282     0.21167269      134.20365     0.16904189      209.78954     0.28503716
             70      142.36903     0.19628151      115.12476     0.15666937      179.64155     0.26289037
             75       123.1385     0.18278834      99.607442     0.14640703      155.25892     0.24635904
             80      106.02522     0.17015145      85.813816     0.13644654      133.54508     0.22954893
             85      91.839143     0.15748838      74.358599     0.12644955      115.58431     0.21140937
             90      79.569427     0.14788639      64.444625     0.11853592      100.08625     0.19855323
             95      69.217203     0.13750868      56.057109     0.11058406      87.058791     0.18496713
            100      60.194169      0.1274692        48.7585     0.10220818      75.689622     0.16958354
            105      52.650358     0.11991561      42.656865    0.095963191      66.178337     0.15920651
            110      45.989474     0.11235418      37.294305    0.090108581      57.712231     0.14951885
            115      40.293392     0.10486241      32.642287    0.084317908      50.572497     0.14169256
            120      35.343745    0.098002543      28.587576    0.078699926      44.426988     0.13195651
            125      31.313648    0.092277246      25.289707    0.073748538      39.424387     0.12388842
            130      27.843468    0.087065993      22.460031    0.069678276      35.097391     0.11746264
            135      24.427266    0.081603195      19.728136    0.068271729      30.729745     0.11753669
            140      21.603849    0.076752723      17.387229    0.061047143      27.297573     0.10328958
            145       19.37241    0.074333979      15.581903    0.058725956      24.488478     0.10095392
            150      17.134899    0.068725038      13.797536    0.056487578      21.618291     0.09656073
            155      15.270326    0.064601189      12.280095    0.051918783      19.289309    0.089331222
            160      13.750101    0.061626481      11.048416    0.049364075       17.39069     0.08425878
            165       12.32127    0.057941864      9.8844618     0.04595037      15.610131    0.078014259
            170      11.009139    0.054727665      8.8326639    0.043791184      13.940598     0.07481505
            175       9.868383    0.051921697      7.9126298    0.041053471      12.498111    0.070204808
            180      8.9318379    0.049432631       7.158313    0.039176457      11.319511    0.067326496
            185      8.0980988    0.047084489      6.4807895    0.037191786      10.275139    0.063761541
            190      7.2901396    0.044847556      5.8313639    0.035440666      9.2540153    0.060994711
            195      6.5884483    0.042658815      5.2720404    0.033628004      8.3586572    0.057907527
            200      5.9211343    0.040490253       4.737265    0.031969793       7.509627    0.055566834
            205      5.5433942    0.040828446      4.4252172    0.031789544      7.0520199    0.056407234
            210       4.941377    0.036643657      3.9565293    0.032509568      6.2591337    0.058693669
            215      4.4940049    0.035355078      3.5882976    0.027835398      5.7104298    0.048449534
            220      4.0984248    0.041800495      3.2581688    0.031383059      5.2377508    0.059000242
            225      3.7434081    0.032240375      2.9837216    0.025475139      4.7672329    0.044572776
            230      3.4578832    0.030745095      2.7525693    0.024126873      4.4094186    0.041766718
            235      3.1384481    0.029278085      2.5022334    0.023093066      3.9929136    0.040198988
            240      2.8331643    0.028266749      2.2569323    0.022076131      3.6075307    0.038767648
            245      2.6441309    0.027902708      2.1089169    0.021840206      3.3602925    0.038825392
            250      2.4721169    0.026952374      1.9639433    0.020958385      3.1577665    0.036911917
            255      2.2372104    0.024698027      1.7882524    0.019603031      2.8333713    0.034106461
            260      2.0805058    0.025636381      1.6509156    0.019712677      2.6607169    0.035976988
            265      1.8996593    0.022872341      1.5086655    0.017857762      2.4267902    0.031363955
            270      1.7909991    0.022199525      1.4205511    0.017350727      2.2914478    0.030238215
            275      1.6143279    0.021196468      1.2837964    0.016587414      2.0596361    0.029312613
            280      1.5322165    0.020905805      1.2151603    0.016235625      1.9594718    0.028943625
            285      1.3901699    0.019785425      1.1012593    0.015378181      1.7806907    0.027093994
            290      1.2491315    0.018715484     0.99068437    0.014558633      1.5967018    0.025810684
            295       1.213099    0.018398335     0.96961308    0.014398694      1.5335451    0.025474319
            300      1.1036581    0.018556057     0.87369649    0.014259215      1.4137273    0.025724656
            305      1.0549191    0.017972028      0.8425013     0.01405346      1.3349712    0.025666125
            310     0.96302472    0.016532621     0.76830258    0.013149981      1.2199022    0.023598924
            315     0.86964796    0.015541332     0.68860263    0.012047729      1.1138829    0.021276161
            320     0.80136336    0.015138666     0.63387538    0.011672409      1.0264503    0.020996333
            325     0.76864465    0.014712042     0.60809444    0.011408316     0.98418223    0.020218939
            330     0.70171959    0.014307717     0.55813941     0.01110029     0.89142521    0.019844637
            335     0.67823782    0.013736981     0.53678422    0.010605076     0.86883481     0.01896035
            340     0.61783915    0.013063249     0.49092323    0.010156581     0.78572086    0.017977673
            345     0.58889301    0.013829453     0.46618389    0.010598681     0.75292685    0.019244058
            350     0.56948582     0.03016858     0.44770275    0.020977072     0.73494939    0.045235821
            355     0.53067952    0.012413889     0.42197119   0.0098686862      0.6744391    0.017797292
            360     0.50368842    0.011836861     0.39727221   0.0091337682     0.64781891    0.016497139
            365     0.44556434    0.011761831     0.35237603   0.0089562887     0.57085461    0.016412159
            370     0.41557969    0.010737804     0.32756275   0.0082986674      0.5341896    0.014709034
            375     0.39031099      0.0103699      0.3080441   0.0080281792     0.50135258    0.014316492
            380     0.38193707    0.010350523     0.30110728   0.0079594874      0.4906102    0.014390706
            385     0.34699451   0.0098623142     0.27605886    0.007661374     0.43990765    0.013824414
            390     0.32694433   0.0095318277     0.25685832   0.0073847482     0.42182282    0.013441766
            395     0.31014275    0.009432843     0.24343133   0.0071865566     0.40075689    0.013137006
            400     0.30355269   0.0092465427     0.23929934   0.0071034269     0.38977696    0.012750449
            405     0.28350178    0.009010796     0.22552611   0.0071530471     0.35960999    0.012645153
            410     0.27124064     0.00905252     0.21434638    0.006997715     0.34692368    0.012751104
            415     0.25115617   0.0086813738     0.19559309   0.0065830306      0.3281438    0.012234917
            420      0.2222326   0.0079886525     0.17467654   0.0061179417     0.28700518      0.0112249
            425     0.22951289   0.0080478375     0.18090384   0.0062007788     0.29491501    0.011071269
            430     0.21367985   0.0077865968     0.16921514   0.0060194018     0.27194025    0.010995053
            435     0.19756637    0.010326832     0.15658899   0.0084140091     0.25205995    0.013551139
            440     0.19073254   0.0072921166     0.14816997   0.0055708056      0.2496819    0.010095003
            445      0.1641393   0.0068284228     0.12948106   0.0052880566     0.20989903    0.009596942
            450     0.16616382   0.0067830452     0.13038708   0.0052565734     0.21458113   0.0093185913
