#pt_bbZ-mbbZ750        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      529.66748     0.45017494      435.75952     0.37052218       702.8812     0.73608646
              5      780.79314     0.49065643      638.26562     0.37957678      1002.5405     0.72908805
             10      688.87658     0.44095625      555.42734     0.34226757      883.08224     0.63167496
             15      592.02066     0.40105597      475.09317     0.31502679      758.09805     0.56868141
             20      509.50561       0.368767      407.97909     0.28913839      651.92989     0.51273633
             25      439.58722     0.34079332      351.63376     0.26811003      561.98327     0.46958678
             30      380.71106     0.31691347      304.34901     0.24945515      486.41474      0.4332594
             35      329.96952     0.29422151      263.77436      0.2322921      421.18111     0.40139146
             40      286.39961     0.27446952      228.89781     0.21695117      365.40712     0.37351868
             45      248.78949     0.25564678      198.96005     0.20299701      316.99125     0.34789316
             50      216.26075      0.2388131      172.93444     0.18922377      275.45649     0.32323892
             55       187.8504     0.22285778      150.20397      0.1768009      239.22772      0.3009006
             60      163.74631     0.20784694      130.98698     0.16454305      208.35142     0.27916492
             65      141.92949      0.1934437      113.54117     0.15514938      180.53737     0.26490901
             70      124.24225     0.18117773      99.454487     0.14445588      157.87854     0.24538304
             75      108.44976     0.16933579      86.828791     0.13511173      137.76396     0.22911261
             80      94.767514     0.15851037       75.93034     0.12609304      120.24928     0.21304234
             85      82.687989     0.14808583      66.243995     0.11758291      104.93546      0.1981557
             90      72.699638     0.13932065      58.230569     0.11046923      92.275107     0.18638571
             95      64.151506     0.13288855      51.439564     0.10534148      81.302049     0.17881061
            100      56.369061     0.12264427      45.102306    0.097233187      71.535052      0.1654463
            105      49.818378     0.11599512      39.880446    0.093172028      63.152252      0.1602824
            110      44.050649      0.1091084      35.197338    0.088326154      55.958676     0.15234093
            115      38.962636     0.10280524      31.145264    0.081403388      49.445514     0.14015525
            120      34.483494    0.096777279      27.502393    0.076382053      43.881494     0.13133711
            125      30.610388    0.092328668       24.41493    0.073062602      38.933558     0.12807033
            130      27.439097    0.086365378      21.854314    0.068354088      34.953822     0.11867624
            135      24.396382    0.082457462      19.412133    0.064792926      31.112322     0.11287288
            140      21.910537     0.07859353      17.416828     0.06161437      27.966459     0.10781226
            145      19.370009    0.073651636      15.419044    0.058041492      24.668047     0.10201421
            150      17.512464    0.069630193       13.92271    0.054855697      22.337473    0.095920547
            155       15.65707    0.065526425      12.443136    0.051642399      19.973332    0.090231345
            160      14.127558    0.062147667      11.199142    0.048891546      18.081055    0.085745847
            165      12.773097    0.059130622      10.121554    0.046328925      16.354081    0.081392396
            170      11.428564    0.056466962      9.0611311    0.043915265      14.613622    0.077612487
            175      10.331051    0.053346534      8.1864699     0.04183369      13.214991    0.073716173
            180      9.4539523    0.053543432      7.4774505    0.041038893      12.124577    0.075269351
            185      8.4111795    0.048380773      6.6613507    0.037830011      10.765714    0.067105959
            190      7.6273549    0.045611701      6.0347534    0.035760779      9.7725324    0.063214445
            195      7.0531524    0.044068125      5.5716343    0.034291863       9.054098    0.060953545
            200      6.3396557    0.042228403      5.0169235     0.03280603      8.1131476    0.058567084
            205       5.801588    0.040733156      4.5812083    0.031602603      7.4493516    0.056931791
            210      5.3274695     0.03896382      4.2094933    0.030336022      6.8291616    0.054578589
            215      4.8674436    0.038618362      3.8432135    0.029629885      6.2448534    0.054014198
            220      4.4056984    0.034899659       3.477086    0.027019706      5.6555779    0.048389541
            225      4.0394187    0.033962631      3.1875367    0.026250475      5.1861411    0.047279095
            230      3.7249007    0.032389149      2.9379686    0.025085907      4.7835614    0.045123599
            235       3.375896    0.031876172      2.6676271    0.024451147      4.3236381    0.044504492
            240      3.0753371    0.029260675      2.4197572    0.022640741      3.9604104    0.040499817
            245      2.9458253    0.028393439      2.3229889    0.022133985      3.7807348    0.039781636
            250      2.6764234    0.027346712      2.1068792    0.021064346      3.4433963    0.037865923
            255      2.4248656    0.025948433      1.9154947     0.02015758      3.1038479    0.036412426
            260      2.2847723    0.034528753      1.7882875    0.025266768       2.961785    0.050110863
            265      2.1080386    0.025360244      1.6620044    0.019483318      2.7053477    0.035844626
            270      1.9386259    0.024024739      1.5282824    0.018547204      2.4865991    0.034617192
            275      1.8102786    0.022638177      1.4243264     0.01779312      2.3288549    0.033060556
            280      1.6857023    0.022273759      1.3254744    0.017213019      2.1691201    0.031783004
            285      1.4711449    0.020835415      1.1570754    0.015956842      1.8927718    0.029592116
            290      1.4313297    0.022070921      1.1248291    0.016636126      1.8430078    0.031687683
            295      1.3232577    0.019329757      1.0382194    0.014825369      1.7077162    0.027009362
            300      1.2090807    0.018888238     0.95425693    0.014437269      1.5468185    0.026612979
