#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      5.2768603     0.32263209       4.177114      0.2434856      7.3098121     0.50709782
           -4.9       14.03968     0.49158595      11.205418     0.37705358      18.883206     0.72946506
           -4.8      30.987235     0.73800452      25.112697     0.57004179      40.442575      1.0922851
           -4.7      65.484656      1.0636664      52.939742     0.82112335      85.598066      1.5614951
           -4.6      125.11317      1.4479607      100.89717      1.1193341      164.20701      2.1094861
           -4.5      210.93867      1.9009624      170.94549      1.4706748       274.7773      2.7682311
           -4.4      343.60848      2.4064301      277.10575      1.8613787      449.15605      3.4939757
           -4.3       504.1923      2.9017556       406.8482      2.2504164      656.66074      4.2017009
           -4.2      716.36695      3.4447246      577.74359      2.6723742      933.24895      4.9692456
           -4.1      954.30113      3.9597455      770.01823      3.0738189      1240.3246      5.7316628
             -4      1230.6895      4.4766592      992.84302      3.4958595      1597.3225      6.4911894
           -3.9      1523.2164      4.9624859      1229.0151      3.8585333      1975.3359      7.1181675
           -3.8      1816.5331      5.3844928      1465.9467      4.1978037      2350.0602      7.7334144
           -3.7      2121.1927      5.7948639      1711.2238      4.5161714      2741.1392      8.2952628
           -3.6      2408.7375      6.1510269      1942.5653      4.7869025      3111.6803      8.7549899
           -3.5      2700.8691      6.4945713      2179.7257        5.07265      3483.5898      9.2859147
           -3.4      2975.3134      6.7953597      2401.0271      5.2986323      3832.7656      9.6427256
           -3.3      3230.4825      7.1006083      2608.8661      5.5761422      4155.6147      10.165626
           -3.2        3468.77       7.302399      2801.3422      5.7124265      4459.0675      10.355522
           -3.1      3676.1537       7.472512       2968.922      5.8703998      4722.0566       10.70715
             -3      3884.2519       7.651677      3138.4505       6.006152      4983.2917      10.861969
           -2.9      4044.9135      7.8131985      3268.0844      6.1225926      5188.0463      11.060025
           -2.8       4181.491       7.909518      3378.7216      6.2135914      5358.1956      11.192264
           -2.7      4317.1074       8.012445      3488.3954      6.2981935      5530.8601       11.32801
           -2.6      4421.6193      8.0859756      3573.4952       6.353433      5659.3801      11.391363
           -2.5      4505.9284      8.1495295      3644.6051      6.4082967      5760.2802      11.474823
           -2.4      4567.2523      8.1903467      3694.3977      6.5089315      5835.9382      11.661166
           -2.3      4642.9151      8.2407457      3754.5975      6.4773236      5934.0776      11.562547
           -2.2      4696.5001      8.2832192      3797.9426       6.560609      5999.5798      11.762898
           -2.1       4720.954      8.2913879      3821.6736      6.5917409      6022.9519      11.783104
             -2      4738.3106      8.3035848      3830.5943        6.52998      6054.9299      11.611237
           -1.9      4750.3896      8.2961538      3842.2078      6.5582279      6066.1805      11.683189
           -1.8      4786.1946      8.3530418      3873.5915      6.5802687      6107.3092      11.697569
           -1.7      4782.3212      8.3068494      3870.2591      6.5666852      6102.1028      11.642052
           -1.6      4788.6467      8.2876538       3876.205      6.5458655      6105.4153      11.586934
           -1.5      4778.1166      8.2668393      3869.1156      6.5429966      6087.7164      11.599737
           -1.4      4792.6242      8.3985914      3877.8346       6.625346      6114.0826      11.762052
           -1.3      4774.4312      8.2967615       3862.935      6.5477859       6088.728      11.585104
           -1.2      4788.8692      8.2656211      3873.8531      6.5359868      6109.7202      11.566356
           -1.1      4770.5778      8.2357987      3860.5194      6.5096065      6082.9951      11.490991
             -1      4755.4623      8.2276465      3851.5103      6.5398247      6055.3763      11.579152
           -0.9      4770.8526      8.2117212      3863.2843      6.5095173      6076.6683      11.497714
           -0.8       4778.673      8.2251091      3868.6552      6.5277727      6088.4867      11.553426
           -0.7      4762.8968      8.2081789      3854.7543      6.5064492      6071.3416      11.472503
           -0.6      4755.9996      8.1953322       3848.877      6.4932378      6063.5905      11.444399
           -0.5       4743.467      8.1757534       3839.987      6.4698703       6044.587      11.395959
           -0.4       4738.647      8.1681248      3833.8007      6.4660066      6043.3066        11.4046
           -0.3      4726.1758      8.1564841      3824.8481      6.5120043       6022.633      11.528058
           -0.2       4736.811      8.1690764      3833.1735      6.4648866      6037.7359      11.392343
           -0.1      4736.7247      8.1653774      3834.3926      6.4792647      6036.5969      11.445625
              0       4747.807      8.1718818      3841.7522      6.4872195      6055.4298      11.456754
            0.1      4756.3698       8.217359      3847.0378      6.4993748      6067.9051      11.472484
            0.2      4745.2563      8.2040225      3839.5889      6.5437057      6051.2982      11.621502
            0.3       4749.449      8.2588653      3842.6892      6.5535112      6056.2139      11.621292
            0.4      4743.4702      8.1762757      3837.5169      6.4759936      6049.3961      11.428388
            0.5      4749.5558      8.2821562      3843.1654      6.5641453       6056.138      11.656304
            0.6      4754.2585      8.2073678      3847.8743      6.4951819       6058.787       11.48832
            0.7       4771.755      8.2716622      3863.1777      6.5657975      6078.8111      11.669394
            0.8      4781.5551      8.2362198      3870.4838      6.6154435      6094.4373      11.785931
            0.9      4774.5869      8.2309454       3863.023      6.5197152      6089.7581      11.563286
              1      4774.3328      8.2748936      3865.0428      6.5621784      6085.6627      11.676038
