#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5       148.1047      1.5056226      119.11022      1.1700441      191.05277      2.1168819
           -4.9      183.46299      1.6761835      147.46306      1.3029849      237.06353      2.3698054
           -4.8      221.81638      1.8507839      178.76333      1.4567897      285.67986      2.6518517
           -4.7      271.23519      2.0413553      218.25174      1.5870175      350.04805      2.8841578
           -4.6      328.69087      2.2520466      265.21929      1.7605877      423.26759      3.1891359
           -4.5      407.10631      2.4887646      327.44007      1.9391129      526.11727       3.521554
           -4.4      488.64401      2.7391347       393.3919      2.1388887      631.40969      3.8740887
           -4.3      591.20951      3.0029209      475.80407      2.3421417      764.38291      4.2537812
           -4.2      704.87332      3.2975188      567.85753      2.5696625      910.14911      4.6717104
           -4.1      837.25396      3.5894907       674.0562       2.797613      1081.0085      5.0848967
             -4      986.60649      3.8895424      794.83583      3.0429312      1272.4261      5.5422072
           -3.9      1161.8428      4.2184049      936.81924       3.299962      1497.3841      6.0098154
           -3.8      1343.1019      4.5368563      1083.9525      3.5626817      1729.0777      6.4973194
           -3.7      1559.7464      4.8828435      1258.3617      3.8165952      2007.9876      6.9372731
           -3.6      1763.5519      5.1921601      1422.9568      4.0696041      2271.0108      7.3975078
           -3.5      1996.6602       5.538671      1611.0915      4.3414428      2571.4169      7.8882751
           -3.4      2239.5402      5.8373923      1806.2744      4.5708436      2884.1773      8.2868554
           -3.3      2465.7963      6.1266485      1990.0662      4.8153295      3171.2561      8.7576666
           -3.2      2720.1513      6.4130406      2194.7759      5.0152563      3498.8203      9.0848119
           -3.1      2969.1186      6.7113849      2395.5813      5.2772236      3816.3637      9.6050883
             -3      3209.0415      6.9539084      2590.9104      5.4466537      4122.3263      9.8242041
           -2.9      3432.0886      7.2395514      2774.6897      5.6998756      4399.3556       10.33848
           -2.8      3647.4785      7.3884263       2945.943      5.7937854      4681.0015      10.429487
           -2.7      3881.8045      7.6127687      3135.2734      5.9844933      4981.2641      10.784456
           -2.6      4038.9369      7.7640781      3263.3596      6.0938646      5177.2732      10.979218
           -2.5      4238.9856      7.9338416      3426.1892      6.2427374      5428.5542      11.224101
           -2.4      4395.7411      8.0668605      3554.5121      6.3586304      5625.6256      11.406992
           -2.3      4526.2883      8.2112796      3658.6517      6.4549976       5791.715      11.586814
           -2.2      4678.8277      8.3199144      3782.5465      6.5923237      5987.7922      11.809222
           -2.1       4791.023      8.4317731      3874.0314      6.6378339      6127.5719      11.906657
             -2      4866.2266      8.4395908      3934.6545      6.6451419      6223.7871      11.859336
           -1.9      4958.6502      8.5217485      4009.4517      6.6996418      6342.8634      11.947914
           -1.8      5007.4299      8.5516734      4051.4841       6.778388      6397.1372      12.159809
           -1.7      5072.8029      8.6025005      4105.6941       6.770306       6476.871      12.058538
           -1.6      5091.7943      8.6002805      4120.5658       6.780063      6501.0044      12.084153
           -1.5      5134.9049      8.6277665      4156.1191       6.810803      6555.3701      12.119403
           -1.4       5156.072       8.779194      4172.4563      6.9081881      6581.5721      12.294918
           -1.3      5160.1507      8.6173917      4175.9938      6.8772825      6586.9476       12.23735
           -1.2      5172.0524      8.6223688      4186.4343      6.8038562      6598.8556      12.077883
           -1.1      5182.1525      8.6261412      4194.7331      6.8110966       6609.597      12.065791
             -1      5187.4954      8.6189853      4200.2269      6.8068717      6616.6583      12.060209
           -0.9      5187.8583      8.6098628      4200.0682      6.8012548       6614.975       12.02876
           -0.8      5184.9893      8.5983245      4198.0704      6.8262105      6611.6341      12.131733
           -0.7      5172.6808      8.6587696      4188.2158      6.8539872      6596.3987      12.176232
           -0.6      5179.5314      8.5925888      4194.4698      6.7955262      6600.9354      12.025525
           -0.5      5161.9035      8.5769266      4179.5307      6.8513945      6581.0615      12.171911
           -0.4      5161.4682      8.5615841      4177.4205      6.7690938      6584.4513       11.97689
           -0.3      5159.1428      8.5753262      4178.4613      6.7833736      6574.3382      12.014196
           -0.2      5157.7033      8.5738111      4176.4642      6.7675276      6574.5487      11.962503
           -0.1      5162.3301       8.619655      4182.0824      6.8377011      6575.6699      12.163192
              0      5142.3308      8.5603711      4166.7489      6.8528332      6547.8337      12.235269
            0.1      5142.8074      8.5502259       4165.161      6.7602702      6555.2244      11.955462
            0.2      5154.0387      8.5766963      4174.3994      6.7878742      6568.1954      12.034835
