#   y_j1-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5              0              0              0              0              0              0
           -4.4    0.037464231    0.027922793    0.030088077    0.022487129    0.047467089    0.035382532
           -4.3     0.14985692     0.04994981     0.12327822    0.039432102     0.18295453    0.065278095
           -4.2     0.61191577    0.089178248     0.47318569    0.068582098     0.80800668     0.12185179
           -4.1      1.2675803     0.13694104     0.99627885     0.10235495      1.6495498     0.20080976
             -4      2.3852227     0.18139038      1.8301552     0.13625482      3.1997458     0.25897112
           -3.9      4.2584342     0.23922348      3.3030283     0.18324113      5.6012671     0.32954959
           -3.8      7.7993117     0.32352406      6.0430607     0.24678452      10.291046     0.45356478
           -3.7       11.59455     0.39656054      8.9461682     0.30245069      15.361547     0.56169231
           -3.6      17.578195     0.48586525      13.545484     0.36930813      23.317591     0.68609949
           -3.5       24.95329     0.58877442      19.344365     0.44764461      32.822902     0.82952292
           -3.4      34.714939     0.69769339      27.132444     0.53878254      45.178256      1.0030196
           -3.3      45.675802     0.79514374      35.667398     0.61159639      59.582149      1.1378943
           -3.2      60.059172     0.91255451      46.880737     0.69756703      78.315662      1.2821856
           -3.1      76.921099      1.0400543      60.219833     0.79673172      100.02293      1.4773456
             -3       94.59102      1.1558455      73.820995     0.89019974      123.47197      1.6421151
           -2.9      115.39002      1.2699487      90.122579      0.9754142      150.53397      1.7891308
           -2.8      134.21111      1.4061555      104.90808      1.0698563      174.92591      1.9939422
           -2.7       158.6703      1.4826199       124.5416      1.1520636      205.74978      2.1132976
           -2.6      181.64946      1.6514888      142.71282      1.2780123      235.26844       2.392606
           -2.5      206.12453      1.6877551      161.69438      1.3030637      267.66924      2.3630937
           -2.4      229.16113      1.7853495      179.80904      1.3740725      297.37716      2.4921547
           -2.3      253.55802       1.872207      199.15644      1.4619685      328.69935      2.6771847
           -2.2      277.23547      1.9694576      217.18861      1.5244873      360.68502      2.7806681
           -2.1      302.59846      2.0824768      237.02507      1.5974884      393.67724      2.9001012
             -2      321.24223      2.1184014      252.04309      1.6497798      417.13247       2.996534
           -1.9      347.60833      2.1953766      272.68091      1.6913449       451.3855      3.0506636
           -1.8      367.55926       2.647451      288.24009       1.979889      477.59743      3.7949313
           -1.7      385.10926      2.4071544      301.78089      1.8385268      500.83441      3.3971072
           -1.6      404.84013      2.3874026      317.10598      1.8435401      526.76497      3.3324641
           -1.5      425.27702      2.4620129      332.79052      1.8926779      554.09228       3.418113
           -1.4       437.7378      2.4737683      342.50699      1.9164861      570.31381      3.4809483
           -1.3      454.91648      2.8030425      355.58968      2.1195041      593.43648      3.9832551
           -1.2      464.19844      2.5931757      362.96081      1.9832655      605.41595      3.6276479
           -1.1      476.16536       2.570392      372.50536      1.9800976      620.50238      3.5764976
             -1      488.40489      2.6415749      381.92035      2.0397185      636.75506      3.7015668
           -0.9      503.59435      2.8000815      392.71998       2.122925      658.86219      3.9258314
           -0.8       507.6398       2.680843      397.12925      2.0710463      661.38945      3.7499536
           -0.7       512.6412      2.6898941      400.29413      2.0753449      669.52103      3.7513399
           -0.6      518.78234      2.7282205       403.8794      2.0876622      680.10984      3.8249667
           -0.5      526.18127      2.7577263      410.66201      2.1313152       687.6628      3.9079946
           -0.4      533.05514      2.7407269      416.45774      2.1397738      695.59763       3.909336
           -0.3      535.15183      2.7691134      417.61863      2.1297474      699.38788      3.8750749
           -0.2      534.18974      2.7269305      417.04088      2.1133848      697.80682      3.8247347
           -0.1      537.83522      2.8560049       418.8639      2.1633227      704.63804      4.0548297
              0      533.17551      2.9842453      415.42679      2.2502122      698.17568      4.2241953
            0.1      533.09636      2.7530477      415.51744      2.1271342      697.65756      3.8854788
            0.2      533.61861      2.7468152        416.109      2.1093889      697.97498      3.8275598
            0.3      531.67045      3.0081163       413.7246      2.2701515      697.35719      4.2611158
            0.4      526.18833      2.7429571      410.93176      2.1083101      686.93655      3.8266976
            0.5      516.88381      2.6799174      402.85171      2.0614337      676.68407      3.7225216
            0.6      513.13144      2.7805348      401.27956        2.14756      668.86222      3.9774362
