#    y_j1-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      13.202299     0.43569767      10.605261     0.34300848       16.78418     0.60274376
           -4.9      18.550641     0.51760061      14.693918     0.39922025      24.066988     0.71006384
           -4.8      24.780649     0.59476001      19.682341     0.46182892      32.056474     0.81243614
           -4.7      32.879976      0.6914305      26.295086     0.53727482      42.090132     0.94751311
           -4.6      44.364786     0.79666321      35.362823     0.62030475      57.059313      1.0911535
           -4.5      154.15995      1.4821477      122.29389      1.1496844      199.39974      2.0583024
           -4.4      194.10218      1.6605494       154.1784       1.291643      250.50367      2.3138859
           -4.3      239.33711      1.8485393      190.70077      1.4379011      307.46243      2.5542553
           -4.2      294.20976      2.0402885      234.07567      1.5862902      378.67439      2.8049455
           -4.1      353.17179       2.235132      281.16747      1.7393365      454.03093      3.0671311
             -4       416.0808      2.4348712      331.99907      1.8983599      533.08985       3.337255
           -3.9      494.90246       2.654404      394.83877      2.0788536      634.25537      3.6468254
           -3.8       584.1992      2.8701533      466.57723      2.2445864      747.25292      3.9335267
           -3.7      673.34209      3.0812259       538.1446      2.4198034      860.46172      4.2457949
           -3.6       772.8081       3.291836      616.73612       2.583248       989.3675      4.5173846
           -3.5      887.97103       3.531314      709.64341      2.7619636      1134.4504      4.8089678
           -3.4      1000.5248      3.7531911      799.43004      2.9431723      1278.5691      5.1300253
           -3.3      1127.0271      3.9710192      902.52298      3.1171397      1435.5163      5.4121179
           -3.2      1250.4306      4.1811834      999.85359      3.2842434      1596.1683       5.693076
           -3.1      1391.3854      4.4041058       1112.625      3.4579735      1775.7103      5.9823916
             -3      1518.2421      4.5987182      1215.5419      3.6609001       1934.323       6.350593
           -2.9      1668.6626      4.8115051       1335.313      3.7849337      2127.4239      6.5547119
           -2.8      1797.1203      5.0100272      1438.5329       3.939009      2290.1488      6.8079146
           -2.7      1943.5838      5.1824282      1555.8683      4.0774463      2476.5026      7.0190929
           -2.6      2068.5291      5.3722537      1657.5506      4.2733719      2631.7386      7.4551174
           -2.5      2217.2634      5.5244413      1774.9689      4.4069208      2824.9733       7.642105
           -2.4      2337.6707      5.6778843      1871.8083      4.4749898      2977.5839      7.7111886
           -2.3      2475.1209      5.8260836      1980.4126      4.5951792       3155.644      7.8900405
           -2.2      2593.9573      5.9720742      2076.3453      4.7067018      3305.3484      8.0871988
           -2.1      2721.5472      6.1135302      2178.8423      4.8769468      3467.4709      8.4176966
             -2      2832.1093      6.2214515      2267.0952      4.9163862       3608.692      8.4434278
           -1.9      2941.7929      6.3821881      2353.2596      5.0232914      3752.3314      8.5936032
           -1.8      3051.1291      6.6073942      2441.8915      5.1974871      3888.8207      8.9637829
           -1.7      3148.7362      6.5918441      2520.1518      5.1983259       4013.129      8.9287996
           -1.6      3248.6493      6.6604677      2600.5564      5.2597489      4139.3757      9.0051971
           -1.5      3347.3463      6.7472059      2678.8817       5.333126      4267.0569      9.1242084
