#    pt_Z-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       5.200229    0.037233182       5.200229    0.037233182       5.200229    0.037233182
              5       15.53065    0.064089865       15.53065    0.064089865       15.53065    0.064089865
             10      25.389258    0.081370965      25.389258    0.081370965      25.389258    0.081370965
             15      34.611874    0.095848343      34.611874    0.095848343      34.611874    0.095848343
             20      42.815017     0.10739674      42.815017     0.10739674      42.815017     0.10739674
             25      49.780832     0.11527001      49.780832     0.11527001      49.780832     0.11527001
             30      55.711508     0.12221345      55.711508     0.12221345      55.711508     0.12221345
             35       60.16213     0.12592038       60.16213     0.12592038       60.16213     0.12592038
             40      63.749844     0.12942998      63.749844     0.12942998      63.749844     0.12942998
             45      66.366913     0.13248698      66.366913     0.13248698      66.366913     0.13248698
             50      68.199827     0.13410935      68.199827     0.13410935      68.199827     0.13410935
             55      69.383203     0.13511235      69.383203     0.13511235      69.383203     0.13511235
             60      69.185502     0.13405105      69.185502     0.13405105      69.185502     0.13405105
             65      67.939981     0.13241174      67.939981     0.13241174      67.939981     0.13241174
             70        64.7573     0.12908733        64.7573     0.12908733        64.7573     0.12908733
             75      61.393003     0.12566762      61.393003     0.12566762      61.393003     0.12566762
             80      57.015662     0.12118118      57.015662     0.12118118      57.015662     0.12118118
             85      52.455459     0.11518852      52.455459     0.11518852      52.455459     0.11518852
             90      47.911433     0.11119078      47.911433     0.11119078      47.911433     0.11119078
             95      43.445564     0.10524462      43.445564     0.10524462      43.445564     0.10524462
            100      39.151331    0.099157769      39.151331    0.099157769      39.151331    0.099157769
            105      35.264297    0.094472712      35.264297    0.094472712      35.264297    0.094472712
            110      31.597012    0.089718094      31.597012    0.089718094      31.597012    0.089718094
            115      28.242663    0.084595607      28.242663    0.084595607      28.242663    0.084595607
            120      25.236588    0.079600029      25.236588    0.079600029      25.236588    0.079600029
            125       22.63589    0.075420643       22.63589    0.075420643       22.63589    0.075420643
            130      20.398206    0.071529394      20.398206    0.071529394      20.398206    0.071529394
            135       18.09364    0.067535611       18.09364    0.067535611       18.09364    0.067535611
            140       16.12097    0.063572715       16.12097    0.063572715       16.12097    0.063572715
            145      14.552965    0.062261768      14.552965    0.062261768      14.552965    0.062261768
            150       13.00482    0.057417833       13.00482    0.057417833       13.00482    0.057417833
            155       11.65847     0.05415047       11.65847     0.05415047       11.65847     0.05415047
            160       10.53511    0.051767201       10.53511    0.051767201       10.53511    0.051767201
            165      9.4661892    0.048653771      9.4661892    0.048653771      9.4661892    0.048653771
            170      8.5193793    0.046144338      8.5193793    0.046144338      8.5193793    0.046144338
            175      7.6700635     0.04380972      7.6700635     0.04380972      7.6700635     0.04380972
            180      6.9359242    0.041771597      6.9359242    0.041771597      6.9359242    0.041771597
            185      6.3654003    0.039905868      6.3654003    0.039905868      6.3654003    0.039905868
            190      5.7424521     0.03825582      5.7424521     0.03825582      5.7424521     0.03825582
            195      5.1935806    0.036310154      5.1935806    0.036310154      5.1935806    0.036310154
            200      4.6789116    0.034484169      4.6789116    0.034484169      4.6789116    0.034484169
            205      4.3873742    0.035158701      4.3873742    0.035158701      4.3873742    0.035158701
            210      3.8950324    0.031248911      3.8950324    0.031248911      3.8950324    0.031248911
            215      3.5721823    0.030178308      3.5721823    0.030178308      3.5721823    0.030178308
            220      3.2638877    0.033574108      3.2638877    0.033574108      3.2638877    0.033574108
            225       2.980222    0.027599743       2.980222    0.027599743       2.980222    0.027599743
            230      2.7692447    0.026362441      2.7692447    0.026362441      2.7692447    0.026362441
            235      2.5047512    0.025015932      2.5047512    0.025015932      2.5047512    0.025015932
            240      2.2766392    0.024350299      2.2766392    0.024350299      2.2766392    0.024350299
            245      2.1127895     0.02391473      2.1127895     0.02391473      2.1127895     0.02391473
            250      1.9904441    0.023051919      1.9904441    0.023051919      1.9904441    0.023051919
            255      1.8048481    0.021284221      1.8048481    0.021284221      1.8048481    0.021284221
            260      1.6598187       0.021908      1.6598187       0.021908      1.6598187       0.021908
            265      1.5355434     0.01974957      1.5355434     0.01974957      1.5355434     0.01974957
            270      1.4496054    0.019112134      1.4496054    0.019112134      1.4496054    0.019112134
            275      1.2993345    0.018258619      1.2993345    0.018258619      1.2993345    0.018258619
            280      1.2355241    0.018078671      1.2355241    0.018078671      1.2355241    0.018078671
            285      1.1183566    0.017068521      1.1183566    0.017068521      1.1183566    0.017068521
            290      1.0186812    0.016252031      1.0186812    0.016252031      1.0186812    0.016252031
            295     0.97359508    0.015840037     0.97359508    0.015840037     0.97359508    0.015840037
            300     0.89347125    0.015783936     0.89347125    0.015783936     0.89347125    0.015783936
            305     0.85732708    0.015740149     0.85732708    0.015740149     0.85732708    0.015740149
            310     0.78038166    0.014280101     0.78038166    0.014280101     0.78038166    0.014280101
            315     0.69961407    0.013404529     0.69961407    0.013404529     0.69961407    0.013404529
            320     0.66197247    0.013216483     0.66197247    0.013216483     0.66197247    0.013216483
            325     0.63757467    0.012905663     0.63757467    0.012905663     0.63757467    0.012905663
            330     0.56694335    0.012401571     0.56694335    0.012401571     0.56694335    0.012401571
            335     0.55896454    0.011960964     0.55896454    0.011960964     0.55896454    0.011960964
            340     0.50243441    0.011293518     0.50243441    0.011293518     0.50243441    0.011293518
            345     0.48325187    0.012056098     0.48325187    0.012056098     0.48325187    0.012056098
            350     0.46502126    0.024296169     0.46502126    0.024296169     0.46502126    0.024296169
            355     0.43511174    0.010794013     0.43511174    0.010794013     0.43511174    0.010794013
            360      0.4090911    0.010293263      0.4090911    0.010293263      0.4090911    0.010293263
            365     0.36148529    0.010314502     0.36148529    0.010314502     0.36148529    0.010314502
            370     0.34135638   0.0094407551     0.34135638   0.0094407551     0.34135638   0.0094407551
            375     0.32206484   0.0090572098     0.32206484   0.0090572098     0.32206484   0.0090572098
            380     0.31556631   0.0090890344     0.31556631   0.0090890344     0.31556631   0.0090890344
            385     0.28476413   0.0086474349     0.28476413   0.0086474349     0.28476413   0.0086474349
            390     0.27045116   0.0083553734     0.27045116   0.0083553734     0.27045116   0.0083553734
            395     0.25247488   0.0081968291     0.25247488   0.0081968291     0.25247488   0.0081968291
            400     0.25072072   0.0080990053     0.25072072   0.0080990053     0.25072072   0.0080990053
            405     0.23130966   0.0078812743     0.23130966   0.0078812743     0.23130966   0.0078812743
            410     0.22172273   0.0079190192     0.22172273   0.0079190192     0.22172273   0.0079190192
            415     0.20861613   0.0077083132     0.20861613   0.0077083132     0.20861613   0.0077083132
            420     0.18214767   0.0069297165     0.18214767   0.0069297165     0.18214767   0.0069297165
            425     0.19032387   0.0070462338     0.19032387   0.0070462338     0.19032387   0.0070462338
            430     0.17738303   0.0068207423     0.17738303   0.0068207423     0.17738303   0.0068207423
            435     0.15828571   0.0067597727     0.15828571   0.0067597727     0.15828571   0.0067597727
            440     0.16038318    0.006425049     0.16038318    0.006425049     0.16038318    0.006425049
            445      0.1378851   0.0060519833      0.1378851   0.0060519833      0.1378851   0.0060519833
            450     0.13732747   0.0058669288     0.13732747   0.0058669288     0.13732747   0.0058669288
            455     0.12578274    0.005731891     0.12578274    0.005731891     0.12578274    0.005731891
            460     0.11909323   0.0057034561     0.11909323   0.0057034561     0.11909323   0.0057034561
            465     0.12433765   0.0069386323     0.12433765   0.0069386323     0.12433765   0.0069386323
            470     0.12261884   0.0055730887     0.12261884   0.0055730887     0.12261884   0.0055730887
            475     0.10077011   0.0053211682     0.10077011   0.0053211682     0.10077011   0.0053211682
