#         pt_j1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      351.77917     0.34186359      351.77917     0.34186359      351.77917     0.34186359
              5      602.24245     0.42491736      602.24245     0.42491736      602.24245     0.42491736
             10      562.87471     0.39693716      562.87471     0.39693716      562.87471     0.39693716
             15      498.52859     0.36651659      498.52859     0.36651659      498.52859     0.36651659
             20      437.57922     0.34126326      437.57922     0.34126326      437.57922     0.34126326
             25      382.32037     0.31551484      382.32037     0.31551484      382.32037     0.31551484
             30       333.9448     0.29331988       333.9448     0.29331988       333.9448     0.29331988
             35      291.91264     0.27347433      291.91264     0.27347433      291.91264     0.27347433
             40      254.95926     0.25632274      254.95926     0.25632274      254.95926     0.25632274
             45      222.99884     0.23900769      222.99884     0.23900769      222.99884     0.23900769
             50      194.65084     0.22245219      194.65084     0.22245219      194.65084     0.22245219
             55      170.55834     0.20794575      170.55834     0.20794575      170.55834     0.20794575
             60      149.59156      0.1944533      149.59156      0.1944533      149.59156      0.1944533
             65      131.28605     0.18176202      131.28605     0.18176202      131.28605     0.18176202
             70      115.62041     0.17175086      115.62041     0.17175086      115.62041     0.17175086
             75      101.65318     0.16047236      101.65318     0.16047236      101.65318     0.16047236
             80      89.703367     0.15032243      89.703367     0.15032243      89.703367     0.15032243
             85       79.73238     0.14255146       79.73238     0.14255146       79.73238     0.14255146
             90        70.5251     0.13329288        70.5251     0.13329288        70.5251     0.13329288
             95      62.746005     0.12573785      62.746005     0.12573785      62.746005     0.12573785
            100      55.938356     0.11888748      55.938356     0.11888748      55.938356     0.11888748
            105      49.805738     0.11242098      49.805738     0.11242098      49.805738     0.11242098
            110      44.674613     0.10729313      44.674613     0.10729313      44.674613     0.10729313
            115      39.971428     0.10154009      39.971428     0.10154009      39.971428     0.10154009
            120       36.03277    0.096127131       36.03277    0.096127131       36.03277    0.096127131
            125       32.31179    0.090816851       32.31179    0.090816851       32.31179    0.090816851
            130      29.110671    0.086679048      29.110671    0.086679048      29.110671    0.086679048
            135      26.137553    0.081991525      26.137553    0.081991525      26.137553    0.081991525
            140      23.725686    0.079711391      23.725686    0.079711391      23.725686    0.079711391
            145      21.562183    0.074670525      21.562183    0.074670525      21.562183    0.074670525
            150      19.639275    0.071397888      19.639275    0.071397888      19.639275    0.071397888
            155      17.749318    0.068135821      17.749318    0.068135821      17.749318    0.068135821
            160      16.197146    0.064842539      16.197146    0.064842539      16.197146    0.064842539
            165      14.831864    0.062449465      14.831864    0.062449465      14.831864    0.062449465
            170      13.586689    0.059651119      13.586689    0.059651119      13.586689    0.059651119
            175      12.368507    0.057096554      12.368507    0.057096554      12.368507    0.057096554
            180       11.27671     0.05422305       11.27671     0.05422305       11.27671     0.05422305
            185      10.352176    0.051838512      10.352176    0.051838512      10.352176    0.051838512
            190      9.5136099    0.050100962      9.5136099    0.050100962      9.5136099    0.050100962
            195      8.7941136    0.049901334      8.7941136    0.049901334      8.7941136    0.049901334
            200      8.0976666     0.04956479      8.0976666     0.04956479      8.0976666     0.04956479
            205      7.4351099    0.044529529      7.4351099    0.044529529      7.4351099    0.044529529
            210      6.8830111    0.042941315      6.8830111    0.042941315      6.8830111    0.042941315
            215       6.360243     0.04092181       6.360243     0.04092181       6.360243     0.04092181
            220      5.9582175    0.042979839      5.9582175    0.042979839      5.9582175    0.042979839
            225      5.4727254    0.038246697      5.4727254    0.038246697      5.4727254    0.038246697
            230       5.025265    0.039046869       5.025265    0.039046869       5.025265    0.039046869
            235      4.7567609     0.03955515      4.7567609     0.03955515      4.7567609     0.03955515
            240      4.3366413    0.034601828      4.3366413    0.034601828      4.3366413    0.034601828
            245      4.0303487    0.033024038      4.0303487    0.033024038      4.0303487    0.033024038
            250      3.7667816    0.032335241      3.7667816    0.032335241      3.7667816    0.032335241
            255      3.5206978    0.030817225      3.5206978    0.030817225      3.5206978    0.030817225
            260      3.2798503    0.030335986      3.2798503    0.030335986      3.2798503    0.030335986
            265      3.1016699    0.029408389      3.1016699    0.029408389      3.1016699    0.029408389
            270      2.8859545    0.029763902      2.8859545    0.029763902      2.8859545    0.029763902
            275      2.6684011    0.027032693      2.6684011    0.027032693      2.6684011    0.027032693
            280      2.5391694    0.026512687      2.5391694    0.026512687      2.5391694    0.026512687
            285      2.3851852    0.033436552      2.3851852    0.033436552      2.3851852    0.033436552
            290      2.2261267    0.027556337      2.2261267    0.027556337      2.2261267    0.027556337
            295      2.0357341    0.028764003      2.0357341    0.028764003      2.0357341    0.028764003
            300      1.9086169    0.023184495      1.9086169    0.023184495      1.9086169    0.023184495
            305      1.8360384    0.025275091      1.8360384    0.025275091      1.8360384    0.025275091
            310        1.70428     0.02189406        1.70428     0.02189406        1.70428     0.02189406
            315      1.5874761    0.022859566      1.5874761    0.022859566      1.5874761    0.022859566
            320      1.5066489    0.021700775      1.5066489    0.021700775      1.5066489    0.021700775
            325      1.4108131     0.01980926      1.4108131     0.01980926      1.4108131     0.01980926
            330      1.3656812    0.019054772      1.3656812    0.019054772      1.3656812    0.019054772
            335      1.2867474    0.021404369      1.2867474    0.021404369      1.2867474    0.021404369
            340      1.1999512    0.019071794      1.1999512    0.019071794      1.1999512    0.019071794
            345      1.1076764    0.018191403      1.1076764    0.018191403      1.1076764    0.018191403
            350      1.0481599    0.017325641      1.0481599    0.017325641      1.0481599    0.017325641
            355       1.023158     0.01708754       1.023158     0.01708754       1.023158     0.01708754
            360     0.93670086    0.016623765     0.93670086    0.016623765     0.93670086    0.016623765
            365     0.90694661    0.017400532     0.90694661    0.017400532     0.90694661    0.017400532
            370     0.81948858    0.015126167     0.81948858    0.015126167     0.81948858    0.015126167
            375     0.81762404     0.01502744     0.81762404     0.01502744     0.81762404     0.01502744
            380     0.77141587    0.016656683     0.77141587    0.016656683     0.77141587    0.016656683
            385     0.72254805    0.014853015     0.72254805    0.014853015     0.72254805    0.014853015
            390      0.6867952    0.014171429      0.6867952    0.014171429      0.6867952    0.014171429
            395      0.6585222    0.015160539      0.6585222    0.015160539      0.6585222    0.015160539
            400     0.61691185    0.013329095     0.61691185    0.013329095     0.61691185    0.013329095
            405      0.6004838    0.015253669      0.6004838    0.015253669      0.6004838    0.015253669
            410      0.5829875      0.0129757      0.5829875      0.0129757      0.5829875      0.0129757
            415     0.53790773    0.012756892     0.53790773    0.012756892     0.53790773    0.012756892
            420     0.49835134     0.01190983     0.49835134     0.01190983     0.49835134     0.01190983
            425     0.48405313    0.011734315     0.48405313    0.011734315     0.48405313    0.011734315
            430     0.45210249     0.01138829     0.45210249     0.01138829     0.45210249     0.01138829
            435     0.45389217    0.011322416     0.45389217    0.011322416     0.45389217    0.011322416
