# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      357.49223      2.6093127      281.51944       2.019603      462.46205       3.616267
     0.31415927      388.51655      2.4570126      305.74279      1.9523114      503.03119       3.298723
     0.62831853      404.75778      2.7375044      318.64793      2.1717267      523.76315      3.6951551
      0.9424778      426.54601      2.5703866      334.28443      2.0189856      555.06856      3.5101953
      1.2566371      478.04591      2.9795143      373.38186      2.3513753      625.07456      4.0146745
      1.5707963      570.02658      3.1262504      444.09692      2.4389188      748.21967      4.3064712
      1.8849556      728.10024      3.8425629       568.0056      3.1270525      953.15132      5.3613183
      2.1991149      995.44321      4.9998643       777.1842      3.9298501      1301.5237      6.7740335
      2.5132741      1433.2786      5.9046695       1125.575      4.7790232      1858.4533       7.757067
      2.8274334      2005.1298      6.4005957      1587.9885      5.0444279       2568.559      8.7903198
      3.1415927      2005.1298      6.4005957      1587.9885      5.0444279       2568.559      8.7903198
