#   pt_bb-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      150.86131      0.4438037      119.90626     0.35918718      193.70467      0.5904089
              5      360.35935     0.73893843      287.60676     0.61545795      460.35012     0.94596969
             10        416.773     0.83762814      333.69169     0.70218068      530.40876      1.0488124
             15      397.56758     0.85299994      319.42481     0.71001554      504.06127      1.0778698
             20      353.97611     0.88108298      285.72714     0.74314297      446.16828        1.09006
             25      303.77336     0.81875954      245.95782     0.69045868       381.5789      1.0021805
             30       258.4953     0.71560163      209.96639      0.6018022      323.55482     0.88123314
             35      220.61727     0.67397892      179.79273     0.57112486      275.13467     0.81850877
             40      188.65352     0.63479193      154.32651     0.54113785      234.19149     0.77040253
             45      160.15653     0.57830755      131.42713     0.49961687      198.05206     0.69284714
             50      136.69922     0.51559407      112.26412     0.44055138      168.90246     0.62288915
             55      116.76411     0.49693684      96.056752      0.4266137      143.83904     0.60051258
             60      99.773258     0.42264564       82.26317     0.36138891      122.49777      0.5156005
             65      86.539779     0.46397543       71.39383     0.40374521       106.1892     0.54914733
             70      74.462133     0.36999128      61.457867     0.31921206      91.309247     0.44437655
             75      65.422465     0.41192558      54.108169     0.36610817      80.017077     0.47713539
             80      56.415124     0.36257865      46.608171     0.31694243      69.096944     0.43034917
             85      49.210183     0.31766618      40.760727     0.28436956      60.054573     0.39913497
             90      42.590119     0.27943483      35.310099     0.24476372      51.869742     0.35562184
             95      37.136229      0.2511177      30.723011     0.21413292      45.349338      0.3123147
            100      32.629198     0.25097652      26.962413     0.21467385      39.898194     0.30521562
            105      29.181545      0.2147954      24.124289     0.18727976      35.671748     0.25876689
            110      25.442243     0.19532754      21.004813     0.16727741      31.135416     0.23934421
            115      22.909745     0.26319996      18.966902     0.25630241       27.97102     0.27774299
            120      20.013481     0.17990437      16.566221     0.15564997       24.40726     0.22796046
            125      17.884269     0.18082565      14.817408       0.158196      21.779109     0.21830578
            130      15.893116     0.15176202      13.088211      0.1296855      19.497382     0.18648798
            135      14.397714     0.19818812      11.884285     0.16916299      17.611705     0.23948646
            140      12.912055     0.14304773      10.634656     0.12360142       15.84238     0.17306953
            145      11.460521     0.13331012      9.4732966     0.11473012      13.983189     0.16294443
            150      10.330552     0.14123533      8.5889581     0.12237222      12.499439     0.17602126
            155      9.3286493       0.121045      7.7153192     0.10304591      11.372249     0.15001834
            160      8.3296888     0.11825114      6.9029187     0.10294994      10.150502     0.16291312
            165      7.5145303     0.11865973        6.20142     0.10348691      9.1822545     0.14166863
            170      6.9742175     0.10348424      5.7295084    0.086571734      8.5754832     0.13125533
            175      6.3488155    0.098096797      5.2453309    0.083653269      7.7422226     0.12503807
            180      5.6365801    0.092100254      4.6343893    0.079128174      6.9191803     0.11262066
