#  m_bbZ-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15              0              0              0              0              0              0
             16              0              0              0              0              0              0
             17              0              0              0              0              0              0
             18              0              0              0              0              0              0
             19              0              0              0              0              0              0
             20              0              0              0              0              0              0
             21              0              0              0              0              0              0
             22              0              0              0              0              0              0
             23              0              0              0              0              0              0
             24              0              0              0              0              0              0
             25              0              0              0              0              0              0
             26              0              0              0              0              0              0
             27              0              0              0              0              0              0
             28              0              0              0              0              0              0
             29              0              0              0              0              0              0
             30              0              0              0              0              0              0
             31              0              0              0              0              0              0
             32              0              0              0              0              0              0
             33              0              0              0              0              0              0
             34              0              0              0              0              0              0
             35              0              0              0              0              0              0
             36              0              0              0              0              0              0
             37              0              0              0              0              0              0
             38              0              0              0              0              0              0
             39              0              0              0              0              0              0
             40              0              0              0              0              0              0
             41              0              0              0              0              0              0
             42              0              0              0              0              0              0
             43              0              0              0              0              0              0
             44              0              0              0              0              0              0
             45              0              0              0              0              0              0
             46              0              0              0              0              0              0
             47   0.0038285432   0.0038283518   0.0038285432   0.0038283518   0.0038285432   0.0038283518
             48              0              0              0              0              0              0
             49              0              0              0              0              0              0
             50              0              0              0              0              0              0
             51              0              0              0              0              0              0
             52   0.0056816931    0.005681409   0.0056816931    0.005681409   0.0056816931    0.005681409
             53              0              0              0              0              0              0
             54              0              0              0              0              0              0
             55   0.0095216537   0.0068603067   0.0095216537   0.0068603067   0.0095216537   0.0068603067
             56   0.0076570863   0.0054141069   0.0076570863   0.0054141069   0.0076570863   0.0054141069
             57   0.0044113189   0.0044110983   0.0044113189   0.0044110983   0.0044113189   0.0044110983
             58              0              0              0              0              0              0
             59   0.0076574807   0.0054143857   0.0076574807   0.0054143857   0.0076574807   0.0054143857
             60              0              0              0              0              0              0
             61   0.0035774606   0.0035772818   0.0035774606   0.0035772818   0.0035774606   0.0035772818
             62   0.0038336615   0.0038334698   0.0038336615   0.0038334698   0.0038336615   0.0038334698
             63   0.0096797241   0.0069950256   0.0096797241   0.0069950256   0.0096797241   0.0069950256
             64              0              0              0              0              0              0
             65   0.0078963584   0.0055858394   0.0078963584   0.0055858394   0.0078963584   0.0055858394
             66              0              0              0              0              0              0
             67   0.0047175197   0.0047172839   0.0047175197   0.0047172839   0.0047175197   0.0047172839
             68              0              0              0              0              0              0
             69              0              0              0              0              0              0
             70              0              0              0              0              0              0
             71    0.020334449   0.0091276745    0.020334449   0.0091276745    0.020334449   0.0091276745
             72   0.0050980316   0.0050977768   0.0050980316   0.0050977768   0.0050980316   0.0050977768
             73   0.0064704722   0.0064701487   0.0064704722   0.0064701487   0.0064704722   0.0064701487
             74    0.012387008   0.0072698268    0.012387008   0.0072698268    0.012387008   0.0072698268
             75    0.006160827   0.0061605189    0.006160827   0.0061605189    0.006160827   0.0061605189
             76     0.01097185   0.0063483103     0.01097185   0.0063483103     0.01097185   0.0063483103
             77    0.012609153   0.0073485462    0.012609153   0.0073485462    0.012609153   0.0073485462
             78    0.020942028   0.0094267581    0.020942028   0.0094267581    0.020942028   0.0094267581
             79   0.0076578737   0.0054146637   0.0076578737   0.0054146637   0.0076578737   0.0054146637
             80    0.038085236    0.012815867    0.038085236    0.012815867    0.038085236    0.012815867
             81    0.042599409    0.014589581    0.042599409    0.014589581    0.042599409    0.014589581
             82    0.024002756   0.0098365628    0.024002756   0.0098365628    0.024002756   0.0098365628
             83    0.032960924    0.016254208    0.032960924    0.016254208    0.032960924    0.016254208
             84    0.023193799   0.0094966108    0.023193799   0.0094966108    0.023193799   0.0094966108
             85    0.023089074   0.0094625888    0.023089074   0.0094625888    0.023089074   0.0094625888
             86    0.029038484    0.011033111    0.029038484    0.011033111    0.029038484    0.011033111
             87    0.038462893    0.012166308    0.038462893    0.012166308    0.038462893    0.012166308
             88    0.061551476    0.015958356    0.061551476    0.015958356    0.061551476    0.015958356
             89    0.085602459    0.018798683    0.085602459    0.018798683    0.085602459    0.018798683
             90     0.16502982     0.03470887     0.16502982     0.03470887     0.16502982     0.03470887
             91     0.10216742    0.026610337     0.10216742    0.026610337     0.10216742    0.026610337
             92     0.27034596    0.035989658     0.27034596    0.035989658     0.27034596    0.035989658
             93     0.49767765     0.18122988     0.49767765     0.18122988     0.49767765     0.18122988
             94     0.40788582    0.043237295     0.40788582    0.043237295     0.40788582    0.043237295
             95     0.57990817    0.054411997     0.57990817    0.054411997     0.57990817    0.054411997
             96     0.70242785    0.060863382     0.70242785    0.060863382     0.70242785    0.060863382
             97     0.79930363    0.065877966     0.79930363    0.065877966     0.79930363    0.065877966
             98      1.0107417    0.072837696      1.0107417    0.072837696      1.0107417    0.072837696
             99     0.98917676    0.078047676     0.98917676    0.078047676     0.98917676    0.078047676
            100      1.1956955     0.12120998      1.1956955     0.12120998      1.1956955     0.12120998
            101       1.327701     0.08538053       1.327701     0.08538053       1.327701     0.08538053
            102      1.7919175     0.23792249      1.7919175     0.23792249      1.7919175     0.23792249
            103      1.4887201    0.086856361      1.4887201    0.086856361      1.4887201    0.086856361
            104      1.7691944     0.13126442      1.7691944     0.13126442      1.7691944     0.13126442
            105      1.6794107    0.096746853      1.6794107    0.096746853      1.6794107    0.096746853
            106      1.9563142     0.25623023      1.9563142     0.25623023      1.9563142     0.25623023
            107      1.8625298     0.15800651      1.8625298     0.15800651      1.8625298     0.15800651
