#  pt_Z-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      419.69763      1.6371103      419.69763      1.6371103      419.69763      1.6371103
              5      997.90011      2.3294477      997.90011      2.3294477      997.90011      2.3294477
             10      1179.7187       2.383888      1179.7187       2.383888      1179.7187       2.383888
             15      1139.5697       2.362019      1139.5697       2.362019      1139.5697       2.362019
             20       1012.716      2.1661539       1012.716      2.1661539       1012.716      2.1661539
             25      868.67405      1.9428509      868.67405      1.9428509      868.67405      1.9428509
             30      732.85051      1.7982176      732.85051      1.7982176      732.85051      1.7982176
             35      612.84478      1.6188709      612.84478      1.6188709      612.84478      1.6188709
             40      510.12138       1.477387      510.12138       1.477387      510.12138       1.477387
             45      427.18399      1.3076932      427.18399      1.3076932      427.18399      1.3076932
             50      355.34225      1.2367494      355.34225      1.2367494      355.34225      1.2367494
             55      296.40175      1.1240453      296.40175      1.1240453      296.40175      1.1240453
             60      246.84343      1.0160066      246.84343      1.0160066      246.84343      1.0160066
             65      205.87916     0.92141712      205.87916     0.92141712      205.87916     0.92141712
             70      170.93789      0.8815786      170.93789      0.8815786      170.93789      0.8815786
             75      143.05475     0.78179439      143.05475     0.78179439      143.05475     0.78179439
             80      120.95629     0.76818527      120.95629     0.76818527      120.95629     0.76818527
             85      99.798177     0.63739652      99.798177     0.63739652      99.798177     0.63739652
             90      83.349064     0.60479894      83.349064     0.60479894      83.349064     0.60479894
             95      68.952998     0.46300716      68.952998     0.46300716      68.952998     0.46300716
            100      58.346869      0.4898524      58.346869      0.4898524      58.346869      0.4898524
            105      48.745112     0.45028586      48.745112     0.45028586      48.745112     0.45028586
            110      40.138685     0.37314798      40.138685     0.37314798      40.138685     0.37314798
            115      34.412667     0.42818724      34.412667     0.42818724      34.412667     0.42818724
            120      28.637693     0.35255757      28.637693     0.35255757      28.637693     0.35255757
            125      24.260502      0.2681422      24.260502      0.2681422      24.260502      0.2681422
            130      20.938238     0.31543419      20.938238     0.31543419      20.938238     0.31543419
            135      17.402435     0.22527703      17.402435     0.22527703      17.402435     0.22527703
            140      15.183607     0.19779236      15.183607     0.19779236      15.183607     0.19779236
            145      12.951183     0.20072926      12.951183     0.20072926      12.951183     0.20072926
            150      11.171698     0.18747117      11.171698     0.18747117      11.171698     0.18747117
            155      9.6197758     0.16182504      9.6197758     0.16182504      9.6197758     0.16182504
            160      8.3036569      0.1325409      8.3036569      0.1325409      8.3036569      0.1325409
            165      7.3249716      0.1372451      7.3249716      0.1372451      7.3249716      0.1372451
            170      6.1522703     0.11462887      6.1522703     0.11462887      6.1522703     0.11462887
            175       5.624417     0.10576161       5.624417     0.10576161       5.624417     0.10576161
            180      4.8450983    0.095284358      4.8450983    0.095284358      4.8450983    0.095284358
