# pt_bbZ-zoom-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      1.7934594     0.18803717      1.7934594     0.18803717      1.7934594     0.18803717
              1      5.2878395      0.2802855      5.2878395      0.2802855      5.2878395      0.2802855
              2      10.294036     0.62614762      10.294036     0.62614762      10.294036     0.62614762
              3      13.772053     0.42082376      13.772053     0.42082376      13.772053     0.42082376
              4      19.103248     0.52958878      19.103248     0.52958878      19.103248     0.52958878
              5      23.633649     0.68202949      23.633649     0.68202949      23.633649     0.68202949
              6      28.596807     0.59096173      28.596807     0.59096173      28.596807     0.59096173
              7      34.209934     0.74105588      34.209934     0.74105588      34.209934     0.74105588
              8      43.025853      1.1887499      43.025853      1.1887499      43.025853      1.1887499
              9      48.032326      1.0584594      48.032326      1.0584594      48.032326      1.0584594
             10      54.533785     0.89960457      54.533785     0.89960457      54.533785     0.89960457
             11      61.386108     0.90362467      61.386108     0.90362467      61.386108     0.90362467
             12      66.319461     0.92331726      66.319461     0.92331726      66.319461     0.92331726
             13      76.002711      1.0905874      76.002711      1.0905874      76.002711      1.0905874
             14      84.245709      1.2503906      84.245709      1.2503906      84.245709      1.2503906
             15       94.19676      1.3053864       94.19676      1.3053864       94.19676      1.3053864
             16      101.47887      1.3211876      101.47887      1.3211876      101.47887      1.3211876
             17      111.10325      1.2142611      111.10325      1.2142611      111.10325      1.2142611
             18      122.80495      1.4954442      122.80495      1.4954442      122.80495      1.4954442
             19      133.07874      1.7390692      133.07874      1.7390692      133.07874      1.7390692
             20      143.99961      1.5621295      143.99961      1.5621295      143.99961      1.5621295
             21      154.21715      1.8137679      154.21715      1.8137679      154.21715      1.8137679
             22      172.09582      1.7919016      172.09582      1.7919016      172.09582      1.7919016
             23      188.50622      2.0274412      188.50622      2.0274412      188.50622      2.0274412
             24      197.70143      1.8614064      197.70143      1.8614064      197.70143      1.8614064
             25      213.10761      1.9626167      213.10761      1.9626167      213.10761      1.9626167
             26       223.5623       1.824644       223.5623       1.824644       223.5623       1.824644
             27      243.03842      2.2876439      243.03842      2.2876439      243.03842      2.2876439
             28      259.24169      2.0992785      259.24169      2.0992785      259.24169      2.0992785
             29      269.60207      2.0843134      269.60207      2.0843134      269.60207      2.0843134
             30      306.50053      2.4178632      306.50053      2.4178632      306.50053      2.4178632
             31      327.04002      2.4602962      327.04002      2.4602962      327.04002      2.4602962
             32      340.83668       2.474849      340.83668       2.474849      340.83668       2.474849
             33      354.67511       2.930403      354.67511       2.930403      354.67511       2.930403
             34       362.3169      2.8511579       362.3169      2.8511579       362.3169      2.8511579
             35      370.48545      2.5222206      370.48545      2.5222206      370.48545      2.5222206
             36      372.45229       2.478147      372.45229       2.478147      372.45229       2.478147
             37      378.50287       2.761816      378.50287       2.761816      378.50287       2.761816
             38      383.81532       2.899162      383.81532       2.899162      383.81532       2.899162
             39      383.75913      2.7665394      383.75913      2.7665394      383.75913      2.7665394
             40      383.94808      2.8185382      383.94808      2.8185382      383.94808      2.8185382
             41      381.61367      2.7423852      381.61367      2.7423852      381.61367      2.7423852
             42      377.43007      2.5552689      377.43007      2.5552689      377.43007      2.5552689
             43      371.78497      2.6583448      371.78497      2.6583448      371.78497      2.6583448
             44      367.09838      2.6640269      367.09838      2.6640269      367.09838      2.6640269
             45      366.37281      2.7414722      366.37281      2.7414722      366.37281      2.7414722
             46      361.16141      2.7590274      361.16141      2.7590274      361.16141      2.7590274
             47      353.58508      2.5538791      353.58508      2.5538791      353.58508      2.5538791
             48      345.59708      2.4777396      345.59708      2.4777396      345.59708      2.4777396
             49      340.66369      2.4449262      340.66369      2.4449262      340.66369      2.4449262
             50      340.66369      2.4449262      340.66369      2.4449262      340.66369      2.4449262
