# y_bbZ-mbbZ150        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5     0.86698751     0.33660872     0.86698751     0.33660872     0.86698751     0.33660872
           -4.9      3.7178071        1.47883      3.7178071        1.47883      3.7178071        1.47883
           -4.8      7.7730647      1.1625551      7.7730647      1.1625551      7.7730647      1.1625551
           -4.7      29.710736       3.587812      29.710736       3.587812      29.710736       3.587812
           -4.6      61.605529      3.6972956      61.605529      3.6972956      61.605529      3.6972956
           -4.5      132.71528      6.1417586      132.71528      6.1417586      132.71528      6.1417586
           -4.4      237.29688      7.0644196      237.29688      7.0644196      237.29688      7.0644196
           -4.3      410.07907      11.162037      410.07907      11.162037      410.07907      11.162037
           -4.2      632.38191      11.175627      632.38191      11.175627      632.38191      11.175627
           -4.1      939.05935      15.537416      939.05935      15.537416      939.05935      15.537416
             -4       1238.041       14.51316       1238.041       14.51316       1238.041       14.51316
           -3.9      1641.7517      17.663872      1641.7517      17.663872      1641.7517      17.663872
           -3.8      1997.8578      22.355221      1997.8578      22.355221      1997.8578      22.355221
           -3.7      2359.5141      25.034659      2359.5141      25.034659      2359.5141      25.034659
           -3.6      2719.2369      24.511409      2719.2369      24.511409      2719.2369      24.511409
           -3.5      3043.1274      23.211216      3043.1274      23.211216      3043.1274      23.211216
           -3.4      3328.7112      23.676087      3328.7112      23.676087      3328.7112      23.676087
           -3.3      3594.7934      24.416258      3594.7934      24.416258      3594.7934      24.416258
           -3.2      3800.7486      26.798442      3800.7486      26.798442      3800.7486      26.798442
           -3.1      4041.2319      27.857278      4041.2319      27.857278      4041.2319      27.857278
             -3      4166.8188       27.58216      4166.8188       27.58216      4166.8188       27.58216
           -2.9      4293.7203       28.43285      4293.7203       28.43285      4293.7203       28.43285
           -2.8      4389.0548      30.372215      4389.0548      30.372215      4389.0548      30.372215
           -2.7      4532.1492       34.19922      4532.1492       34.19922      4532.1492       34.19922
           -2.6      4490.9195      28.733223      4490.9195      28.733223      4490.9195      28.733223
           -2.5      4644.0571      32.897224      4644.0571      32.897224      4644.0571      32.897224
           -2.4      4633.5301      31.880924      4633.5301      31.880924      4633.5301      31.880924
           -2.3      4708.1563       33.54993      4708.1563       33.54993      4708.1563       33.54993
           -2.2        4706.89      34.717368        4706.89      34.717368        4706.89      34.717368
           -2.1      4729.2331      34.215526      4729.2331      34.215526      4729.2331      34.215526
             -2       4746.527      34.923104       4746.527      34.923104       4746.527      34.923104
           -1.9      4748.3784      36.745145      4748.3784      36.745145      4748.3784      36.745145
           -1.8       4806.422      34.881494       4806.422      34.881494       4806.422      34.881494
           -1.7      4794.8311      33.912973      4794.8311      33.912973      4794.8311      33.912973
           -1.6      4838.4105      35.445434      4838.4105      35.445434      4838.4105      35.445434
           -1.5      4783.3497      33.251675      4783.3497      33.251675      4783.3497      33.251675
           -1.4      4803.8997      33.279669      4803.8997      33.279669      4803.8997      33.279669
           -1.3      4833.0627      34.382295      4833.0627      34.382295      4833.0627      34.382295
           -1.2      4846.9537      34.875019      4846.9537      34.875019      4846.9537      34.875019
           -1.1      4792.7945      33.965026      4792.7945      33.965026      4792.7945      33.965026
             -1      4837.6965      35.241643      4837.6965      35.241643      4837.6965      35.241643
           -0.9      4852.6705      33.464959      4852.6705      33.464959      4852.6705      33.464959
           -0.8      4835.7335      36.010941      4835.7335      36.010941      4835.7335      36.010941
           -0.7      4828.0717      34.291929      4828.0717      34.291929      4828.0717      34.291929
           -0.6      4898.1607      36.413409      4898.1607      36.413409      4898.1607      36.413409
           -0.5      4875.2631      34.308518      4875.2631      34.308518      4875.2631      34.308518
           -0.4      4901.5524      36.945189      4901.5524      36.945189      4901.5524      36.945189
           -0.3      4843.5091      34.761687      4843.5091      34.761687      4843.5091      34.761687
           -0.2      4857.4422      34.202395      4857.4422      34.202395      4857.4422      34.202395
           -0.1      4918.0603       35.81334      4918.0603       35.81334      4918.0603       35.81334
              0      4811.2409      33.097601      4811.2409      33.097601      4811.2409      33.097601
            0.1      4860.7328      34.375523      4860.7328      34.375523      4860.7328      34.375523
            0.2      4802.1766      35.728081      4802.1766      35.728081      4802.1766      35.728081
            0.3      4868.3159      35.346356      4868.3159      35.346356      4868.3159      35.346356
            0.4      4840.5917      34.911831      4840.5917      34.911831      4840.5917      34.911831
            0.5      4837.9957      35.460833      4837.9957      35.460833      4837.9957      35.460833
            0.6      4896.5709      37.631905      4896.5709      37.631905      4896.5709      37.631905
            0.7      4847.6391       37.28486      4847.6391       37.28486      4847.6391       37.28486
            0.8      4832.7145      33.962961      4832.7145      33.962961      4832.7145      33.962961
            0.9      4807.0977      35.194957      4807.0977      35.194957      4807.0977      35.194957
              1      4847.3545       32.98158      4847.3545       32.98158      4847.3545       32.98158
            1.1      4759.0114      32.455885      4759.0114      32.455885      4759.0114      32.455885
            1.2      4830.4334      36.915819      4830.4334      36.915819      4830.4334      36.915819
            1.3      4796.9658       33.75507      4796.9658       33.75507      4796.9658       33.75507
            1.4      4787.2934      34.238139      4787.2934      34.238139      4787.2934      34.238139
            1.5      4828.7976      35.538405      4828.7976      35.538405      4828.7976      35.538405
            1.6      4779.6465      33.821758      4779.6465      33.821758      4779.6465      33.821758
            1.7      4707.8664      33.217457      4707.8664      33.217457      4707.8664      33.217457
            1.8      4757.0759      34.046336      4757.0759      34.046336      4757.0759      34.046336
