#   pt_Z-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.98871239    0.074342079     0.78410178    0.057068847      1.2680356     0.11363436
              5      3.4870159     0.13804017      2.6920585     0.10483258      4.6203772     0.19187026
             10       5.787383     0.17697182      4.4907486     0.13488946      7.6221789        0.24573
             15      7.6598018     0.20981449      5.9174256     0.15999232      10.149671     0.29210402
             20      9.5367891       0.242685      7.4169569     0.18562111      12.529282     0.34316182
             25      11.286556     0.24631004       8.733437     0.18844134      14.922617      0.3398183
             30      12.242195     0.25382547       9.499432      0.1954294       16.12656     0.35015172
             35       13.57325     0.27649077      10.515209     0.21588209       17.93178     0.37678428
             40      13.522592     0.30711938      10.516222      0.2430706      17.769564     0.40982718
             45      14.141488     0.28750991      11.002024     0.22184189      18.586596     0.39843378
             50      14.419431     0.28632978      11.184861     0.22308181      19.015784     0.38902815
             55       14.93028     0.28446203      11.636163     0.22118666      19.563223     0.39511782
             60      14.846026     0.30813418       11.50593     0.24192239      19.596294     0.41196505
             65      14.543765     0.32960335      11.388551     0.26946562       18.94332     0.42908381
             70       13.56124     0.26723486      10.494709     0.20592551      17.932907     0.37076488
             75       14.49783     0.32514748      11.243746     0.24064769       19.13093     0.47410676
             80      14.874981      0.3780423      11.559081       0.310548      19.589444     0.47949495
             85      13.680897     0.28908683      10.650787     0.22796254      17.951715     0.38463354
             90      13.862084      0.3028446      10.866773     0.24237656       18.03299     0.40118784
             95      13.294051     0.29692925      10.367986     0.23893724      17.423538     0.39044465
            100      13.565519     0.29220814      10.650492     0.23451727      17.618251     0.41648768
            105      12.571064     0.25623163      9.8201882     0.19970457      16.417273     0.34980809
            110      12.829497     0.26494524      10.064657     0.21095937      16.662498     0.35667236
            115      12.639158     0.25526957       9.913866     0.19937434      16.426463     0.34810434
            120      12.481502     0.26126546      9.8566388     0.20915787      16.067383     0.34987275
            125      12.937575     0.52930078      10.163386     0.40206613      16.740457      0.6938937
            130      11.721233     0.24176365      9.1944724     0.18888975      15.224439     0.32534132
            135      11.323051     0.23919202      9.0061086     0.19019723      14.420782     0.33093388
            140      10.902388     0.31301486      8.5901903     0.26582987      14.077661      0.3836352
            145      10.264636     0.24297703      8.1726001     0.20093911       13.06498     0.33253295
            150      9.5804691     0.22248147      7.6162255     0.17515587      12.206623     0.29985283
            155       9.306299     0.21955109      7.3753262     0.17348554      11.914973     0.29705973
            160      8.6341254     0.22729746       6.813087     0.18120702       11.12006     0.30249001
            165      7.8483697     0.20203555      6.1839061     0.15743421      10.123792      0.2721432
            170      7.1952146       0.198442      5.7233535     0.15490707      9.1605856     0.27078844
            175      6.4835932     0.17999567      5.1086229     0.14024376      8.3555309     0.24390377
            180      6.4369632     0.19252928      5.0927435     0.15113743      8.2532963     0.25814755
            185        5.59143     0.16939572      4.4351967     0.13420744      7.1438381     0.22740387
            190      5.1646747     0.16446625      4.1200927     0.13297631      6.5511745     0.22525243
            195      4.9158649      0.1622123      3.8688979     0.12778533      6.3375138     0.21884095
            200      4.7925209     0.16533102      3.7872115     0.13221358      6.1506806     0.21617955
            205      4.0315617     0.14486486      3.1603639     0.11191968      5.2270723     0.19681798
            210      3.6291645     0.13484062      2.8630418     0.10465762      4.6646126     0.18420912
            215      3.7112494     0.13586406      2.9599276     0.10833878      4.7027237     0.18275172
            220      3.4111237     0.13383896      2.7011828     0.10520988      4.3658718     0.17970235
            225      3.0594861      0.1313476      2.4190727     0.10319583      3.9184392     0.17541005
            230      2.8008811     0.11994687      2.2263665    0.096590694      3.5681058     0.15875933
            235      2.6806848     0.12768173      2.1329608     0.10438046      3.4079184     0.16653204
            240      2.2796041     0.10684647      1.8147877    0.083688021      2.8894197     0.14923392
            245      2.0986197     0.10489378      1.6858877    0.086658786      2.6243509     0.15915525
            250      2.0757282     0.10168719      1.6422188    0.079439107      2.6544094     0.13772997
            255      1.9732843     0.10346248      1.6138404    0.088014772      2.4145715     0.15894244
            260      1.6830086     0.10700872      1.3923387    0.087824359      2.0249104     0.21333566
            265      1.5512885    0.090092696      1.2335726    0.070518255      1.9695644     0.12145523
            270      1.5229339    0.089011587      1.1917226    0.069372405      1.9755364     0.12006675
            275      1.3989799    0.097949002      1.1054241    0.078166857      1.7941246     0.12858303
            280      1.3016103    0.082841633      1.0419214    0.064687121      1.6337079     0.11401813
            285      1.1555503     0.07766631     0.89672302    0.059315091      1.5139127     0.10618264
            290       1.166863     0.07868378     0.91679397    0.059764399      1.5040446     0.11019925
