#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      574.27137      1.0575587      468.13883     0.88029593      1107.3875      3.9650086
              5      1355.1628      1.5512458      1116.5783      1.3159918      2391.9784      5.3494711
             10      1563.3156      1.5929545      1302.1038       1.375151      2495.8529      4.8985499
             15      1457.2982      1.4651744      1222.8846      1.2818784      2149.3324      4.0170781
             20      1253.2706      1.2759519      1055.4954      1.1239302      1756.0288      3.2673148
             25      1043.7057      1.1440593      880.48417      1.0183163      1407.3964      2.6526429
             30      858.92906      0.9788074      724.33292     0.87167892      1132.0117      2.1533568
             35      703.67436     0.83627399      593.16786     0.74884154      908.33558      1.7624075
             40      579.38213     0.72712848      487.38116     0.65041524      740.00705      1.4678599
             45      479.57541     0.63954903      403.18645     0.57214153      605.16183      1.2158584
             50       397.3635     0.56672438      333.57619     0.50598407      498.98677      1.0776424
             55      332.60902     0.50879325      278.78989      0.4533384      415.37233     0.91026466
             60      277.02135     0.44074577      231.96702     0.39316537      344.60951     0.77343258
             65      233.86644     0.39503431      195.52617      0.3487574      289.78652      0.6843111
             70      197.28646     0.36771884      164.86582     0.32860875      244.22238     0.61832472
             75      168.41162     0.32757995      140.64907     0.29209679       207.6649     0.51831454
             80      143.21923     0.30395354      119.57556     0.27041617      176.59838     0.48072062
             85      122.49472     0.27393177      102.19739     0.24325174      150.80729     0.42870874
             90      105.31369     0.24798962       87.87925     0.21878324      129.36009      0.3700668
             95      90.606802      0.2283407       75.48754     0.20293564      111.74794     0.36682177
            100      78.358533     0.21000241      65.306103     0.18470103      96.048956     0.31100529
            105      68.059154     0.20330297      56.678847     0.18175917      83.725163     0.29671495
            110      59.046506     0.17779596      49.128354     0.15742582       72.71179     0.27498857
            115      51.459725     0.16379757      42.766149     0.14406779      63.105621     0.23591909
            120       44.76713     0.14889914      37.118043     0.13148785       54.94753     0.18533851
            125      39.531067     0.14157082      32.748148     0.12404543      48.627259     0.18307705
            130      35.028883     0.13029388      28.988141     0.11431103      43.028934     0.16585559
            135      30.698109      0.1249296      25.425969     0.11255972      37.692177     0.16007718
            140      27.128759     0.12418515      22.419652     0.11177396      33.411484     0.15297438
            145      24.233711     0.10997706      20.002732    0.095720141      29.838739     0.13888475
            150      21.322184     0.10189953      17.617633    0.090365235      26.174173     0.13838682
            155      18.935322    0.099564932      15.626097    0.088139583       23.29978     0.12434969
            160      17.091463    0.097675217      14.100881    0.090278906      21.073306     0.11892313
            165      15.230713    0.084097361      12.543872    0.074050029       18.77064      0.1040073
            170      13.590907    0.083572216       11.18177    0.074288088      16.779847     0.10421301
            175      12.174972    0.081843177      10.018349    0.072495807      15.019039     0.10034928
            180      10.943926    0.069192663      8.9880395    0.059078843      13.526093    0.087758094
            185      9.8671923    0.067249652      8.0906173     0.05783788      12.205493    0.084058618
            190      8.8813435     0.06279639       7.282323    0.054049592      10.991594    0.078595589
            195      8.0240599    0.061825822      6.5849888    0.053577548      9.9224944    0.078079357
            200      7.2283947    0.058047394       5.931659    0.050167088      8.9332645    0.073534995
            205       6.810336    0.065204302      5.5876957    0.058373025      8.4236598    0.077980138
            210      5.9943598    0.051522629       4.923125    0.048922461      7.3884655    0.077328489
            215      5.4200214    0.047942155      4.4360122    0.040783417      6.7095415    0.060679131
            220      4.9207254    0.056576223      4.0038662      0.0454615      6.1405658    0.075696556
            225      4.5246567    0.044341222      3.6999726    0.037915939       5.615253    0.057689684
            230      4.2090293      0.0544774      3.4426484    0.048590289       5.234118    0.070523443
            235      3.8189993    0.042248324      3.1247953    0.036241201      4.7343991    0.053583745
            240      3.3967253    0.038414361      2.7683792    0.032290193      4.2245185    0.049305267
            245      3.1896355    0.038942191      2.6121369    0.033776612      3.9479353     0.04980202
            250      2.9598748    0.035938988      2.4095654     0.03023061       3.676498    0.046249198
            255      2.7151963    0.037315198       2.226142    0.032397879      3.3465933    0.045892435
            260      2.5002722    0.034972725      2.0373764    0.029717233      3.1105733    0.045301048
            265      2.2919829    0.033038863      1.8682726    0.028877327      2.8478342    0.040393432
            270      2.1484763    0.031388161      1.7502632    0.026587105      2.6634966    0.041409485
            275       1.942935    0.029949528      1.5848364    0.025800504      2.4150477    0.037938938
            280      1.8613448    0.035643641      1.5131068    0.031648232      2.3158653    0.042130348
            285      1.6814933    0.028381309      1.3695535    0.024543208      2.1035903    0.039592088
            290      1.5059734    0.027686892      1.2259451    0.023060107      1.8716249    0.036090189
            295      1.4514583    0.025740841      1.1853917    0.021716479      1.7947282    0.032938965
            300      1.3120757    0.024232277       1.065568     0.02010772       1.636144    0.031365863
            305      1.2649511    0.024300125      1.0370642    0.020796601      1.5571087    0.031362299
            310      1.1566075    0.023782847     0.94576915    0.020815108      1.4285387    0.029761057
            315      1.0775635    0.042813588     0.86992247    0.030713176      1.3580735    0.063281124
            320     0.95020308     0.02007816     0.77200848    0.016964354      1.1829585     0.02559875
            325     0.91137837    0.020946356     0.73927632    0.017830303      1.1367657    0.026041301
            330     0.82687349    0.018412878     0.67355954      0.0153371      1.0245949    0.023859692
            335     0.80172908    0.018890458     0.64924508    0.016000149      1.0031168    0.023771958
            340     0.76230935    0.024485589     0.62248451    0.020458696     0.94416276    0.032259782
            345     0.72955873    0.027326027     0.59737922    0.024858185     0.93489091    0.069435889
            350     0.66378864    0.032258723     0.53152141    0.023052751     0.84092531     0.04760515
            355     0.65055097    0.019683218     0.53211148    0.017287278     0.80392035    0.024181613
            360     0.63339368    0.025193228     0.50132944    0.014110432     0.79353337    0.034021374
            365     0.54313051    0.021750108     0.44073749     0.01793479     0.67665798    0.027241878
            370     0.50118649    0.016117918     0.40617282    0.014200493     0.62568129    0.019166579
            375     0.46952646    0.014106934     0.38217359    0.011941944     0.58361866    0.017901483
            380     0.45026319    0.013497343       0.363765    0.011272091     0.57105709    0.018834333
            385     0.40967526    0.013209676     0.33381084    0.011414447     0.50858714    0.017062265
            390      0.3935413    0.014253732     0.31903244    0.012610391     0.49343761    0.017840008
            395     0.37893714    0.015833998     0.30506048    0.012554389     0.47754921    0.021704526
            400     0.35603461    0.012271252     0.28694679    0.010243049     0.44680554     0.01562776
            405     0.33236097    0.012156695     0.27260103    0.010143831     0.40792196    0.017065746
            410     0.31859903    0.011744567     0.25803868   0.0097443296     0.39737054    0.015298817
            415     0.29330263    0.010922526     0.23400088   0.0088504594     0.37376974    0.014587909
            420     0.26424491    0.011135146     0.21610735   0.0096345717     0.32654977    0.014339451
            425     0.27299622    0.013606855     0.21793519    0.010420416      0.3468017    0.018804439
            430     0.25926049    0.011981021     0.21002635   0.0098557591     0.32288678     0.01571242
            435     0.23996552    0.019609256     0.19359416    0.015500061     0.28828937    0.016287222
            440      0.2233675   0.0094130625     0.17879948   0.0079305413     0.28335889    0.011981923
            445       0.188705   0.0084924717     0.15155389   0.0068761147     0.23637266    0.011332281
            450     0.21913164    0.014671144     0.17876901    0.012514394     0.27187306    0.018347188
            455     0.18671052   0.0093923932     0.15165611   0.0080604939     0.23273547    0.011613424
            460     0.18125597    0.012474615     0.14806591   0.0096552198      0.2233397    0.017136866
            465     0.17567677   0.0095096654     0.14058229   0.0075570546     0.22219723    0.012978237
            470     0.17485469   0.0095699206      0.1421033   0.0083258801     0.21762532    0.012191721
            475       0.160496    0.013892113       0.130927    0.011275357     0.20046473    0.018794853
            480     0.15408684   0.0078596098     0.12476724    0.006611511     0.19181545   0.0099484678
            485     0.13110874   0.0080608547     0.10670557   0.0070073962     0.16296127   0.0097347949
            490      0.1279843   0.0080836744     0.10369636   0.0064820386     0.15933841    0.010989489
            495     0.13469015   0.0073275387     0.10832138   0.0060737998     0.16963472   0.0093842103
            500     0.12248058   0.0092723391    0.097900914   0.0078444077     0.15540721    0.011685573
            505     0.11635222   0.0070282403    0.094413986   0.0058295099     0.14448108   0.0090683077
            510     0.11344995   0.0076854815    0.092610226   0.0067456426     0.14062744   0.0092309047
            515    0.096573576   0.0063048511    0.080428264   0.0056837942      0.1148121    0.010060215
            520    0.099062816   0.0068954158    0.081014281   0.0060438209     0.12221493   0.0083872689
            525    0.084989926   0.0058903865    0.068410794   0.0047509732     0.11223067   0.0098173978
