# pt_bb-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      940.43682      1.1607736      766.78248     0.97314505      1581.7829      4.0521367
              5      1976.8187      1.6317478      1624.5364      1.3931366      3175.5871      5.4107836
             10      1972.6178      1.6236155      1634.5378      1.4032167      3002.7869      4.9013277
             15      1603.4262      1.4376795      1338.4389      1.2543518      2328.7078      3.9825731
             20      1232.3808      1.2637991      1035.3301      1.1151161      1724.5905       3.228417
             25      929.21855      1.0582111      784.22638     0.93869977      1262.7038      2.5798439
             30      705.95644      0.9210655       598.3052     0.82239458       938.3807      2.1057489
             35      539.86125      0.7745651      459.27985      0.6980296      702.01042      1.6934519
             40      416.78225     0.66679367      355.22324     0.60186194        533.475      1.4112565
             45      325.17809     0.58626063      277.65013     0.53269476      410.99883      1.1722863
             50      256.35431     0.49764827      219.04486     0.44874962      321.26175     0.99140831
             55      205.45543     0.43538347      175.70842     0.39342367      255.55559     0.84822536
             60      165.25228     0.39087088      141.57152     0.35884149      203.62315     0.72191006
             65      134.23232     0.33572181       115.0859     0.30543527      163.71829     0.61048749
             70      109.44632     0.30761164      93.695913     0.27991421       133.4173       0.554807
             75      91.178165     0.27064434      78.124822     0.24453082      110.61847     0.46140405
             80      75.817975     0.24399414      64.958152     0.22175956      91.976257     0.42065232
             85      63.593856       0.226262      54.492918     0.20456181      76.756357     0.37747482
             90      53.324461     0.19785484      45.696498     0.17938887      64.186857     0.31665849
             95      45.585855     0.18539352      39.050383     0.16885076      55.168039     0.32057101
            100      38.485976     0.16640585      32.990391     0.15265327      45.825176     0.25315686
            105      33.132142     0.16544676      28.362034     0.15450364      39.903072     0.24840774
            110      28.110172     0.13678664      24.067582     0.12721968      33.808487     0.23921072
            115       24.59844     0.13191783      21.019286     0.12160327      29.410759     0.19293878
            120      21.000081     0.11802019      17.926281     0.10855398      24.995121     0.14543791
            125      18.138368     0.10237929      15.482506     0.09392269      21.744102     0.18301558
            130      15.876631    0.097160007      13.505904    0.088070564      18.947867     0.12227844
            135      13.707314    0.089832212      11.654299    0.081421918      16.379239     0.11097874
            140      11.908166    0.085913151      10.128774    0.077740328      14.211766     0.10969406
            145      10.438388    0.084999047       8.863875    0.082345583      12.446477    0.097502023
            150      9.1352575    0.070786752      7.7437069    0.064219753      10.871812    0.088360231
            155      8.0036597    0.070481184      6.7758975    0.063769648      9.5832841    0.088510205
            160      7.0627351    0.061425842      5.9810776    0.056065188      8.4648251    0.079015119
            165      6.2478348    0.056949881      5.2899152    0.051323329        7.44627    0.069959588
            170      5.5357625    0.060179331      4.6841597    0.052601835      6.6117177    0.077182694
            175      4.7771496    0.049498589      4.0268031    0.043987722      5.7315459    0.063842994
            180      4.2685708    0.043917518      3.5878791    0.038194002      5.1274192    0.054211186
            185      3.7605077    0.042858264      3.1768975    0.038121954      4.4756825    0.053609084
            190      3.3427996    0.044066514      2.7937394    0.036937775      4.0429241    0.057374382
            195      2.8753099    0.036130843      2.4132356     0.03165336      3.4448168     0.04531007
            200       2.579506    0.034074532      2.1508144    0.029945433      3.1255287    0.043444826
            205      2.2320701    0.030753794      1.8514259    0.026486322      2.7185031    0.038466232
            210      2.0338212    0.033229416      1.6998166    0.029841964      2.4533219    0.041036719
            215      1.8174548    0.049022636      1.5149242    0.045916151      2.1941017     0.05281282
            220      1.6029745    0.028851651      1.3365361    0.025513271      1.9359286    0.036776278
            225      1.3693442    0.022974253      1.1224074    0.019150879      1.6869542    0.030181898
            230      1.2042926    0.023717298     0.98561267    0.020025247      1.4826001    0.030222441
            235      1.1166035    0.020236617     0.91653559    0.016948608      1.3674741    0.026308291
            240     0.95781397    0.018925259     0.78579758    0.016648369       1.170566    0.026647247
            245     0.88245411    0.017568676     0.71589962    0.014386574       1.095839    0.022969304
            250     0.73364496    0.015694745     0.59324743    0.012689181     0.91377701     0.02074556
            255     0.66958989    0.014724363     0.54205501     0.01193951     0.83113146    0.019822858
            260     0.63413283    0.016139849     0.51275504    0.012805426     0.78850596    0.021966673
            265     0.57035325    0.013655337     0.46748359    0.011539089     0.69445811    0.020338145
            270      0.4940357    0.012874489     0.40039932    0.010163465     0.61147061    0.018352585
            275     0.45181389    0.011844381     0.36567192   0.0093867178     0.56005049    0.016211792
            280     0.42241573    0.011565123     0.34009363   0.0090320166     0.52724033    0.016559141
            285     0.37325245     0.01082194     0.30268995   0.0085549516     0.46076623    0.015328356
            290     0.35123085    0.010678971     0.28541628   0.0083074419     0.43203004    0.015028563
            295     0.32755478    0.010149446     0.26119068   0.0079396089     0.41422245    0.013943853
            300     0.28360463   0.0093653678     0.22759509   0.0073192255     0.35520499     0.01308647
            305     0.25548152   0.0090075688     0.20854772   0.0071808969     0.31263598    0.013038436
