# dy_bbZ-j1-ptj        central        num_err    min (scale)        num_err    max (scale)        num_err
# 20
             -8      6.2812738      1.6312871      4.8116927      1.2961077      8.6828659      2.1995784
           -7.9      5.7203242      1.3205778      4.3286592      1.0489477      7.9073966      1.7707954
           -7.8      11.294754      2.4814011      9.4371844      2.0837579      13.810793      3.0733978
           -7.7      10.093375      3.5040951      8.3721732      2.9100809      12.533648      4.3491196
           -7.6      12.640345      2.1613594      10.064263      1.7654777      16.493078      2.8003059
           -7.5      14.045369      2.7076692      11.623357      2.2288683      17.267313      3.4203721
           -7.4      21.244598      3.1104262      18.032777      2.6961476       25.37729      3.7381342
           -7.3      23.514969      3.2533876      19.150104      2.6419377      29.767927      4.2277424
           -7.2      30.092514      6.0804669       25.77265      5.4808605      36.180196      6.9662318
           -7.1      22.388905      2.8398952      17.804613      2.3071994      29.559251      3.7912895
             -7       50.21762      11.630801      41.432448      10.133985      62.391407      13.403778
           -6.9      43.928419      16.478667      34.563888      12.763436       57.46134      21.608709
           -6.8      32.341626      3.2766363       26.24171       2.696888      41.069022      4.2393798
           -6.7      41.673872      4.3811482      34.176017      3.5678053      51.727296      5.7360583
           -6.6      47.965699      4.4808019      38.971871      3.6556759      60.629676       5.798673
           -6.5      50.694444      4.6363109      41.222999      3.7786704      64.145067      6.0125051
           -6.4      68.652298      6.3996224      55.919799       5.733878      86.566888      7.4003607
           -6.3      79.521422      7.5739144       64.25225      6.2004502       101.1517       9.550235
           -6.2      76.714972      5.6533127      62.154479      4.6166229      96.813617      7.1983889
           -6.1      92.178852      5.9432797       75.07686      4.8508956      115.72364      7.6600164
             -6      112.01642      14.980425      91.864755      12.876395      139.66558      17.803242
           -5.9      124.58283      7.2821211      100.43008      5.9260794      158.48813      9.3341819
           -5.8      156.07025      12.231929      127.15585      10.158742      195.88324      15.097739
           -5.7      149.04111      8.6298529      119.31291       6.977124      191.19914      11.070661
           -5.6      173.24303      10.238205      142.25992      8.6316988      215.06125      12.480848
           -5.5      202.01685      9.5086716      163.09822      7.8821814      256.53769      11.946167
           -5.4      223.62934      14.808803       181.3284      12.293987      282.24748      18.098694
           -5.3      258.48255      18.210633      211.77191       14.93298      321.12657       22.64171
           -5.2      295.50425      15.085828      240.27173       12.72328      370.81045       18.44367
           -5.1      281.74808       11.03614      231.13702      9.1539828      348.99119      13.874355
             -5      321.06797      11.631016      262.17549      9.7173435       401.1709      14.499837
           -4.9      370.79235      12.957889      303.14875      10.782892      461.42151      16.172924
           -4.8         411.61        14.7218      336.44577      12.464518      512.75455      17.989661
           -4.7      484.36196      20.169078       398.4808      17.393806      598.53073      23.738618
           -4.6      548.12314      27.144046      449.41107       23.09538      679.57315      31.895839
           -4.5      567.19518      17.520736      469.27179      14.919682      694.28897      21.270548
           -4.4      609.13975      18.141134      499.09988      15.335948      755.47338      21.978698
           -4.3      700.57127      22.194791      576.63876      18.806999      864.47009      26.785493
           -4.2      764.87432      26.309724      630.61651      22.673031      940.60914       30.85265
           -4.1      780.34319      21.571426      643.47245      18.378912      960.25397      26.045619
             -4      951.49489      47.232873      783.77481      40.361462      1172.6132      55.258197
           -3.9      973.79797      23.526033      804.23466      20.366498      1194.4555       28.30297
           -3.8       1096.099      31.644857        902.617      27.005713      1350.0947      37.380579
           -3.7      1141.7466      25.744291      942.97963       22.46391      1400.3685      30.393952
           -3.6      1271.0214      29.720192      1054.3198      25.283413      1551.3184      35.903511
           -3.5       1389.579      31.480592      1149.5308      27.693517      1701.0003      36.367377
           -3.4      1469.9777      27.640147      1217.9771      23.654415      1797.2524      33.145796
           -3.3      1582.0262      30.336405      1313.5801      25.781871      1927.5739      36.533917
           -3.2      1767.7616      35.101239      1466.5847      29.778321      2156.4706        42.2428
           -3.1      1920.4455      45.392107      1597.1667      39.043947       2333.853      53.253635
             -3      2000.3338      35.026913      1668.0845      30.457925      2425.1476      41.074124
           -2.9       2130.303       39.58354      1775.4491      34.246857      2584.8816      46.537788
           -2.8       2290.101      38.811087      1908.3225      33.961412       2779.747      44.939216
           -2.7      2494.7665      40.954592      2080.8506      35.313839      3025.0184      48.549076
           -2.6      2611.3031      40.335585      2190.8207      35.449436      3141.9711      48.399401
           -2.5      2783.5883      43.729168      2327.5496      37.788976       3362.471      51.391733
           -2.4       3011.372      49.259333      2528.7005      42.913488      3618.3748      57.283419
           -2.3      3065.3804      40.368534      2567.9679      35.645211      3695.8595      46.593541
           -2.2      3302.1507      44.366762      2771.6914      38.772578      3971.6705      51.457685
           -2.1      3492.5786      47.940584      2939.2532      42.116742      4186.5114       55.67524
             -2      3586.3221      46.181267      3030.2754      40.979296      4272.6462      54.179382
           -1.9      3778.4785      58.391089      3193.7228      54.336217      4504.7331      63.607941
           -1.8      4028.8844      53.155406      3402.7071      46.818086      4807.2013      61.089522
           -1.7      4234.3653      75.625905       3594.478      68.424828      5020.2081      83.056172
           -1.6       4219.102      54.244124      3568.7023      47.800081      5024.8444      62.170682
           -1.5      4407.1323      55.498469      3722.9519      50.501708      5258.4194      62.876995
           -1.4      4572.9353      59.754128      3867.7901       51.71761      5441.4134      69.876492
           -1.3      4835.8305      56.758092      4104.5339      51.082768      5727.8103      64.795622
