#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      4.8961392    0.026889237      4.1617693    0.024949931      5.8549112      0.0295042
             50      4.1275689    0.025457841      3.5463561     0.02322536      4.8905165    0.028482051
             75      3.9464221    0.027070876      3.4581896    0.024767769      4.5673921    0.029795268
            100      2.8063112    0.024127973      2.4792589     0.02219769      3.2160442    0.026367581
            125      1.7909454     0.01804095      1.5861068    0.016374174      2.0474098    0.020110809
            150      1.0504731    0.010714645     0.93696878   0.0099666529      1.1914742    0.011511855
            200     0.52814785   0.0076897689      0.4732198   0.0071397541     0.59653919   0.0083554118
            250     0.28808496   0.0076062498     0.25712329    0.006889021     0.32625725   0.0084228653
            300     0.14453191   0.0031389142     0.12963411   0.0029169819     0.16261095   0.0033612971
            400    0.066849703   0.0021631773     0.06039962   0.0020611796    0.076401264   0.0028303327
            500    0.066849703   0.0021631773     0.06039962   0.0020611796    0.076401264   0.0028303327
