#         pt_b1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      648.97869     0.89093459       550.4256     0.78886547      807.97682      1.1269905
              5      2355.7037      1.6845847      2009.4923      1.5116074      2879.5898      2.0021756
             10      2254.0121      1.6787647      1936.3722       1.521984       2705.809      1.9265776
             15      1659.4924      1.4272903      1432.4327      1.2987764        1969.85       1.612989
             20      1174.0961      1.1821715      1016.6915      1.0795339      1383.5691       1.322855
             25      838.64145      1.0075288      727.99705      0.9230914      982.74336      1.1200559
             30      606.75967     0.83690524      527.27492     0.76571269      709.22258     0.92852834
             35      448.34055     0.72196258      389.91119     0.66289378      522.94621     0.79715745
             40      338.11904     0.62758479      294.14048     0.57313816      393.85788       0.697145
             45      259.74134     0.52434505      226.02718     0.48163849      302.18616     0.57777619
             50      202.90774     0.46932896       176.4601     0.42692082      236.16964     0.52248515
             55      159.88949     0.40214366      139.05357     0.36732104      186.01625     0.44693593
             60      128.49126     0.35348792      111.71461     0.32083488       149.4598      0.3958228
             65      104.74038     0.34595972      91.080802     0.31601436      121.82223     0.38700201
             70      86.140696     0.30693937      74.910626     0.28046661       100.2822     0.34796233
             75      70.857916     0.25724471      61.477551     0.23281096      82.783686     0.29173081
             80      58.842784     0.24567345      51.038999     0.22409309       68.69989     0.27531658
             85      49.630855     0.23297029      42.939536     0.21268584      58.109782     0.26020655
             90      42.223581     0.20779653       36.50488     0.18902699      49.436468     0.23269687
             95      35.685117     0.19434541       30.82517     0.17655743      41.803909     0.21849017
            100      30.607183     0.16341508      26.378276     0.14970641      35.944624     0.18316309
            105      26.254707     0.15210785      22.577054     0.13614595       30.90314     0.17515242
            110      22.903986     0.14998175      19.678038     0.13508689      26.988417      0.1709239
            115      19.712924     0.13664218      16.917203     0.12488598      23.243666     0.15246214
            120       17.26914     0.12753439      14.848982     0.11593468      20.309234     0.14342543
            125       14.92215     0.10890106      12.779004    0.098527572       17.64032      0.1236285
            130      13.096794     0.10685405       11.21092    0.096615799      15.473047     0.12186736
            135      11.683566     0.10308688      10.006374     0.09300967       13.78933     0.11645837
            140      10.507802     0.10279708      8.9854891    0.092156785      12.426718     0.11701143
            145      9.1987402     0.10899016      7.8638609    0.098600592      10.876795     0.12229433
