# pt_bb-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      825.85648       1.040595      701.64175     0.92093331      1025.3035      1.2971686
              5      1721.5668      1.4669118      1471.8889      1.3186341      2102.7089      1.7413706
             10      1704.6971      1.4662675       1465.822      1.3300837      2051.8921      1.6949574
             15      1374.2215       1.299715      1187.2661      1.1856667      1634.6893      1.4744033
             20      1046.0299      1.1437166      907.32429      1.0494514      1232.7615      1.2760665
             25      778.90041     0.96244985      677.46788     0.88572967      912.21972      1.0656884
             30      581.33358     0.82822826      506.84361     0.76376848      677.29843     0.91214805
             35      437.34466     0.72332645      382.25624     0.66998582      506.87309     0.78856765
             40       329.9486     0.61468613        288.729     0.57144291      381.37182     0.66803328
             45      249.59418     0.52352937      218.55056     0.48715237        287.893     0.56561844
             50      190.23132     0.43711874      166.61081     0.40657708      219.20818     0.47386502
             55      147.67927     0.37962987      129.41505     0.35328966      169.98157     0.41045529
             60      113.55542     0.33241757      99.644599     0.31428998      130.35345     0.35436743
             65       87.82607     0.28134658      77.035902     0.26321543      100.75151     0.30277189
             70      67.622871     0.23902444      59.212816      0.2226063      77.711015     0.25898499
             75      52.759971     0.20223526      46.180812     0.18790498      60.602415     0.22053296
             80      41.413935     0.19026369      36.219124     0.17840335      47.610632     0.20243592
             85      31.654598     0.16027622      27.634678     0.14935247       36.45437      0.1730517
             90      24.452829     0.15201811      21.307444     0.14479309       28.21542     0.16042914
             95       18.65332     0.11761591      16.199755      0.1110398      21.608084     0.12731905
            100      14.130025     0.10285733      12.200122    0.095325765      16.488496      0.1132819
            105      10.481459    0.077319557      8.9654577     0.07118353      12.328183    0.088604851
            110       7.887315    0.068908824      6.6973772    0.064502946      9.3286387    0.084398264
            115      6.1912703    0.058487773      5.2036726      0.0523983       7.407801    0.067298045
            120      4.8843117    0.048221014      4.0858859    0.042533028      5.8746205    0.057498208
            125        3.85312    0.042979886       3.212078    0.037627299      4.6480219    0.051248335
            130      3.1282078    0.038432249      2.5944822    0.033532812      3.7989248    0.046605599
            135      2.4334964     0.03203989      2.0027964    0.027836314      2.9802067    0.039196988
            140      2.0610513     0.03074897      1.7003397    0.027125981      2.5127848    0.037165009
            145      1.6358428    0.025359312      1.3371967    0.021596704      2.0174776    0.032104403
            150      1.3712125    0.022741533      1.1201053    0.018745339      1.6890321    0.029613206
            155      1.0992411     0.01954558     0.90895468    0.017329883      1.3287302    0.030248963
            160     0.92672372    0.017370757     0.74863941    0.013970432      1.1589443    0.023026489
            165     0.78306891    0.016208676     0.63945273    0.013377033     0.96322933    0.021302633
            170      0.6667491    0.022056556     0.54201053    0.015928683      0.8256875    0.034414393
            175     0.54256653    0.013792519     0.43938311    0.011117226     0.67441174     0.01870489
            180     0.48097086    0.012138688        0.39009   0.0097251651     0.59610944    0.016299812
            185     0.40362409    0.011464667     0.32659649    0.009329931     0.50206999    0.015328905
            190      0.3420428    0.014360101      0.2793779    0.012762601     0.41972679    0.016944071
            195     0.29601667   0.0099460282     0.24011692    0.008285663     0.36658511    0.014789666
            200     0.24727043   0.0084703682     0.19825282   0.0066525204     0.31085857    0.011706127
            205     0.20918171   0.0080242399     0.16883058   0.0063852744     0.26038396    0.010979627
            210     0.18909058   0.0078289925     0.14878883   0.0061080607     0.24350719    0.010973941
            215      0.1604085   0.0070575827     0.12765609   0.0055263413      0.2038613   0.0098081429
            220     0.13284446   0.0065367871     0.10788498   0.0051241686     0.16357307   0.0091289642
            225     0.11674917   0.0097760243    0.095460491    0.008667047     0.14289381    0.011587912
            230     0.10063476   0.0055747474    0.080312738   0.0043293782     0.12727144   0.0078095033
            235    0.087408626   0.0052559965    0.072601004   0.0042307159     0.10432297   0.0079519446
            240    0.091228289   0.0088162172    0.074203836   0.0077920733     0.11324925    0.010587321
            245    0.069636746    0.004538073    0.054762251   0.0034239018    0.089742699   0.0064678319
            250    0.059027881   0.0044253857    0.046824221   0.0034299646    0.075262257   0.0061598023
            255    0.054389846   0.0049713256    0.044707418   0.0040854609    0.065942503   0.0066460996
            260     0.04610018   0.0045218932    0.037406474   0.0037966719     0.05702992   0.0057570339
            265     0.04750949   0.0037355391    0.037909288   0.0028704769    0.059977615   0.0052617169
            270    0.033414481   0.0037234721    0.026991454   0.0030862909    0.041468928   0.0048533386
            275    0.035253737   0.0039092062    0.028495625   0.0032697459    0.043878976   0.0051458752
            280    0.027351931   0.0029735439    0.021019548   0.0021869134    0.036348776   0.0043203528
            285    0.028668592   0.0029196092    0.023258347   0.0022945135    0.035135354   0.0040195647
            290    0.030427092   0.0031294021    0.025023291   0.0025056568     0.03653834   0.0042533334
            295    0.022577419    0.002645436    0.017586806   0.0019742189    0.029334277   0.0038345746
            300    0.017503066   0.0022898169     0.01424725   0.0018438051    0.021332305   0.0032011219
            305    0.021736045   0.0034604842    0.017723326   0.0028958423    0.026869103   0.0045274894
            310    0.015282042    0.002219428    0.012804121   0.0017989752    0.017756005   0.0030149051
            315    0.015315962   0.0021447216    0.012611666   0.0016888465    0.018348057   0.0031147018
            320    0.013036827   0.0019414175    0.010444202   0.0014928006    0.016244358   0.0027823471
            325    0.011016537   0.0018810036   0.0088125043   0.0014184571      0.0137909   0.0026552852
            330   0.0090584359   0.0016293763   0.0070218378   0.0012186883    0.011851714   0.0023043159
            335    0.010633679   0.0017848424   0.0084499542   0.0013526261    0.013418347   0.0026780778
            340   0.0081460098   0.0016109321   0.0065635803   0.0012343984     0.01004032   0.0023170366
            345   0.0072430845    0.001434686   0.0053292274   0.0010293777    0.010139408   0.0021041258
            350   0.0064217172   0.0015855747   0.0051435695   0.0011158627   0.0079983974   0.0024877208
