#   pt_bb-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      266.19048      1.7162767      222.76266      1.5691262      321.03405      1.9888855
              5       624.1263      2.5661549      523.22444      2.2353942      751.60892      3.0264832
             10      713.87494      3.3793889      600.65272      2.9768826      855.67137      3.8714522
             15       665.6253      2.9918117      561.81323      2.6280345       794.9602      3.4604259
             20      572.45928       2.754896      483.92814      2.4303515        682.431      3.1633774
             25       478.6024      2.8686329      405.34691      2.5313822      569.32505       3.278211
             30      390.76166      2.6518655      331.02761      2.3201556      464.93353      3.0699123
             35      323.59379      2.4121057      274.71888      2.1541682      384.06759      2.7203093
             40      271.50138      2.2911716      230.66493       2.029157      321.94328      2.6126123
             45      218.13798      1.9510734      185.61607      1.7447582      258.11326      2.2013008
             50      183.98655      2.0222988       156.4347      1.8640446       218.0591      2.2188732
             55       151.6394      1.6750044        128.848      1.4946228      179.82455      1.8980957
             60      128.72145      1.6970315      109.72472      1.5549308      152.02213      1.8462435
             65      107.59358      1.2315178      91.564054      1.1042694      127.28728      1.4086284
             70      89.194254      1.3380633      75.495552       1.194082      106.31787       1.494502
             75      78.416999      1.2516401      66.351805      1.1009745      93.505192      1.4369621
             80       67.29694      1.3200791      57.112658      1.1608076      79.911525      1.5138688
             85      56.920077     0.79743697      48.286529     0.70791614      67.594478     0.91722888
             90      49.698211      1.0280094      42.291414     0.94188487      58.780734      1.1465005
             95      43.506013     0.82301267       36.83554     0.74355374      51.831733     0.91132037
            100      36.893311     0.60712811      31.127914     0.53568113      44.122525     0.70576755
            105      32.603284     0.66086017      27.459576     0.58758287      39.052772     0.75563836
            110      28.727801      0.6442425      24.238883     0.57904028      34.352639     0.72674839
            115      24.910529      0.4914089      20.951021     0.43013099      29.873882     0.57738325
            120      21.958021     0.49487226      18.460823     0.43599007      26.347369     0.57653894
            125      20.598738     0.69195692      17.371733     0.62664433      24.636509     0.77105522
            130      17.605572     0.44130851       14.83726     0.39229732      21.069927     0.51200694
            135      15.583113     0.48352737      13.209148     0.44490955      18.500393     0.53469938
            140       14.02962     0.47110251      11.839594     0.42667056       16.73746     0.52664829
            145      12.517123     0.67923895       10.51721     0.59757562      15.009908     0.77377618
            150      12.122146     0.44984704      10.194361     0.40302791      14.545837     0.50512852
            155      9.6654021     0.30335884      8.0780273       0.266502      11.680103     0.35596006
            160      8.5589881     0.28277164      7.1544361     0.24946817      10.317764     0.33203123
            165       8.574011     0.37621981      7.2320923     0.33979088      10.226345     0.42546108
            170      7.4940744     0.29971507      6.2867339      0.2675563      9.0015696     0.34349738
            175      6.1271186     0.24347881      5.1091913     0.21468502       7.424383     0.28472492
            180      6.0592891     0.24492788      5.0761413     0.21488675      7.2892036     0.28771184
            185      5.6020576     0.24231056      4.6871641     0.21268965       6.743387     0.28626117
            190      4.8658509     0.22187711       4.020351     0.19204348      5.9632251     0.26423976
            195       4.374731     0.24580593      3.6643873     0.21508581      5.2505985     0.29139967
            200      3.9540896     0.17575543      3.2573574     0.15034741      4.8542654     0.21261719
            205      3.9920699     0.22212133      3.3335371     0.19851865      4.8268612     0.25303138
            210       3.062529     0.16479527      2.5928757     0.13633533      3.6413283     0.25336522
            215      3.0809361     0.18923806      2.5592056     0.16856675      3.7514483     0.21771244
            220      3.0747937     0.25134592      2.5688782     0.23754099      3.7090733     0.26172792
            225      2.6072303     0.18183035      2.1831423     0.16755238      3.1425162     0.20091323
            230      2.4386253     0.15525772      1.9982635     0.13204812      3.0086126     0.18778912
            235      2.3483308     0.14743669      1.9412805     0.12476998      2.8661061     0.18162581
            240       2.747399      0.5190693       2.350638      0.4900663      3.2183475      0.5321375
            245      1.8998619     0.13282505      1.5537702     0.11348619      2.3562563     0.16155587
            250      1.7417588     0.12035875      1.4262376     0.10406799      2.1528994     0.14458585
