# pt_bbZ-mbbZ10        central        num_err    min (scale)        num_err    max (scale)        num_err
# 00
              0      1633.5934       7.145787      1440.2255      6.5994773      2144.9036      9.4030429
              5      1835.5016      7.1683874      1603.7527        6.49881      2135.3938      7.9832127
             10      1383.3802      5.7172533      1203.6385      5.2351122       1591.621      6.1305344
             15      1072.9674       4.452198      929.69532      4.0888937      1237.3559      4.7822694
             20      873.17027      3.8847254      754.65068      3.5655009      1009.7256      4.1852442
             25      721.07551      3.5621261      621.55396      3.2658159       837.0249      3.9913814
             30      607.91179      2.9926465      522.73413       2.669365      710.16415      3.3825231
             35      508.57942      2.7073811      435.14829      2.4238306      597.33347      3.0416029
             40      432.49422      2.5999677      368.54893      2.3726911      510.16721      2.8747823
             45      368.04547      2.4174243      312.46162      2.1418783      436.03818      2.7551753
             50      307.91319      2.3303187      260.11674      2.0625193      367.11129      2.6648134
             55      259.86909      1.8752702      218.38073      1.6436266      311.74412      2.1725826
             60      216.37137      1.5713153      180.97269      1.3792319      261.00882      1.8243734
             65      184.27448      1.6469942      153.50056      1.4271859       223.3455      1.9634146
             70      160.02821      1.4243827       132.7776      1.2357454      194.94439      1.6718812
             75      141.66439      1.7433998      117.57861      1.5044532      172.36768      2.0639675
             80      117.95591       1.159348      97.391163     0.99966599       144.4465      1.3882392
             85      100.89653      1.0207927      83.068875     0.90170108      123.92586       1.192088
             90      90.146846       1.099086      73.909484     0.93502636      111.33881      1.3266743
             95      78.055049      1.3147255      64.235234      1.1641002      95.857198      1.4931297
            100      66.752833     0.72151883      54.450469     0.61133734      82.890165     0.88776542
            105      60.456623     0.85683997      49.467718      0.7446297       74.74148      1.0138629
            110       53.15678      1.0013276      43.292695     0.86973904      66.125747      1.1666071
            115      47.644357      1.2779402      38.711456      1.1481963      59.473658      1.4248293
            120      39.918643     0.56687096      32.451983     0.48514661      49.667623     0.72134383
            125      37.046613     0.64360763      29.975851     0.54297708      46.393778     0.78608899
            130      34.065365     0.98666368      27.656228      0.8434518      42.545051       1.179994
            135      27.691224     0.51348411      22.476833     0.44171213      34.509584     0.62618011
            140      25.480987     0.57060854      20.727816     0.49432664      31.640357     0.68390575
            145      23.815348     0.82973101       19.32514     0.74415785      29.721799     0.92612347
            150      20.790461     0.54050083      16.768911     0.45548206      26.101907     0.65759041
            155      18.624637     0.54115108      15.039318     0.47681392      23.342921     0.61963567
            160      17.060228     0.46375608      13.777119       0.398834      21.381629     0.55731296
            165      15.489354      0.5788991        12.5015     0.49888408      19.433141     0.68235375
            170      13.458146     0.33511426      10.851376     0.28130396        16.8989     0.41553452
            175      12.743387     0.91842385      10.222135     0.78188644      16.119561      1.0873724
            180      11.775045     0.61878804      9.4757975     0.53325269      14.848534     0.72880483
            185      9.5635676     0.30296565      7.6355593     0.24683749      12.159327      0.3860119
            190      8.9658223     0.26498831      7.2120069     0.22252116      11.285364     0.33107447
            195      7.9337299     0.24513742      6.3587732     0.20546644      10.023319     0.30798977
            200      7.1973092     0.21164459      5.7465403     0.17257496      9.1335844     0.27422772
            205      6.6940156      0.2599404      5.3658499     0.22455113      8.4480957     0.31073679
            210       5.812269     0.29236528      4.6771994     0.25347146      7.2997502      0.3452259
            215      5.2714104     0.18667008      4.2508333      0.1530902      6.5990879     0.24185599
            220      5.4032348     0.26100154      4.3545751     0.22846657      6.7886959     0.31778461
            225      5.1615753     0.30032929      4.1457826     0.25354066      6.5021448     0.36598161
            230      4.2975914     0.25232002      3.4382391     0.23065087      5.4444711     0.28204029
            235      4.4901497     0.36940137      3.6024251     0.29963142      5.6581439     0.46413926
            240      4.3546366     0.47972617      3.5183658     0.40728688      5.4515274     0.57109225
            245      3.6782127     0.24479151      3.0202165     0.21487014      4.4755947      0.3005745
            250      3.1243591     0.13075589      2.4665008     0.10407293      4.0158765     0.17270987
            255      2.7264967     0.15767157      2.1801959     0.12819465      3.4391771     0.20181184
            260      2.7623988     0.14192954      2.1935343     0.11808592      3.5312652     0.17895578
            265      2.5149895     0.16403895      1.9954246     0.13650906      3.2128178       0.205097
            270      2.0824201     0.10729494       1.638252    0.083404544      2.6880271     0.14560011
            275      1.9938624     0.14039735      1.6039029      0.1306814      2.5015823      0.1524514
            280      2.2747819     0.15864432      1.8072168     0.13412266      2.9001086     0.19196937
            285       1.663178     0.10301352      1.3082177    0.080886491      2.1457342     0.13869997
            290      1.5026683    0.094791511      1.1789311    0.074564274      1.9432822     0.12611011
            295      1.5898159     0.10037214      1.2529253    0.078205623      2.0425442     0.13465579
            300      1.7616518     0.21070379      1.4464887     0.18492706      2.1470804     0.24453236
            305      1.3443524    0.086637724      1.0635631    0.069070734       1.719171     0.11402834
            310      1.1511834    0.075967633      0.9085026    0.059268749       1.470224     0.10604368
            315       1.201468    0.084120909     0.94232257    0.065947831      1.5536932     0.11343118
            320     0.96346338    0.082362782     0.78061283    0.066636085      1.1881712     0.10748808
