#       pt_lep2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      217.61841     0.60717616       186.9961     0.56040175      260.38772     0.66518522
              5      630.93083      1.0587377      542.49767     0.97295389      752.31635      1.1613915
             10      1029.5904      1.3671209      886.01759      1.2555718      1224.4885      1.5038872
             15       1420.306      1.5021735      1222.9285      1.3720769      1687.8061      1.6777051
             20      1784.2866      1.5251681      1537.9048      1.3811289      2120.2632      1.7462492
             25      2066.0314      1.4630327      1783.7175      1.3204322      2457.1308      1.7066099
             30      2136.4063      1.3806144      1845.4458      1.2413548      2552.4096      1.6401731
             35      1616.3839      1.1555943      1394.6914      1.0319131      1946.2564      1.4084208
             40      443.94651     0.57188322      381.24344     0.51170501      528.50136     0.67330655
             45      160.42004     0.34475127      136.48405     0.30719802      191.64942     0.40088999
             50      87.316575     0.25234522      74.069315     0.22552395      104.46677     0.29248923
             55      54.105993     0.18925093      45.716518     0.16981199      65.033554     0.22207372
             60       36.02573      0.1694909      30.337245     0.15134897      43.444558     0.19610348
             65      25.028305      0.1297398       21.00362      0.1143931       30.26882      0.1522192
             70      17.860541      0.1171279      14.968772     0.10254534      21.618876     0.13824802
             75      13.109938    0.090523044       10.95887     0.07942679       15.91958      0.1075288
             80      9.8738994    0.081622195      8.2387562    0.073514852      12.006214    0.094759514
             85      7.6691522    0.070565036      6.3965649    0.061469067      9.3238642    0.084124889
             90      5.9644601    0.065085961      4.9648287    0.056236286      7.2633769    0.078302567
             95      4.6895331     0.05698058       3.906376    0.049581677      5.7098165    0.068685972
            100      3.8543346    0.065307062      3.2179239    0.059240093      4.6847922    0.082496973
            105      3.0351453     0.05648152      2.5225091    0.048767974      3.7063054    0.067213292
            110       2.416632    0.043446361      2.0097356    0.038407061       2.939092     0.05053695
            115      2.0756319    0.041970591      1.7296111    0.036739215      2.5209419    0.049150852
            120      1.7072905    0.033379083      1.4156791    0.029078615       2.087787    0.039666995
            125      1.4135373    0.040217436      1.1703286     0.03262033      1.7293465    0.052632229
            130      1.1701863    0.028632243     0.97409057    0.025517334      1.4219344    0.033047206
            135     0.96992129    0.028028324     0.80387975    0.024440279      1.2174972     0.04623776
            140     0.86170427    0.026301563      0.7220163    0.023342141      1.0372116    0.031751634
