#           y_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      761.99135      7.0663869      655.80269      6.2639321      927.00416       8.574404
           -4.9      890.44549      7.4958626      766.38512      6.6232019      1082.8252      9.1027729
           -4.8      1032.8971      7.7352248      890.76898      6.8380182      1250.7736      9.4212882
           -4.7      1191.8672      8.1097405      1028.9035      7.1754637      1442.3069      9.8983539
           -4.6      1368.7195       8.968165      1182.6954      7.9093979       1653.008      10.902633
           -4.5      1579.5734      10.197499      1364.5763      8.9809093      1906.1128      12.357114
           -4.4      1756.9086      9.4769649      1520.1049      8.4264952      2113.5172       11.53764
           -4.3      1974.8091      10.498118      1710.7633      9.3526886      2369.1097      12.697965
           -4.2      2208.0427      11.681073      1913.0431      10.383461      2645.7108      14.022953
           -4.1       2424.051      11.973624      2100.7542      10.606673      2908.3499      14.531982
             -4      2665.4343      12.583119      2311.1577      11.151702      3190.3635       15.20222
           -3.9      2939.8142      14.148417      2551.9702        12.7959      3511.1922      16.453058
           -3.8       3154.615      13.577011      2738.6336      12.107028      3752.8544      16.085999
           -3.7      3438.3409      14.168887      2982.3472      12.703414      4099.1688      16.645583
           -3.6       3703.521      15.051794       3215.273      13.494633      4399.5255      17.565383
           -3.5      3957.3421      15.338237      3434.4182      13.768719      4701.6725      17.941081
           -3.4      4231.7849      15.883235       3675.573      14.295142      5017.0674      18.491074
           -3.3      4494.6316      17.315816      3900.9392       15.51451      5339.0381      20.162617
           -3.2      4742.8664      17.364628      4116.6137      15.701556      5630.5714      19.963889
           -3.1      5018.9842      17.694501      4354.7465      15.914679      5954.9209      20.465261
             -3      5280.8018       17.79834      4582.2484       16.01395      6259.4508      20.808207
           -2.9      5500.9301      17.856271      4769.7768      16.125223      6526.3591      20.864521
           -2.8      5754.2806       18.67656      4985.1733      16.797416      6830.8604      21.636116
           -2.7      5996.3719      18.440282      5192.6069      16.629395      7114.2183      21.315528
           -2.6      6239.8746      19.722295      5403.9238      17.812951      7402.9375      22.760423
           -2.5      6437.4922      19.872316      5568.1176      17.981347      7645.7232      22.829088
           -2.4      6686.5965      20.199759      5780.5368      18.309765      7942.2337      23.142712
           -2.3      6944.6199       21.55708      6003.6006      19.564719      8248.2438      24.589579
           -2.2      7127.8019      21.243643        6153.96      19.182577      8472.0568      24.433066
           -2.1      7319.1558      20.744861      6315.5814       18.81116      8704.1708      23.728695
             -2      7501.1222      22.124891      6469.7768      19.970122      8924.2075      25.350929
           -1.9      7742.7059      22.811366       6679.113      20.787505      9207.7842      25.859918
           -1.8      7861.5009      22.209301      6772.1149      20.114041      9355.9282      25.346825
           -1.7        8056.42      22.058243      6939.0048      20.108093      9594.3352      25.025842
           -1.6      8191.1305      22.330278      7046.9576      20.241353       9764.069       25.40482
           -1.5      8346.9892       23.14607       7180.199      21.078009       9950.558      26.223986
           -1.4      8456.9176      22.256956      7268.7508      20.351577      10086.085      25.136402
           -1.3      8639.8787      23.686504      7426.2412      21.616046      10298.599        26.8618
           -1.2      8735.5223      23.298992      7506.4186      21.236525      10419.513      26.353612
           -1.1       8840.403      22.806811      7590.0108      20.681471      10551.959      26.091109
             -1       8960.382      23.887019      7689.9732      21.666521      10700.785       27.26985
           -0.9      9073.8827      24.017642      7786.5127      21.918457      10839.151      27.195884
           -0.8      9113.8822      23.674663      7812.8918      21.447799      10896.261      26.890341
           -0.7      9163.7389      23.216004      7858.3764      21.118551      10945.319      26.289308
           -0.6      9251.7627      23.240637       7930.149      21.121675      11065.015      26.529605
           -0.5      9340.5081      24.393523      8010.7444      22.224677      11159.889      27.635534
           -0.4      9417.8689      24.670704      8076.1669      22.450477      11254.142      27.984788
           -0.3      9386.7679      23.367075      8046.6251      21.329578       11213.55      26.471921
           -0.2      9447.1282      24.156693      8096.2386      22.024841      11297.553       27.29908
           -0.1      9364.9449      23.258464      8021.4422      21.050331      11203.209      26.531018
              0      9379.5545      23.412825      8033.8827      21.116462      11219.758      26.842728
            0.1      9391.3988      23.668115      8043.9532      21.420312      11238.257      27.126639
            0.2      9428.7793       24.47279      8079.9979      22.213283      11274.015       27.77919
            0.3      9373.5915      24.029513      8035.4668      22.064636      11206.448      27.146204
            0.4      9275.4671      23.246784      7949.3984      21.105844      11091.802      26.581251
            0.5       9248.518      23.812657      7928.4693      21.565814      11056.178       27.22903
            0.6      9203.1104      23.625828      7890.2118      21.513186      11002.163      26.824774
            0.7      9137.9027      23.691269      7840.0877      21.626997      10911.479      26.709593
            0.8      9023.1157      22.917614      7741.5164       20.95179      10775.316      25.902823
            0.9      8983.4485       24.31525      7712.8669      22.223682      10721.865       27.42186
              1       8818.401      23.139843      7572.3652      21.051969      10522.498      26.206274
            1.1      8760.1395      23.796937      7526.7955      21.718244      10448.133      26.787947
            1.2      8613.6578      23.591684      7398.1297      21.375673      10291.376      26.880406
            1.3      8547.4554      23.989838      7349.0796      21.798667      10191.315      27.133323
            1.4      8357.4577      22.617661      7193.8103      20.610258      9952.1464      25.762118
            1.5       8167.373      22.026416      7030.0431      20.008282         9732.9      25.370353
            1.6      8041.9517      21.827744      6922.3896       19.78382      9584.4185       25.05559
            1.7      7876.4515      21.712448      6782.0393      19.693402      9387.3358      24.828413
            1.8      7694.5428       21.77891      6632.9979      19.818759      9153.3813       24.80109
            1.9      7521.0373      22.397971      6486.2042      20.316956      8945.1646      25.528202
              2      7315.5202      20.789314      6311.1734      18.775297      8704.8336      23.944821
            2.1      7140.0736      20.785615      6166.7216      18.865207      8483.5946      23.755025
            2.2      6878.9511      19.985626      5943.9101      18.118715      8174.5543      22.969872
            2.3      6705.5966      20.585867      5798.0045      18.622648      7963.4519      23.572452
            2.4      6476.8064      20.415887      5605.1413      18.499624      7685.5507      23.341953
            2.5      6208.6211      19.361846      5374.4255      17.587356      7367.7023      22.150284
            2.6      6014.9012      18.926038      5210.4355      17.073541      7139.1859      21.879731
            2.7      5782.8691      19.096846      5012.9375      17.313266      6858.8936      21.983004
            2.8      5501.5502      18.538404      4767.1097      16.687265      6532.4609       21.62709
            2.9      5242.4926      18.008161      4546.2533      16.254509        6215.12      20.753368
              3      4975.1626      17.013514      4317.1188      15.429184       5895.378      19.610607
            3.1      4738.9816      17.197314      4113.1194      15.564272      5629.7887      19.952153
            3.2      4496.8748      16.703895      3901.7118       15.03035      5342.1366       19.60572
            3.3      4222.2583      16.865283      3664.8096      15.157235      5012.8833       19.49398
            3.4      3942.7316      16.030505      3422.1405      14.407574      4689.6513      18.631797
            3.5      3678.9943      14.768758      3192.9803      13.194919       4378.153      17.403779
            3.6      3427.8614      14.699909      2974.9407      13.129894      4085.2235      17.417224
            3.7      3160.4919      14.334398      2742.5424      12.875296      3762.8915      16.769597
            3.8       2926.972        13.6311      2538.3595      12.166595      3495.5329      16.123162
            3.9      2682.5642      12.876816      2325.9493      11.479794      3206.4627       15.22373
              4      2435.6615      12.215188      2112.0969      10.918415      2912.5784      14.459208
            4.1      2202.2145      11.919554       1908.153      10.634608      2639.4421      14.073684
            4.2      1957.1423      10.913734      1693.9593      9.6544032      2354.1766      13.299377
            4.3      1756.6535      9.7381284      1521.4774      8.6366801      2107.4922      11.848562
            4.4      1570.6444      10.098423      1357.3534      8.9597826      1895.6197      12.163404
            4.5      1348.5808      8.6479485      1164.3828      7.6869029      1629.6503      10.441016
            4.6      1173.9243      8.0207657      1011.8943      7.0421173      1423.4308      9.9014569
            4.7      1027.0187      8.0167851      884.52039      7.0012122      1244.9975      9.7869814
            4.8      872.44263      6.4781913      751.10004      5.6803935      1062.6041      8.2239282
            4.9      750.98686      7.1112753      646.68989      6.2944306      914.78161      8.6977305
              5      750.98686      7.1112753      646.68989      6.2944306      914.78161      8.6977305
