# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      119.04271      6.2727637      119.04271      6.2727637      119.04271      6.2727637
     0.31415927      128.26568      5.7455184      128.26568      5.7455184      128.26568      5.7455184
     0.62831853      121.81241      4.3381407      121.81241      4.3381407      121.81241      4.3381407
      0.9424778      146.44862      9.7660457      146.44862      9.7660457      146.44862      9.7660457
      1.2566371       166.4951      13.015165       166.4951      13.015165       166.4951      13.015165
      1.5707963      205.35401      10.956785      205.35401      10.956785      205.35401      10.956785
      1.8849556      300.65375        17.7529      300.65375        17.7529      300.65375        17.7529
      2.1991149      408.41974      17.623122      408.41974      17.623122      408.41974      17.623122
      2.5132741      567.82865      17.588409      567.82865      17.588409      567.82865      17.588409
      2.8274334      952.42435      33.069869      952.42435      33.069869      952.42435      33.069869
      3.1415927      952.42435      33.069869      952.42435      33.069869      952.42435      33.069869
