#   m_bbZ-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15              0              0              0              0              0              0
             16              0              0              0              0              0              0
             17              0              0              0              0              0              0
             18              0              0              0              0              0              0
             19              0              0              0              0              0              0
             20              0              0              0              0              0              0
             21              0              0              0              0              0              0
             22              0              0              0              0              0              0
             23   0.0012494117   0.0012493493   0.0012494117   0.0012493493   0.0012494117   0.0012493493
             24   0.0012492846   0.0012492221   0.0012492846   0.0012492221   0.0012492846   0.0012492221
             25              0              0              0              0              0              0
             26              0              0              0              0              0              0
             27     0.00249876   0.0017668018     0.00249876   0.0017668018     0.00249876   0.0017668018
             28   0.0037472496   0.0021633674   0.0037472496   0.0021633674   0.0037472496   0.0021633674
             29   0.0024976788   0.0017660374   0.0024976788   0.0017660374   0.0024976788   0.0017660374
             30   0.0038862958   0.0027239424   0.0038862958   0.0027239424   0.0038862958   0.0027239424
             31   0.0037472814   0.0021633858   0.0037472814   0.0021633858   0.0037472814   0.0021633858
             32   0.0024978378   0.0017661498   0.0024978378   0.0017661498   0.0024978378   0.0017661498
             33     0.00662779   0.0034575788     0.00662779   0.0034575788     0.00662779   0.0034575788
             34   0.0074941813   0.0030593337   0.0074941813   0.0030593337   0.0074941813   0.0030593337
             35   0.0085315422   0.0038599204   0.0085315422   0.0038599204   0.0085315422   0.0038599204
             36   0.0037468997   0.0027926915   0.0037468997   0.0027926915   0.0037468997   0.0027926915
             37    0.011442099   0.0038159551    0.011442099   0.0038159551    0.011442099   0.0038159551
             38    0.012927377    0.004442587    0.012927377    0.004442587    0.012927377    0.004442587
             39   0.0099002542   0.0035015534   0.0099002542   0.0035015534   0.0099002542   0.0035015534
             40    0.017252877   0.0060792489    0.017252877   0.0060792489    0.017252877   0.0060792489
             41    0.012089761   0.0047807893    0.012089761   0.0047807893    0.012089761   0.0047807893
             42    0.023201685   0.0079776522    0.023201685   0.0079776522    0.023201685   0.0079776522
             43    0.013735167   0.0046478974    0.013735167   0.0046478974    0.013735167   0.0046478974
             44    0.023093609   0.0064360652    0.023093609   0.0064360652    0.023093609   0.0064360652
             45    0.026112718   0.0061978671    0.026112718   0.0061978671    0.026112718   0.0061978671
             46    0.029959714   0.0066813138    0.029959714   0.0066813138    0.029959714   0.0066813138
             47    0.028725882   0.0061854822    0.028725882   0.0061854822    0.028725882   0.0061854822
             48    0.024151638   0.0065586824    0.024151638   0.0065586824    0.024151638   0.0065586824
             49    0.033025342   0.0068204271    0.033025342   0.0068204271    0.033025342   0.0068204271
             50    0.037153037   0.0075301993    0.037153037   0.0075301993    0.037153037   0.0075301993
             51    0.054291129    0.008975449    0.054291129    0.008975449    0.054291129    0.008975449
             52    0.049343179   0.0086571068    0.049343179   0.0086571068    0.049343179   0.0086571068
             53    0.053494499   0.0086291208    0.053494499   0.0086291208    0.053494499   0.0086291208
             54    0.059383307    0.009484169    0.059383307    0.009484169    0.059383307    0.009484169
             55    0.065304961    0.010217034    0.065304961    0.010217034    0.065304961    0.010217034
             56    0.045207345    0.008068245    0.045207345    0.008068245    0.045207345    0.008068245
             57    0.075462608     0.01057474    0.075462608     0.01057474    0.075462608     0.01057474
             58    0.075351479     0.01258047    0.075351479     0.01258047    0.075351479     0.01258047
             59    0.077781209    0.010569205    0.077781209    0.010569205    0.077781209    0.010569205
             60     0.12021631    0.014455621     0.12021631    0.014455621     0.12021631    0.014455621
             61     0.11107526    0.016909657     0.11107526    0.016909657     0.11107526    0.016909657
             62      0.1192911    0.014347017      0.1192911    0.014347017      0.1192911    0.014347017
             63      0.1267325    0.016513828      0.1267325    0.016513828      0.1267325    0.016513828
             64     0.14049914    0.014180659     0.14049914    0.014180659     0.14049914    0.014180659
             65     0.17207873    0.016311997     0.17207873    0.016311997     0.17207873    0.016311997
             66     0.16861431    0.016623475     0.16861431    0.016623475     0.16861431    0.016623475
             67      0.1853767    0.018541951      0.1853767    0.018541951      0.1853767    0.018541951
             68     0.20492617     0.02223461     0.20492617     0.02223461     0.20492617     0.02223461
             69     0.20774876    0.018799327     0.20774876    0.018799327     0.20774876    0.018799327
             70     0.32727038      0.0524116     0.32727038      0.0524116     0.32727038      0.0524116
             71     0.25824522    0.022020569     0.25824522    0.022020569     0.25824522    0.022020569
             72      0.2991006    0.039903138      0.2991006    0.039903138      0.2991006    0.039903138
             73     0.32203373    0.022014321     0.32203373    0.022014321     0.32203373    0.022014321
             74     0.36992245    0.023660134     0.36992245    0.023660134     0.36992245    0.023660134
             75     0.40347348    0.029334363     0.40347348    0.029334363     0.40347348    0.029334363
             76     0.50228534    0.044765029     0.50228534    0.044765029     0.50228534    0.044765029
             77     0.43870766    0.034992973     0.43870766    0.034992973     0.43870766    0.034992973
             78     0.58915102    0.034150035     0.58915102    0.034150035     0.58915102    0.034150035
             79     0.49781859    0.030036477     0.49781859    0.030036477     0.49781859    0.030036477
             80     0.69481743    0.035263464     0.69481743    0.035263464     0.69481743    0.035263464
             81     0.74108508    0.038917158     0.74108508    0.038917158     0.74108508    0.038917158
             82      0.8993441    0.050915079      0.8993441    0.050915079      0.8993441    0.050915079
             83     0.98620547    0.042003119     0.98620547    0.042003119     0.98620547    0.042003119
             84      1.1149512    0.098913984      1.1149512    0.098913984      1.1149512    0.098913984
             85      1.2841704    0.052279319      1.2841704    0.052279319      1.2841704    0.052279319
