#pt_bbZ-mbbZ150        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1132.8847      6.2942361      1132.8847      6.2942361      1132.8847      6.2942361
              5      1243.7859      6.2422532      1243.7859      6.2422532      1243.7859      6.2422532
             10       878.9942       4.864796       878.9942       4.864796       878.9942       4.864796
             15      642.30641      3.6869686      642.30641      3.6869686      642.30641      3.6869686
             20       494.1321      3.0550581       494.1321      3.0550581       494.1321      3.0550581
             25      388.93961       2.619053      388.93961       2.619053      388.93961       2.619053
             30      313.41272      2.1435376      313.41272      2.1435376      313.41272      2.1435376
             35      252.53973      1.9311801      252.53973      1.9311801      252.53973      1.9311801
             40      211.44545      1.8954589      211.44545      1.8954589      211.44545      1.8954589
             45      174.94918      1.6056433      174.94918      1.6056433      174.94918      1.6056433
             50      145.55523      1.4249036      145.55523      1.4249036      145.55523      1.4249036
             55       123.3551      1.3372872       123.3551      1.3372872       123.3551      1.3372872
             60      104.97667      1.4307621      104.97667      1.4307621      104.97667      1.4307621
             65      88.821107      1.3064554      88.821107      1.3064554      88.821107      1.3064554
             70       72.98119      1.0562061       72.98119      1.0562061       72.98119      1.0562061
             75      65.465318      1.1626539      65.465318      1.1626539      65.465318      1.1626539
             80      53.833573     0.95479713      53.833573     0.95479713      53.833573     0.95479713
             85      45.443259     0.94194448      45.443259     0.94194448      45.443259     0.94194448
             90      37.952627     0.79614904      37.952627     0.79614904      37.952627     0.79614904
             95      31.512021     0.67577408      31.512021     0.67577408      31.512021     0.67577408
            100      26.637685     0.65895428      26.637685     0.65895428      26.637685     0.65895428
            105      22.404184     0.70629785      22.404184     0.70629785      22.404184     0.70629785
            110      18.156209     0.58454883      18.156209     0.58454883      18.156209     0.58454883
            115      15.728904     0.78032231      15.728904     0.78032231      15.728904     0.78032231
            120      11.342241     0.36722716      11.342241     0.36722716      11.342241     0.36722716
            125      10.970185     0.44500852      10.970185     0.44500852      10.970185     0.44500852
            130      8.1756265     0.30380733      8.1756265     0.30380733      8.1756265     0.30380733
            135      6.8890337     0.27564132      6.8890337     0.27564132      6.8890337     0.27564132
            140      5.5672745     0.18846016      5.5672745     0.18846016      5.5672745     0.18846016
            145      4.6487395     0.18618765      4.6487395     0.18618765      4.6487395     0.18618765
            150      4.2552264     0.21107266      4.2552264     0.21107266      4.2552264     0.21107266
            155      3.6827877     0.16065547      3.6827877     0.16065547      3.6827877     0.16065547
            160      3.0371248      0.2077281      3.0371248      0.2077281      3.0371248      0.2077281
