# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ500
              0      302.17901      1.5542385      302.17901      1.5542385      302.17901      1.5542385
              1      1181.3312      3.2010418      1181.3312      3.2010418      1181.3312      3.2010418
              2      1717.2821      4.1362647      1717.2821      4.1362647      1717.2821      4.1362647
              3      1912.1413      4.2978912      1912.1413      4.2978912      1912.1413      4.2978912
              4      1936.3097      4.4344432      1936.3097      4.4344432      1936.3097      4.4344432
              5      1875.1774       4.236821      1875.1774       4.236821      1875.1774       4.236821
              6      1792.1359      4.0464119      1792.1359      4.0464119      1792.1359      4.0464119
              7      1696.3267      3.8277068      1696.3267      3.8277068      1696.3267      3.8277068
              8      1605.4774      3.6961068      1605.4774      3.6961068      1605.4774      3.6961068
              9      1519.1692      3.4662302      1519.1692      3.4662302      1519.1692      3.4662302
             10      1439.6803      3.4101418      1439.6803      3.4101418      1439.6803      3.4101418
             11      1361.4375      3.2517894      1361.4375      3.2517894      1361.4375      3.2517894
             12      1284.7186      3.0022316      1284.7186      3.0022316      1284.7186      3.0022316
             13      1226.1797      3.0211547      1226.1797      3.0211547      1226.1797      3.0211547
             14      1168.7242      2.8812362      1168.7242      2.8812362      1168.7242      2.8812362
             15      1109.0064      2.6804598      1109.0064      2.6804598      1109.0064      2.6804598
             16      1054.8598      2.5476414      1054.8598      2.5476414      1054.8598      2.5476414
             17      1008.2654      2.5050722      1008.2654      2.5050722      1008.2654      2.5050722
             18      963.70201      2.3576518      963.70201      2.3576518      963.70201      2.3576518
             19      923.36148      2.4136546      923.36148      2.4136546      923.36148      2.4136546
             20      889.39086      2.3691707      889.39086      2.3691707      889.39086      2.3691707
             21      848.82163       2.176245      848.82163       2.176245      848.82163       2.176245
             22      816.19234      2.1551026      816.19234      2.1551026      816.19234      2.1551026
             23      786.07703      2.0825421      786.07703      2.0825421      786.07703      2.0825421
             24      753.53595      2.0846699      753.53595      2.0846699      753.53595      2.0846699
             25      721.72637        1.93817      721.72637        1.93817      721.72637        1.93817
             26      699.23412       2.001904      699.23412       2.001904      699.23412       2.001904
             27      674.62012      1.9219627      674.62012      1.9219627      674.62012      1.9219627
             28      648.43836      1.8061572      648.43836      1.8061572      648.43836      1.8061572
             29      627.74365      1.7887346      627.74365      1.7887346      627.74365      1.7887346
             30      604.32172      1.7782165      604.32172      1.7782165      604.32172      1.7782165
             31      581.74423       1.723849      581.74423       1.723849      581.74423       1.723849
             32      563.14485      1.6635356      563.14485      1.6635356      563.14485      1.6635356
             33       545.3932      1.5959425       545.3932      1.5959425       545.3932      1.5959425
             34       525.4488      1.5342982       525.4488      1.5342982       525.4488      1.5342982
             35      509.64971      1.5539104      509.64971      1.5539104      509.64971      1.5539104
             36      491.23934      1.5770449      491.23934      1.5770449      491.23934      1.5770449
             37      476.51512      1.6012769      476.51512      1.6012769      476.51512      1.6012769
             38      462.45691      1.4841071      462.45691      1.4841071      462.45691      1.4841071
             39      445.21471       1.429784      445.21471       1.429784      445.21471       1.429784
             40      432.54991      1.4986276      432.54991      1.4986276      432.54991      1.4986276
             41      418.54244      1.4421201      418.54244      1.4421201      418.54244      1.4421201
             42      409.00446      1.4136134      409.00446      1.4136134      409.00446      1.4136134
             43      394.39589      1.3603513      394.39589      1.3603513      394.39589      1.3603513
             44      381.15171      1.3211272      381.15171      1.3211272      381.15171      1.3211272
             45      370.24855      1.3844754      370.24855      1.3844754      370.24855      1.3844754
             46      360.10662      1.3344749      360.10662      1.3344749      360.10662      1.3344749
             47      350.46404      1.2774746      350.46404      1.2774746      350.46404      1.2774746
             48      337.45972      1.3135436      337.45972      1.3135436      337.45972      1.3135436
             49      330.42415      1.2706285      330.42415      1.2706285      330.42415      1.2706285
             50      330.42415      1.2706285      330.42415      1.2706285      330.42415      1.2706285
