# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2012.4923      11.594349      1681.5715      9.6840686      2453.5972      14.250048
            0.1      963.51777       9.353703      812.60935      7.7104172      1161.5749      11.726128
            0.2      482.12725      5.6897292      412.53798      4.8614491      571.01937      6.7955312
            0.3      279.54251      4.3072802      240.98632      3.7115402      327.95382      5.0896017
            0.4      163.29771      3.4418488      141.97951      2.9583351      189.49883      4.0947047
            0.5      101.84709      2.5984281      88.505557      2.2573902      118.27194      3.0357013
            0.6      60.400063        2.01925      52.802472      1.7555086      69.589368      2.3680006
            0.7      40.326293       1.693951      35.116587      1.4623549      46.700997       1.995764
            0.8      11.174445     0.60361107      9.7674583     0.52831323      12.875849     0.69750387
              1      11.174445     0.60361107      9.7674583     0.52831323      12.875849     0.69750387
