# pt_bb-mbbZ750        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      575.27746     0.41230115      485.47043     0.34773834      692.08176     0.50153529
              5      1212.3506     0.57192825       1020.988     0.48104674      1462.4604     0.69920706
             10       1200.242     0.56754457      1009.2569     0.47737864      1450.7829     0.69570905
             15      981.60632     0.52245249      824.53135     0.43900708      1188.2345     0.63998168
             20      757.81132     0.46417308      636.10649     0.38990082      918.21883     0.56819888
             25      578.75642     0.41182086      485.44929     0.34550621      701.97387     0.50409169
             30      442.35373     0.36279118      370.77292     0.30422207       537.0473     0.44391963
             35      342.89621     0.32354965       287.2838     0.27107612      416.54537     0.39722777
             40      268.16603     0.28591005      224.51548     0.23983514      326.06763     0.35150196
             45      212.65775     0.25688806      177.87864     0.21497303      258.88019     0.31596785
             50      170.25696     0.22928806        142.291      0.1918302       207.4894     0.28177723
             55      137.69995     0.20728616      115.00583     0.17331994      167.95105     0.25520718
             60      112.48838     0.18743533      93.851846     0.15653047      137.37746     0.23086683
             65       92.44836     0.17016565      77.052531     0.14197607      113.04528     0.20996537
             70       76.79542     0.15589171      63.970873     0.12996508       93.96937     0.19251948
             75      64.266419     0.14173758      53.472072     0.11812399      78.749421     0.17505011
             80      54.366248     0.13064859      45.205172       0.108923      66.670126     0.16182944
             85      45.888387     0.12011744       38.12405    0.099950462      56.329897     0.14866326
             90      39.131036     0.11191815      32.479221     0.09297742      48.089203     0.13890876
             95      33.537254     0.10267074      27.826524    0.085360446      41.232197     0.12748686
            100      28.949083    0.095400792      23.996193    0.079220632      35.631256     0.11845453
            105       25.04939     0.08940857      20.760204    0.074180871      30.837801     0.11116379
            110      21.573079    0.082733125      17.852184    0.068521493      26.604552     0.10282446
            115      19.044359    0.077504033      15.747609    0.064273267      23.514938    0.096570299
            120      16.693699    0.073589448      13.766124    0.060727584      20.673951    0.092032293
            125      14.677521    0.071017857      12.076623    0.058279066      18.220758    0.089269412
            130      12.904175    0.068247748      10.594506    0.055727353      16.057541    0.086187731
            135      11.422686    0.060423478      9.3608638    0.049610572      14.243602    0.075957955
            140      10.005855    0.056536378      8.1896476    0.046396654      12.494279    0.071284843
            145      9.0349023    0.054626861      7.3719093    0.044627611      11.319636    0.069164489
            150      8.1126165    0.051349158      6.6117337    0.041919371       10.17737    0.065028981
            155      7.0987083    0.048162248      5.7777899    0.039259057      8.9184449    0.061055743
            160      6.2913974    0.044695679      5.1056554     0.03634698      7.9294598    0.056808924
            165      5.7044074    0.043073178      4.6320726    0.035016006      7.1849552    0.054800062
