#  pt_bb-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.4425364    0.068595443       2.724837    0.054371228      4.4761747    0.089567734
              5      8.3328696     0.10652013      6.6223128    0.084783821      10.782012     0.13845525
             10      10.353258      0.1170186      8.2753262    0.093659083      13.305742     0.15136953
             15      10.431115     0.12008739      8.3960608    0.096718707      13.295533     0.15389048
             20      9.8935699     0.11859656      8.0076444    0.095883694      12.525679     0.15133212
             25      9.3530531      0.1131852      7.6042674      0.0920113       11.77839     0.14353079
             30      8.5974054     0.10749642      7.0178354    0.087774403      10.776093     0.13554424
             35      8.0921529     0.10460596      6.6298638    0.085709862       10.09746     0.13131561
             40      7.6237409     0.10005442       6.262834    0.082215053       9.483239      0.1252296
             45      7.2244928    0.098207416      5.9569689    0.080948877      8.9463731     0.12240351
             50      6.7743947    0.094280481      5.5901542    0.077832368      8.3817822     0.11736128
             55      6.4119864    0.093509647       5.306043    0.077316987      7.9060416     0.11606887
             60       6.349952    0.096243724      5.2722217    0.079981683      7.7971208     0.12230382
             65      5.8480957    0.090432178       4.850131       0.074903      7.1910173     0.11217222
             70      5.6346972    0.086007092      4.6828229    0.071535101       6.911826     0.10609735
             75      5.3397575    0.083751081      4.4404924    0.069620786       6.545611     0.10357946
             80      5.2113213     0.08350137      4.3273694    0.069383249      6.3982641     0.10320748
             85      5.0078628     0.08112229      4.1577068    0.067829871      6.1497544     0.10118044
             90      4.7955557    0.080584661      3.9774826    0.066792026      5.8961982    0.099816197
             95      4.7043177    0.078644034      3.8887002    0.065081422      5.8073153    0.097495873
            100      4.5382536    0.077202116      3.7565551    0.064073931      5.6020304    0.095981184
            105      4.3939972    0.076120014      3.6370766    0.063891685      5.4314201    0.095998617
            110      4.2091676    0.076378327      3.4560004    0.062759418      5.2476666    0.096016879
            115      3.9495735    0.072080754       3.234937    0.059217817      4.9377363    0.090750248
            120      3.8881592    0.072058278      3.1754632     0.05898193      4.8759545    0.090970865
            125      3.7365641    0.070124627      3.0408772    0.057218536      4.7029236    0.088890483
            130      3.6386941    0.070742147      2.9458071    0.057269735      4.6047927    0.090314064
            135      3.4530416    0.067732227      2.7816971    0.054731444      4.3938883    0.086695034
            140       3.437003    0.067878479      2.7683065    0.054788667      4.3736159    0.086958228
            145      3.3151048    0.066162287       2.650986    0.053053456      4.2517196    0.085372112
            150      3.0898774    0.063648381      2.4662931    0.050971382      3.9699369    0.082205717
            155      2.9180222    0.069645446      2.3224505    0.055465104      3.7594223    0.090147937
            160      2.7157774     0.05988899      2.1567681    0.047671093      3.5071317    0.077826106
            165      2.6369515    0.060201312      2.0923576    0.047883212      3.4083261    0.078318203
            170      2.4741197    0.057056094        1.95606    0.045260566      3.2099475    0.074375669
            175      2.3472284     0.05554617      1.8539931     0.04401366      3.0476957    0.072506262
            180      2.1364298    0.053171168      1.6771272    0.041829039      2.7925448    0.069914105
            185      2.0689416     0.05587767      1.6233794    0.044030635      2.7045155    0.073160334
            190      1.8977254    0.049917054      1.4875554    0.039243858      2.4839293    0.065643022
            195      1.8637226    0.049588474      1.4565364    0.038860576      2.4472067    0.065427646
            200      1.8064324    0.048746155      1.4121095    0.038220809      2.3708669    0.064264171
            205      1.6646891    0.046772434      1.3004823    0.036642668      2.1862237    0.061684703
            210      1.5734465    0.045499913       1.224238    0.035508802       2.075183    0.060239851
            215      1.4053836    0.043013588      1.0990676    0.033742305      1.8441687    0.056710333
            220      1.3404443     0.04231727      1.0400141    0.032908894      1.7722596    0.056177047
            225      1.2075668    0.039957972     0.93838437    0.031144282      1.5943724    0.052959236
            230      1.2439067    0.040393957       0.965053    0.031430419      1.6450576    0.053615361
            235      1.0621044     0.03735181      0.8238822    0.029069282      1.4050134    0.049581819
            240      1.0907937    0.037901133     0.84381207    0.029397658      1.4467686     0.05045185
            245     0.99970743    0.040053157     0.77577183    0.031263871      1.3217671    0.052887149
            250      1.0131926     0.10571629     0.78171337    0.083643984      1.3468202     0.13636114
            255     0.87432137    0.033851786     0.67790593    0.026338363      1.1574679    0.044976576
            260     0.74569943    0.031345813      0.5756017    0.024210237     0.99139897    0.041954183
            265     0.75369393    0.031497921     0.58203357    0.024400871      1.0017905    0.042025127
            270     0.74719383    0.031297553     0.57348467    0.024089638      0.9991614    0.041980603
            275      0.6547936    0.029317809      0.5064244    0.022739871     0.86916203    0.039077987
            280     0.63986223    0.029034001     0.49268047    0.022413479      0.8528556     0.03882707
            285     0.56118857    0.027166438      0.4306674    0.020902354     0.75081043     0.03647836
            290     0.50786077    0.025952785     0.38521033    0.019735033     0.68719583    0.035191193
            295     0.53085967    0.026581351     0.40605303    0.020375813      0.7123906    0.035784016
            300     0.46701797    0.025180163      0.3593391    0.019128657     0.62457557    0.035225649
            305      0.4871373    0.025374672      0.3701136    0.019312102     0.65830297     0.03438263
            310     0.43414777    0.023978721     0.33158747    0.018364263      0.5836084    0.032354236
            315     0.42096147    0.023546962     0.32026283    0.017969972      0.5679924    0.031887332
            320      0.4092957      0.0232654     0.31103813    0.017697537        0.55281    0.031542453
            325     0.33711847    0.021293074       0.258429    0.016348625     0.45154293    0.028680649
            330      0.3250565     0.02067119     0.24754767    0.015775316     0.43805153    0.027928707
            335      0.3159666    0.020436963     0.23982453    0.015549861      0.4274736    0.027740093
            340      0.3314118    0.020950558      0.2525221    0.015998215     0.44652263    0.028326197
            345     0.27134367    0.018877559     0.20510703    0.014305561      0.3686889    0.025712675
            350      0.2875491    0.019441293     0.21997353    0.014913761     0.38593563    0.026179368
            355     0.25319073    0.018434949      0.1927027    0.014052508     0.34156273    0.024997093
            360     0.26838617      0.0187556     0.20288273      0.0142129     0.36466667    0.025554174
            365     0.21882677     0.01712258     0.16655617    0.013070872     0.29517947    0.023155086
            370     0.23036427    0.018924308     0.17610157    0.014562134      0.3094796    0.025383071
            375     0.21495227     0.01699242      0.1639271    0.013011555     0.28958987    0.022962765
            380     0.18857503    0.017590041     0.14398507    0.013474631      0.2535293    0.023666332
            385     0.18930497    0.015911726      0.1435057    0.012080668      0.2563958    0.021623317
            390     0.16739097    0.014887147     0.12678357    0.011311752     0.22695373    0.020235092
            395      0.1897856    0.015829338     0.14422563    0.012064188     0.25656453    0.021471076
            400     0.12787063    0.013013787    0.096884266    0.009883626     0.17312967    0.017661189
            405      0.1734134      0.0150987     0.13083373    0.011418319     0.23601823    0.020598082
            410     0.13798417    0.013469387     0.10504233    0.010292047     0.18608847    0.018238117
            415     0.14767603    0.014022984     0.11298777    0.010779655      0.1982417    0.018906972
            420       0.123394    0.012829467    0.093235034   0.0097137443     0.16773003    0.017493287
            425      0.1143738    0.012264519      0.0867216   0.0093299887     0.15490877    0.016664347
            430      0.0900954    0.010848463      0.0670629   0.0080874869     0.12419503    0.014971061
            435    0.092966933    0.011035695    0.070416867   0.0083811479     0.12608733    0.015015743
            440    0.082034467    0.010572056    0.062542967   0.0080689341      0.1104619    0.014303671
            445     0.11827873    0.013812287      0.0894236    0.010544028      0.1606781    0.018661108
            450     0.11482113     0.01315406    0.086224933   0.0099672382      0.1570433    0.017896423
            455    0.091651733    0.011098656      0.0689097   0.0083594404     0.12523487    0.015211007
            460    0.098608099    0.011389342      0.0751289   0.0087028078      0.1330103    0.015418481
            465    0.085072767      0.0105563    0.063679767   0.0079166239     0.11671663    0.014515624
            470    0.073347833   0.0098048878    0.055850567   0.0074886292    0.098992067    0.013284058
            475      0.0753482   0.0099864591    0.057152767   0.0075961627     0.10209383    0.013568496
