# pt_bbZ-mbbZ10        central        num_err    min (scale)        num_err    max (scale)        num_err
# 00
              0       1485.568     0.61529354      1265.8424     0.52420316      1765.1529     0.74181392
              5      1348.6228     0.59344481      1143.9703     0.50370242      1612.2758     0.71810273
             10      924.69674     0.50757304       779.8279     0.42831977       1113.852     0.61915808
             15      684.76251     0.44350947      574.78278     0.37252859      829.75859     0.54212342
             20      531.96122     0.39550129      444.86039     0.33093235       647.6117     0.48553985
             25      424.57725     0.35602745      353.91436     0.29701823      518.94815     0.43930567
             30      344.96099     0.32449914      286.77772     0.26979422      423.03053      0.4017782
             35      284.13551      0.2952739       235.6688     0.24496528      349.42254     0.36625519
             40      235.62819     0.26923663      195.01806     0.22307122      290.52292     0.33497472
             45      197.48066     0.24758017      163.14366     0.20470664      244.03464     0.30881395
             50       166.1117     0.23043809      136.95604     0.18984116      205.76338     0.28834816
             55      140.40832     0.21259471      115.61087     0.17491681      174.20118     0.26631006
             60       119.6274     0.19573016         98.365     0.16090485      148.66035     0.24530826
             65      101.72613     0.18097896      83.589778      0.1486894       126.5146     0.22731311
             70      87.379146     0.16735082       71.70757     0.13737575       108.8365     0.21038037
             75      75.325188     0.15437936      61.753611     0.12662642       93.93513     0.19380766
             80      65.050069     0.14758779      53.298961     0.12066549      81.174296     0.18607645
             85      56.454967     0.13426209       46.20882       0.109958      70.533731     0.16898468
             90      49.048396     0.12474358       40.12045     0.10209611      61.326616     0.15700708
             95       42.77811     0.11797278      34.988526    0.096527931      53.490246     0.14907318
            100      37.324288     0.10952361      30.511602    0.089638655      46.699332     0.13799738
            105      32.547519     0.10211334      26.596882    0.083483595      40.739946      0.1286782
            110      28.963393     0.10318182      23.655873    0.083765994      36.273367     0.13113535
            115      25.404901    0.090561255      20.740899    0.073957888      31.832327     0.11432453
            120      22.419807    0.085043026      18.293446    0.069402794      28.110468     0.10730023
            125      19.878046    0.080586449      16.224171    0.065918943       24.91474     0.10197116
            130      17.695345    0.076230607      14.433576    0.062179614      22.194395    0.096628701
            135      15.572556     0.07042915      12.707719    0.057488984      19.521136    0.088921861
            140      13.906515    0.066864743      11.343821    0.054619527      17.439685    0.084459349
            145      12.506614    0.063342641      10.194618    0.051664764      15.697418    0.079968388
            150      11.270987    0.060313596      9.1890681    0.049207662      14.142984    0.076132056
            155      10.180537    0.057166462      8.2984185    0.046662188      12.777485    0.072248956
            160        9.01742      0.0534513      7.3498944    0.043603649      11.332494    0.067658786
            165      8.1968559    0.051081582      6.6792894    0.041778772      10.311961    0.064776684
            170      7.2820881    0.048229377      5.9340495    0.039424189      9.1617614    0.061332649
            175      6.7291333    0.053308816      5.4671088     0.04301862      8.4925899    0.068173265
            180      5.9787269    0.043929996      4.8614515    0.035816282      7.5399637     0.05580174
            185      5.4540291    0.041691724      4.4272385    0.033938521      6.8917403    0.053097932
            190      4.9911363    0.040536919      4.0427108    0.032898295      6.3218258    0.051731835
            195      4.5655894    0.038479462      3.6973682    0.031245005      5.7841978    0.049092684
            200      4.1227336    0.037169294      3.3438377    0.030259471      5.2149833    0.047693792
            205      3.7048047    0.034225639      2.9960961      0.0277745      4.7016988    0.043734278
            210      3.4076036    0.040927202      2.7554034    0.032678717      4.3252082    0.052897427
            215       3.126602    0.031770542      2.5263384    0.025731127      3.9712498    0.040663378
            220      2.8768523     0.03025989      2.3190249     0.02447441      3.6637385    0.038803232
            225      2.6563452    0.029127048      2.1394879    0.023536227      3.3861677    0.037404085
            230      2.3834607    0.027562504      1.9159625     0.02223372      3.0449112    0.035437659
            235      2.2321246     0.03080877      1.7962894    0.024661843      2.8479959    0.039763458
            240      2.0207759    0.025573948      1.6256371    0.020628574      2.5799763    0.032880088
            245      1.9137493    0.025181468      1.5359851    0.020264251      2.4493016    0.032449391
            250      1.7292781    0.023526849      1.3886679    0.018967037       2.212105    0.030283308
            255      1.6103647    0.024432989      1.2892445    0.019450184      2.0666893    0.031817297
            260      1.4580929    0.021946003      1.1711609    0.017664529      1.8649082    0.028281392
            265      1.3609257    0.021088214      1.0884731    0.016888553      1.7488291    0.027354434
            270      1.2694806    0.020542155      1.0162008    0.016460733       1.629805    0.026608973
            275      1.1425323    0.019036448      0.9168239    0.015331912      1.4631307    0.024544416
            280      1.0594124    0.018400962     0.84657023    0.014767929      1.3629964    0.023835223
            285     0.95354991    0.017366067       0.762145    0.013938433      1.2263586    0.022472325
            290     0.89949608    0.016931179     0.71795143    0.013562287       1.158672    0.021956784
            295     0.84940465    0.016524457     0.67757975    0.013218653       1.095006    0.021466252
            300      0.8001897    0.016104843     0.64065995    0.012940767      1.0274167    0.020822549
            305     0.74464711    0.015524165     0.59301591    0.012411312     0.96157004    0.020177633
            310     0.72752914    0.025116181     0.57853862    0.019623694     0.94050667    0.033014604
            315     0.62773197    0.014433552     0.50098591    0.011543725     0.80878353    0.018771514
            320     0.61127789    0.014746449     0.48707668    0.011735063     0.78897846    0.019230681
            325     0.56849177     0.01341644     0.45136728    0.010697405     0.73649143    0.017485589
            330     0.53936942    0.013139432     0.42883442    0.010485458     0.69780243    0.017114381
