# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ250
              0      499.19525     0.87411507      425.33377     0.74358976      593.06516      1.0511701
              1      1431.8708      1.4711723      1221.6384      1.2558059      1698.2216      1.7718595
              2      1751.2264      1.6159692      1494.2285      1.3784775      2076.9768      1.9420659
              3       1727.067      1.6053849      1473.0144      1.3687464      2049.5906      1.9211452
              4      1605.6005      1.5512738       1368.757      1.3235806        1906.77      1.8656556
              5      1445.0585      1.4745905      1230.7055      1.2557479      1718.4229      1.7679075
              6      1312.7995      1.4079245       1117.051      1.1982312      1563.0905      1.6896821
              7      1195.2344      1.3459428      1016.4653      1.1478183       1424.183      1.6292737
              8      1089.8727      1.2876179      925.75372      1.0946362      1300.7464      1.5526894
              9       997.0216      1.2333042      846.16098      1.0472046      1191.2963      1.4871318
             10      918.56242      1.1846167      778.83661      1.0047317      1098.9391      1.4285365
             11      848.07285      1.1416862      718.50986     0.96554078      1015.6678      1.3890488
             12       788.7889       1.100215      667.86253     0.93574389      945.45812      1.3417003
             13      735.33698      1.0634244      622.02344      0.8998823      882.47754      1.2867938
             14         687.42      1.0288055      581.18298     0.87035006      825.55381       1.247431
             15      644.18921     0.99690686      544.17775     0.84286415      774.49207      1.2098985
             16      605.63725      0.9666306      511.41068      0.8165526      728.51354      1.1724405
             17      570.88353     0.93891573      481.65661     0.79255033      687.46868      1.1392637
             18      537.58205     0.91229885      453.21181     0.76958632      648.01532      1.1090837
             19      509.28945     0.88809575      429.09117     0.74853321      614.40706      1.0792415
             20       483.2996      0.8649453      406.91777     0.72870242      583.56561      1.0524957
             21      457.16962     0.84126556      384.84893     0.70897568      552.14265       1.024918
             22      434.52678     0.82290761      365.54661     0.69229545      525.24299      1.0030026
             23      413.71502     0.80136572      347.96786     0.67435785      500.21398     0.97748033
             24      394.25662     0.78243954      331.31426     0.65799579      477.22857     0.95396133
             25      376.24036      0.7657822       316.0028     0.64382569      455.73591     0.93636383
             26       357.1587     0.74581573      299.85979     0.62642706      432.83448     0.91104263
             27      341.10478     0.72995229      286.24474     0.61252938        413.632     0.89270633
             28      326.48453      0.7140425      273.81285      0.5990492      396.20547     0.87360193
             29      312.50366     0.69822369      261.97649     0.58633414      379.44207      0.8615999
             30       297.8658     0.68180964      249.58051     0.57149036      361.90538     0.83493253
             31      286.28099     0.67035218      239.80703     0.56164585       347.9524     0.82166194
             32      273.14203     0.67139538       228.6198     0.55966969       332.3188     0.82778208
             33      262.94896     0.64200595      220.09766     0.53814736      319.89769     0.78980971
             34       251.7417      0.6280153      210.62317     0.52610905      306.43538     0.77240785
             35      241.57902     0.61586618      202.02302     0.51549155      294.25432      0.7579534
             36      231.09858     0.60157785      193.21382     0.50326775      281.56842     0.73928226
             37      222.99732     0.59433409      186.27078     0.49629312      272.00847     0.73111614
             38      213.85099     0.58388459      178.60437     0.48728083      260.90123     0.71871907
             39      205.94995     0.57137252       171.9938     0.47693754      251.28892     0.70423582
             40      196.87394        0.55625      164.32693     0.46452721      240.37447     0.68417484
             41      188.53202     0.54537313       157.2579     0.45495805      230.38516     0.67205542
             42      182.65181     0.53656155      152.34007     0.44830764       223.2229     0.66294674
             43      176.45235     0.52700163      147.08562     0.44005205      215.80554      0.6538152
             44      168.27266     0.51514038      140.28918     0.42978522      205.75689     0.63586376
             45      163.23507     0.50687921      135.94566     0.42236287      199.86933     0.62527675
             46      157.28346     0.50040671      131.00643     0.41684201      192.54731     0.61814748
             47      150.09207      0.4865146       124.9885     0.40641709      183.79482     0.60642289
             48      145.52964     0.47960257      121.12986     0.39915159      178.31639     0.59273922
             49      140.09896     0.46888337      116.60426     0.39057448      171.67389     0.57925209
             50      140.09896     0.46888337      116.60426     0.39057448      171.67389     0.57925209
