#       pt_lep1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.2068212      0.0371626      3.5277019    0.031120324      5.1021765    0.045482513
              5      44.766141     0.11961954      37.643541      0.1005392      54.090929     0.14567913
             10         132.25     0.20330404      111.39328     0.17124748      159.45293     0.24776445
             15      249.46809     0.27738913      210.11141     0.23343351       300.8238     0.33739813
             20      384.30041     0.34101586      323.64255     0.28698566      463.48589     0.41553139
             25       536.2648     0.39967173      451.39177     0.33649393      647.21088     0.48737452
             30      717.32327     0.45618236      603.31486     0.38344614      866.65056     0.55653348
             35      999.18588     0.52674275       839.7271     0.44263123      1208.4436     0.64570462
             40       1294.982     0.58429499      1087.3004     0.49091156      1568.1809      0.7163021
             45      933.06402     0.51076866      782.97491     0.42869026      1130.8783     0.62574049
             50      624.61053     0.42681144      523.74193     0.35828803      757.83584     0.52419664
             55      431.97446     0.36022649      361.76028     0.30167045      524.98433     0.44164919
             60      308.32501     0.30648046      257.92762     0.25668949      375.26097     0.37761103
             65      226.11477     0.26437345      188.81117     0.22085505       275.8484     0.32565832
             70        170.214     0.22980207      141.89934     0.19175104      208.09139     0.28342142
             75       130.5737      0.2040024      108.67187     0.16970655      159.97121     0.25245454
             80       101.2209     0.17872761      84.081682     0.14857039      124.30552     0.22153337
             85      79.829251     0.16043192      66.218615     0.13304149      98.207202      0.1995107
             90      63.910975     0.14799955      52.963466     0.12231851      78.720187     0.18447633
             95      51.430601     0.12766584      42.553861     0.10572023       63.46835     0.15878276
            100      42.111077     0.11587805      34.821712    0.095940101      52.007057     0.14456289
            105      34.574613     0.10451762      28.570446    0.086463498       42.73478     0.13014595
            110      28.763583    0.096723563       23.75548    0.079905196      35.576156     0.12074088
            115      24.037671    0.087528251      19.826946    0.072242521      29.776707     0.10924754
            120      20.174089    0.080089445      16.630667    0.066086454      25.006722    0.099995325
            125      17.031252    0.073490752      14.037675    0.060680167      21.118507    0.091954181
            130      14.486042    0.068344851      11.924005    0.056371233      17.991667    0.085639659
            135      12.355256    0.067737716      10.149595    0.055425363       15.37875    0.085496551
            140       10.59698    0.058244985       8.691352    0.047916275      13.215148    0.073334536
            145      9.2180861    0.055616254      7.5531897    0.045513848      11.507121    0.070354733
            150      7.9179852    0.050826398      6.4821819    0.041627856       9.894104     0.06421355
            155      6.8422674    0.048055318      5.5984734    0.039280237      8.5550837    0.060812199
            160      6.0401495    0.044002373      4.9231097    0.035942309      7.5839782    0.055739662
            165        5.28931     0.04132049      4.3127498    0.033763646      6.6396035    0.052358455
            170      4.6979806    0.039446402      3.8270719    0.032202509      5.9032153    0.050238941
            175       4.086889    0.036596738      3.3207304     0.02977947      5.1495325    0.046589908
            180      3.6068974    0.033899865      2.9247612    0.027580593      4.5554086    0.043313657
            185      3.2600334    0.033114001      2.6441555    0.026874348      4.1157693     0.04220282
            190      2.7914904    0.029983398      2.2621126    0.024363661      3.5278954    0.038311353
            195      2.5202061    0.029144185      2.0394918    0.023585396      3.1897914    0.037265993
            200      2.2739207    0.026907186      1.8362284     0.02179096       2.885122    0.034416806
