#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      5.7039175      0.3174732       4.602711     0.25410435       7.244538     0.40808498
           -4.9      14.075174     0.44753093      11.319303      0.3603825      17.825381     0.57092466
           -4.8      38.104475      0.7639407      30.938959     0.61968627      47.735682      0.9663668
           -4.7      87.540155      1.6255363      71.697615      1.3355621      108.59289      2.0154004
           -4.6       176.4257      1.7111771      145.44842      1.4109172       217.4396      2.1174164
           -4.5      306.74889      2.2523408      254.09155      1.8655569      377.52802       2.782783
           -4.4      487.76017      2.8505133      404.44515      2.3624131      599.53227      3.5194746
           -4.3      710.89352      3.4114239      590.11903      2.8311473      872.60282      4.2063076
           -4.2      973.67412      3.9590517       809.3376      3.2905293      1193.2081      4.8792323
           -4.1      1281.6112      4.5262824      1065.4545      3.7633225      1570.3168      5.5701719
             -4      1615.2968      5.0863966      1344.2534      4.2322451      1976.6737      6.2595185
           -3.9      1964.5792      5.6055255      1635.7381      4.6659514      2402.6122      6.8946829
           -3.8      2313.0769      6.0887594      1927.2927      5.0807099      2826.3802      7.5145787
           -3.7      2665.9971      6.5763206      2221.7491        5.47622      3256.9221       8.087653
           -3.6      2982.1728      6.8619758      2486.6835      5.7240114      3640.6713      8.4470887
           -3.5      3304.6357      7.2804147       2756.422      6.0655654      4032.8679      8.9625669
           -3.4      3598.2395      7.5162012      3002.5165      6.2771654      4389.2389      9.2372858
           -3.3       3881.197      7.8333009      3239.5417      6.5450556      4732.8817      9.6468277
           -3.2      4126.5789      8.0231219      3444.9119      6.7030752      5031.3003      9.8490874
           -3.1      4340.2356       8.268878      3624.8327      6.8998014      5289.0763       10.17854
             -3      4546.9549      8.4281253      3799.6222      7.0451128      5537.4412      10.332025
           -2.9      4714.2566      8.5829365      3940.5586      7.1810548      5739.2569      10.533914
           -2.8      4840.1663      8.6922635      4047.7621       7.296188      5889.2848       10.73349
           -2.7      4984.4629      8.8158314      4168.7045      7.3759464      6064.6318      10.799878
           -2.6      5075.1736      8.9011607      4246.7951      7.4517469      6171.1349      10.946513
           -2.5       5143.899       8.964834      4304.3726       7.505308      6254.7479      10.988116
           -2.4      5238.7337      9.0753195      4386.5132      7.5923625       6365.329       11.13832
           -2.3      5272.9196      9.0554803      4417.8483      7.5890733      6402.1908      11.084834
           -2.2      5339.2672      9.1293413      4473.8717      7.6521772      6482.3465      11.185186
           -2.1      5355.4063      9.1367912      4488.9847      7.6591492      6499.2566      11.173256
             -2      5382.2881      9.2748595      4514.5493      7.7728516      6526.6305      11.375657
           -1.9      5414.1466      9.2163522      4542.9913      7.7298187      6562.3919      11.283955
           -1.8      5435.2265      9.2647781      4562.3375      7.7720568      6585.2147       11.34072
           -1.7      5449.1746      9.2696579      4573.8061      7.7791902      6602.8803      11.328216
           -1.6      5441.5047       9.269384      4570.3685      7.7788738      6588.2534      11.333685
           -1.5      5444.3357      9.2383781      4573.8782      7.7585673      6589.9619      11.294242
           -1.4      5457.4392      9.2238891      4585.2602      7.7488028      6605.4299      11.268413
           -1.3      5465.0254      9.2538871      4593.5237      7.7815378      6611.3116      11.318729
           -1.2      5462.5779      9.2436882      4592.8076       7.769402      6606.0872      11.289594
           -1.1       5456.094      9.3027914      4587.2615      7.8071393      6598.6552      11.376586
             -1      5447.8666      9.2112914      4583.8285      7.7550806      6582.4179      11.320351
           -0.9      5455.4998      9.2252082      4591.0919      7.7620371      6590.3337      11.299942
           -0.8      5466.3458        9.28057      4601.0859       7.809957      6601.9728      11.359317
           -0.7      5446.5949       9.203221      4583.7359      7.7428592       6579.656      11.221981
           -0.6      5457.6118      9.2410584      4593.4827      7.7890316      6592.0617       11.34925
           -0.5      5453.0403       9.285693      4590.9423      7.8067866      6584.4123       11.34304
           -0.4      5436.5362      9.3308892      4577.9182      7.8540489      6562.9672      11.469002
           -0.3      5422.4615      9.1861709      4566.3174      7.7361021       6545.487      11.212808
           -0.2      5443.6002      9.2299996      4584.1551      7.7696772      6571.0767       11.25995
           -0.1      5441.0543      9.4457076      4582.3803      7.9314947      6567.2413      11.651055
              0      5446.9784      9.1915143      4587.0646      7.7394138      6575.0361      11.196271
            0.1      5435.9371      9.1957169       4577.591      7.7414844      6562.0261      11.215974
            0.2      5429.0943      9.3394602      4571.6544      7.8417242      6554.0533      11.426748
            0.3      5432.0447      9.1979848      4573.3568      7.7627451      6558.8432      11.281973
            0.4      5433.2621      9.2272655      4573.3832      7.7618938      6562.2178      11.264492
            0.5       5443.323      9.2141993       4582.298      7.7697452      6573.3877      11.331262
            0.6      5457.5071      9.2359198      4592.7042      7.7722529      6593.1879      11.284135
            0.7      5438.1381      9.2271158      4578.3803       7.766303      6566.0409      11.266029
            0.8       5461.311      9.3053261      4594.7589      7.8210161      6599.5365       11.37786
            0.9      5464.6941      9.3120863      4597.9625      7.8241138      6602.7851      11.376741
              1      5460.7915      9.2397258      4592.1134      7.7642816      6602.6783      11.278914
            1.1      5475.7426      9.2549518      4605.3328      7.7859322      6619.3401      11.320307
            1.2        5465.59      9.2319025      4593.8031      7.7589133      6612.3983      11.277051
            1.3      5444.0626      9.2940621      4575.1961      7.8025877      6587.0207      11.361473
            1.4      5467.4602      9.2384933      4593.4475      7.7642314      6617.6671       11.28599
            1.5      5447.3337      9.2222228      4575.3029      7.7534542       6595.323       11.28035
            1.6      5436.1969      9.1990616      4563.7693      7.7242683      6585.6482      11.227091
