#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      21.480447      1.1992779      16.538548     0.92436748      28.534353      1.5958442
           -4.9      23.227408      1.2459923       17.73321     0.95181649       31.11707      1.6714225
           -4.8      25.421645      1.3013684       19.50827     0.99962492       33.87884      1.7370209
           -4.7      30.563343       1.434623       23.44828      1.1010156       40.72814      1.9154062
           -4.6      35.922788      1.5601214       27.69399      1.2041046      47.649498      2.0726076
           -4.5      42.197702      1.6844845      32.592953      1.3016146      55.864098      2.2357945
           -4.4      48.269752      1.7981387      37.163063      1.3847787      64.106707      2.3936019
           -4.3      56.470852      1.9434043      43.784258      1.5065246      74.501878      2.5736049
           -4.2      72.434838      2.1913499      55.832387      1.6903392      96.074037      2.9114792
           -4.1      81.466532      2.3493181      63.193717      1.8242457      107.39202      3.1042488
             -4      88.515007      2.4388022      68.657363       1.893696      116.68003      3.2218203
           -3.9      103.69716      2.6278234      80.669478      2.0468509      136.31072      3.4621727
           -3.8       124.7159      2.8915884      97.217775      2.2579811      163.58839      3.8003611
           -3.7       139.2777       3.044519      108.91431      2.3844612      182.14743      3.9917984
           -3.6       151.2799      3.1946982      118.41895      2.5052972       197.6199      4.1833761
           -3.5      178.32306      3.4980247      140.05303      2.7485744      232.19309       4.573217
           -3.4      207.05072      3.7363278      163.37485       2.952296      268.29754      4.8571838
           -3.3      238.00007      3.9802344      188.48166      3.1616885       307.2798      5.1620348
           -3.2      270.37215       4.241709       215.0239      3.3809392      347.57811      5.4729889
           -3.1      306.44809      4.5423943      243.74221      3.6204646      393.99963      5.8574026
             -3      349.93398      4.8195143      280.14116      3.8625537      447.82745      6.1879701
           -2.9      410.10914      5.2632283      328.70593      4.2187105      524.16906      6.7543768
           -2.8      466.48413      5.8117666      374.96751      4.6608021      594.32622      7.4609847
           -2.7      534.02611      5.9585462      429.97455      4.8019363      679.21875      7.6060555
           -2.6      612.51226      6.3833675      495.14806      5.1670353      775.64777      8.1195304
           -2.5      700.15362      6.8522088      566.40177      5.5481096      885.95696      8.7022628
           -2.4       828.4667      7.4902923      672.24008      6.0813254      1044.8044      9.4959961
           -2.3      945.91033      7.9231552      769.33086       6.450406      1189.7031       10.00954
           -2.2      1077.8439      8.5212677      880.44363      6.9750292      1349.1107      10.739932
           -2.1      1262.1856      9.1866832      1034.9926      7.5406725      1572.8299      11.546475
             -2       1494.381      9.9627369       1227.892      8.1985903      1857.9219      12.477524
           -1.9      1726.9932      10.746885      1421.5526      8.8435608      2142.6425      13.420834
           -1.8      2059.2409      11.830155       1701.276      9.7662746       2543.865      14.723518
           -1.7      2428.9397      12.866081       2010.771      10.662699      2993.3544      15.972299
           -1.6       2864.129       14.09635      2376.7436      11.669798      3519.5935      17.496038
           -1.5      3391.7482      15.097877      2820.9875      12.555317      4156.5758      18.648538
           -1.4      4032.9252      16.337837      3361.1426      13.618245      4930.0682      20.107306
           -1.3      4781.5043      17.771789      3993.0653      14.843007      5830.8203      21.821847
           -1.2      5590.4003      19.232314      4672.9184      16.081196       6809.454      23.599727
           -1.1      6610.8216      20.857609      5533.8576      17.461918      8038.3749      25.533152
             -1      7788.4868      22.565342      6533.6931      19.152099      9444.5815      28.148347
           -0.9      9070.3637      24.898131      7616.5871      20.921113      10985.314      30.745798
           -0.8      10550.265      26.098997      8862.7175       21.94838      12771.788      31.838691
           -0.7       12203.52      28.169124      10256.807       23.67846      14763.429      34.327864
           -0.6      13907.428      29.902342      11699.781      25.255041      16805.247      36.598315
           -0.5      15870.094      31.770654      13364.052      26.813238      19152.993      38.720825
           -0.4      17899.438      33.673446      15076.539      28.389043      21595.806      40.918932
           -0.3      19974.169      35.515707      16842.134      29.984666      24066.144      43.165134
           -0.2      21873.042      37.044633      18462.719      31.541337       26318.71        45.6367
           -0.1      23190.842      38.132801      19588.635      32.257645       27880.78      46.265833
              0      23324.537       38.19704      19707.798      32.396638      28030.648      46.582655
            0.1      21796.919      36.982252      18395.221      31.249041      26233.551      44.902343
            0.2      19963.545        35.5421      16832.429      29.998568      24054.828      43.162207
            0.3      17927.003       33.74214       15102.59      28.456429      21623.611      41.014607
            0.4      15945.053      31.979147      13421.087       26.93338      19254.699      38.926646
            0.5      14010.841      30.374827      11787.676      25.516895      16928.477      37.050951
            0.6      12190.748      28.126194      10250.926      23.676542      14739.188      34.363147
            0.7      10596.663      26.202022      8902.5069      22.042974      12826.259      32.025946
            0.8      9072.7045      24.359827      7615.6187      20.459756      10993.791      29.763505
            0.9      7770.8687      22.557616      6513.2462      18.910223      9433.7677      27.589898
              1         6654.4      20.869734      5571.3543      17.474766      8089.4082       25.54947
            1.1      5640.7968      19.318531       4715.525      16.149575      6869.9851      23.712953
            1.2      4794.8547      17.803548      4003.6081      14.867526      5848.2691      21.864554
            1.3       4024.025      16.263855       3354.272      13.563427      4918.2179      20.009423
            1.4      3402.9081      14.986012      2829.0052       12.46446      4172.4908      18.503902
            1.5      2880.7812      13.793805      2389.8422      11.454696      3541.4752      17.059564
            1.6      2427.6804      12.676218      2010.4267      10.507262      2990.5926      15.741509
            1.7      2037.8982      11.652054      1682.4783      9.6225246      2519.5505      14.494996
            1.8      1722.3485      10.789263      1418.6827      8.8834457      2135.2706      13.462176
            1.9      1466.2895      9.8945277      1204.3974      8.1313248      1823.7064      12.389064
              2      1256.0607      9.1576323      1028.8776      7.5040802      1567.2105      11.498411
            2.1      1089.3798      8.5121085      889.82959      6.9619044      1363.5942      10.710469
            2.2      943.33973      7.9450935      767.71907      6.4682117      1185.7207      10.037332
            2.3      805.60643      7.4555613       653.6196       6.047706      1016.1128      9.4557102
            2.4      693.35908      6.7999796      561.15205      5.5075915      876.94794      8.6366229
            2.5      613.66506      6.4109405      495.21406      5.1794537      778.59213      8.1783151
            2.6      530.78005      5.9683406      426.87556      4.8029512       675.9788      7.6290808
            2.7       460.7345      5.5223073      370.67064      4.4486415      586.53616      7.0602175
            2.8      407.29214      5.2067534      326.38363      4.1762522      520.68454      6.6765426
            2.9      349.13898      4.8745859      278.94168      3.9001366      447.41612      6.2788168
              3      311.16011      4.6010951      247.65979      3.6663525      399.71808      5.9353942
            3.1      264.05213      4.2621648      209.22279       3.375995       340.7744      5.5316322
            3.2      233.00226      3.9933235      184.09883      3.1590564      301.50392      5.1871782
            3.3      208.15337      3.7178208      164.51682      2.9438776      269.35672      4.8289138
            3.4      189.44959      3.5535445      149.28352      2.8054228      245.82868      4.6243218
            3.5      163.63686      3.3354573      128.49377       2.622548      213.10628      4.3574886
            3.6      141.44799      3.1194945      110.74831      2.4452174       184.7038      4.0892068
            3.7      121.62217      2.8669796      94.896812      2.2403576      159.36789      3.7645524
            3.8      102.77442      2.6343215      80.054777      2.0541045      134.91572      3.4669993
            3.9      86.926793      2.4039144      67.652465      1.8736568      114.21935      3.1659018
              4      76.592858      2.2664523      59.368605      1.7596825      101.05492      2.9949673
            4.1      71.399917      2.1839047      55.120918      1.6878704      94.560503       2.897629
            4.2      57.449847      1.9664081      44.421187      1.5224393      75.984448      2.6060143
            4.3      49.514835      1.8274925      38.169205      1.4067817      65.672163      2.4342814
            4.4      44.142657      1.7291223      34.048027      1.3350119       58.50873      2.2967839
            4.5      37.012555      1.5725523      28.274247      1.2023935       49.55425      2.1076807
            4.6      35.351408      1.6737426      27.009333      1.2789486      47.297485      2.2420673
            4.7      26.125547       1.321278      20.110362       1.018455       34.71221      1.7579488
            4.8      21.687412      1.2077458       16.61521     0.92564352       28.95676      1.6158192
            4.9      19.018988      1.1218276      14.605885      0.8627884      25.334943      1.4970303
              5      19.018988      1.1218276      14.605885      0.8627884      25.334943      1.4970303
