#   m_bbZ-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15              0              0              0              0              0              0
             16              0              0              0              0              0              0
             17              0              0              0              0              0              0
             18              0              0              0              0              0              0
             19              0              0              0              0              0              0
             20              0              0              0              0              0              0
             21              0              0              0              0              0              0
             22              0              0              0              0              0              0
             23              0              0              0              0              0              0
             24              0              0              0              0              0              0
             25              0              0              0              0              0              0
             26              0              0              0              0              0              0
             27   0.0054040816    0.003167095   0.0040792717   0.0023728468   0.0075222487   0.0044722894
             28   0.0031579032   0.0022328631   0.0022804722   0.0016148978   0.0046303322   0.0032802829
             29              0              0              0              0              0              0
             30   0.0094737095   0.0038674323   0.0076727891     0.00313389    0.011992597   0.0049010984
             31   0.0015789516   0.0015788726   0.0012260104   0.0012259491   0.0021180872   0.0021179813
             32   0.0078947579   0.0035304665   0.0064485794   0.0028894729   0.0098719088    0.004433269
             33   0.0063158063   0.0031577453   0.0050065626   0.0025063316   0.0082427371   0.0041307097
             34   0.0078947579   0.0035304665   0.0063679072   0.0028536723    0.010059944   0.0045173429
             35   0.0063158063   0.0031577453   0.0051692276   0.0025874082   0.0078838336   0.0039510411
             36    0.011052661   0.0041772447   0.0089072029   0.0033738259    0.014105562   0.0053536604
             37    0.017368467   0.0052365281    0.013382993   0.0040535381    0.023510484   0.0071390419
             38    0.011052661   0.0041773043   0.0089325732   0.0033823794    0.014051621   0.0053299196
             39    0.022105322   0.0059076004    0.017539656    0.004708313    0.028812125   0.0077597568
             40    0.037911084   0.0077381971    0.031560944   0.0064674026    0.046239255   0.0095198261
             41    0.025263225   0.0063154905    0.020216807   0.0050702583    0.032622369   0.0081981771
             42     0.03000008   0.0072353033    0.023883313   0.0056474646    0.038930492   0.0097168505
             43    0.036315886   0.0075720071    0.028902961   0.0060334374    0.047152061    0.009851047
             44     0.03947379   0.0078943631    0.031101521   0.0062361347    0.051912885    0.010425973
             45    0.050526451   0.0089314523    0.040291836   0.0071374982    0.065430572    0.011608163
             46     0.06000016   0.0097328245    0.047582993   0.0077343355    0.078247459    0.012735699
             47    0.044210644   0.0083546087    0.035472709   0.0067372816    0.056791116    0.010826083
             48    0.086842337    0.011709233     0.07102737   0.0096112901     0.10873053    0.014759733
             49    0.079491597    0.011254139     0.06350044   0.0090050369     0.10269464     0.01461408
             50    0.091579192    0.012024336    0.075380312   0.0099442119      0.1136541    0.015058327
             51    0.093158143     0.01212753    0.077893397    0.010173242     0.11310348    0.014822581
             52     0.09947395    0.012531893       0.085901    0.011580039     0.11512209    0.016845752
             53     0.12473717    0.014033309     0.10045642    0.011327263     0.15945482    0.018008287
             54     0.13578984    0.014641845     0.11159304    0.012194326     0.16898968    0.018675991
             55     0.14052669    0.014895021     0.11445886    0.012187881      0.1771026    0.018919955
             56     0.14526355    0.015143981     0.11983045     0.01253792     0.17989988    0.018881282
             57      0.1500004    0.015388882     0.12170664    0.012524928     0.18993181    0.019589565
             58     0.17684258    0.016709217     0.14365794    0.013620257      0.2234972    0.021243076
             59     0.23842169    0.019401486     0.19569172    0.015972537     0.29724494    0.024320782
             60     0.23684274    0.019337084     0.19273857    0.015781878     0.29868039    0.024508216
             61     0.23684274    0.019337071     0.19109828    0.015652052     0.30206579    0.024792236
             62     0.28579024      0.0213585      0.2348042    0.017587473     0.35601685    0.026900643
             63     0.27947443    0.021005463       0.229703    0.017335839     0.34791573    0.026342136
             64     0.26210596    0.020464419     0.21531916    0.016681667     0.32647911    0.026172523
             65     0.32210612    0.022550723     0.26186495    0.018386046     0.40678888    0.028617475
             66      0.4010537    0.025162931     0.32943593    0.020726314     0.49959916     0.03149755
             67     0.38526419    0.024763539     0.31642925    0.020355074     0.48001036    0.031168191
             68     0.44052749    0.026372278     0.36275302    0.021779065     0.54710448    0.032919528
             69     0.46579072     0.02711789     0.38118199    0.022268493     0.58331497    0.034158497
             70     0.48013465    0.027536408      0.3928928     0.02257982     0.60132405    0.034610038
             71     0.54315934    0.029283546     0.44320924    0.023951624     0.68276086     0.03695474
             72     0.52263297    0.028811462     0.42831369    0.023584421     0.65325486    0.036383253
             73     0.65368595    0.032125042     0.53719116     0.02645504     0.81409452    0.040151204
             74     0.71684402    0.033789003     0.59258111    0.028009221      0.8857098    0.042300944
             75     0.77052837    0.034878108     0.63238824    0.028688984      0.9613547    0.043679563
             76     0.80684426    0.035690499     0.66866222    0.029772526     0.99384618    0.044474215
             77     0.91737087     0.03818743     0.75699092    0.031483425      1.1363594    0.047703718
             78      1.0136869    0.040004483     0.83467083    0.033049439      1.2594912     0.04997844
             79      1.1352821    0.042336105     0.94214422    0.035278823      1.3959033    0.052434653
             80      1.2678981    0.044795947      1.0468398    0.037004995      1.5695049    0.055991836
             81      1.3866222    0.046900436      1.1470357    0.038781009      1.7123382    0.058542324
             82      1.4838612    0.048487488      1.2293309    0.040227887       1.828904    0.060110253
             83      1.7147572    0.052030302       1.429507     0.04360511      2.0961625    0.064203535
             84      1.9358291    0.055282926      1.6111565    0.046099539       2.371506    0.067953655
             85      2.2376427    0.059523491      1.8604231    0.049626611      2.7453063    0.073879169
             86      2.5596868    0.063610511      2.1253717    0.052926108         3.1456    0.078547641
             87      3.2185377    0.071289943      2.6844842    0.059604737       3.932214    0.087463131
             88      3.7787293    0.077302835      3.1496496     0.06453679       4.620735     0.09527764
