#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      129.57095     0.46203692      109.44009     0.39099585      155.71252     0.56283258
              1      380.41167     0.78992908      321.31146     0.66767352      457.16918     0.95761989
              2      616.87376      1.0087479      520.68497      0.8508953      742.00069      1.2269531
              3      823.52536      1.1477938      694.83135     0.96770813      991.10115      1.3929057
              4      991.57322      1.2564241      836.22317      1.0593746      1194.0691      1.5278277
              5      1119.5906      1.3285812      943.61678      1.1188373      1349.3004      1.6150181
              6      1209.0307      1.3755362      1018.5265      1.1593437      1457.9612      1.6753135
              7      1269.9448      1.4057095      1069.3672      1.1853512      1532.3156      1.7141236
              8      1294.6585      1.4191955      1089.9012      1.1958356      1562.6461      1.7309975
              9       1303.814       1.439954      1097.0085      1.2096954      1574.8314      1.7573548
             10      1292.9385      1.4169812      1087.6706      1.1937739      1562.0437      1.7309215
             11      1269.0985      1.4125812      1067.3093      1.1877092      1533.8338       1.723958
             12      1234.4058      1.3857932      1037.9915      1.1663796        1492.18      1.6923503
             13      1194.7487      1.3619639      1004.1628      1.1453596      1445.1551      1.6605608
             14      1147.1362      1.3331163        963.985      1.1256799      1387.8727      1.6372158
             15      1102.3978      1.3134606      926.16594      1.1034558      1334.1796      1.6027144
             16       1051.189      1.2832491      883.00648      1.0776622      1272.4758      1.5653491
             17      1004.9422      1.2595185      844.10185       1.057476      1216.6154      1.5390514
             18      955.84839      1.2194982      802.65948      1.0249173      1157.5778      1.4876704
             19      909.06515      1.1909339      763.26798      1.0054847      1101.1211      1.4668917
             20      861.94723      1.1591497      723.65693     0.97585651      1044.1575      1.4184168
             21      817.71635      1.1303235      686.35358     0.94996518      990.90079      1.3808463
             22      772.81625      1.0998939      648.57494     0.92381121      936.67379      1.3431263
             23      734.64205      1.0715174      616.50825     0.90035324      890.46955      1.3089302
             24      694.90583      1.0427441      583.09562     0.87614235      842.43795      1.2733741
             25        660.708      1.0183962      554.24391     0.85536016      801.27279        1.24556
             26      624.59601      0.9979366       523.8314     0.83685106      757.71373      1.2203136
             27      592.79864     0.96820749      497.12355     0.81258088      719.21369      1.1845157
             28      560.24575     0.93721239      469.85818     0.78678297      679.66396      1.1451273
             29      530.29372     0.91266745      444.60415      0.7660183       643.5702      1.1150971
             30      503.08747     0.88911344      421.66724     0.74588934      610.79611      1.0864432
             31       476.8195     0.86712282      399.68041     0.72730793      578.86122      1.0593271
             32      452.95006     0.84523245      379.59708     0.70895074      550.02244      1.0335569
             33      430.93302      0.8261148      361.13488     0.69279726      523.30246      1.0106397
             34      408.24306     0.80141044      341.93746      0.6722105      496.08969     0.98080682
             35      390.07425     0.78384252      326.89727     0.65846119      473.68537     0.96046327
             36      370.47149     0.76563543      310.33943     0.64231061      450.12294     0.93735767
             37      351.64293     0.76567153      294.50774     0.63995378      427.35942     0.94274701
             38      333.62546      0.7275324      279.40162     0.60983494      405.49006     0.89083694
             39      318.07116     0.71011155      266.31123     0.59548916      386.70271     0.87021922
             40      303.46779     0.69270039      254.05762     0.58075609      369.00123     0.84813687
             41      289.24555     0.67627573      242.09304     0.56682455      351.81721     0.82806909
             42      275.38628     0.65953514      230.47276     0.55259241      334.99572     0.80766937
             43      262.71193     0.64726901      219.84278     0.54206891      319.62212     0.79343718
             44      250.85545     0.63048869      209.95379     0.53186941      305.13824     0.78264213
             45      239.57883     0.61547272      200.44666     0.51681997       291.5485     0.75674379
             46      228.82353     0.60371219      191.38183     0.50557969      278.58065     0.74093901
             47       219.6982     0.58952879       183.7384     0.49368971      267.49072     0.72246912
             48      209.37849     0.57634893      174.96207     0.48230071      255.19557     0.70694879
             49      200.45652     0.57936791      167.54523     0.48385362      244.24592     0.71515996
             50      200.45652     0.57936791      167.54523     0.48385362      244.24592     0.71515996
