#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16.616731     0.16612823      13.872854     0.13861279      20.271846     0.20410429
              1      50.109068     0.28301778      41.906093      0.2368549      60.993073     0.34654725
              2       83.12471     0.36560928      69.525059     0.30581581      101.16433     0.44806139
              3      116.79494     0.43109528      97.725298     0.36102614      142.06648     0.52792587
              4      148.73939      0.4862964      124.43983     0.40708893      180.95065      0.5954139
              5      183.15138     0.54448862      153.25921     0.45534241      222.75204     0.66812093
              6      216.95253     0.59162093      181.47572     0.49501254      263.98458     0.72467139
              7      251.82821     0.63302773      210.81482     0.53028748      306.11411      0.7754579
              8      287.45497     0.68052435      240.47014     0.56899329      349.72818     0.83494211
              9      322.15806     0.71853303      269.53513     0.60132555      391.88967     0.88071348
             10      359.15069     0.75835212      300.57598     0.63547589      436.71278      0.9322949
             11      395.35672     0.80712787      330.74625     0.67413552      480.98722     0.99179304
             12      433.11518     0.83283439      362.37143     0.69696864      526.84502      1.0227279
             13      471.25075     0.86512764      394.45975     0.72692652      572.92025      1.0651263
             14      508.22064     0.89537238      425.31265     0.75054413       618.0325      1.0982553
             15      547.11056     0.93986574      457.78963     0.78604801      665.45219      1.1534761
             16      585.45118     0.96979226      490.01483     0.81197134      711.83227      1.1916485
             17      626.75216     0.99454579      524.55373     0.83294124      762.10341      1.2185497
             18      666.07461      1.0285619      557.61687     0.86343148      809.63926      1.2659072
             19      701.79419      1.0555224      587.55116     0.88522677      852.99998      1.2973939
             20      741.43713      1.0788001      620.86186     0.90406535      900.95483      1.3206543
             21      780.80821      1.1082196      654.05041     0.92916888      948.41452      1.3563432
             22      819.86482      1.1328827      687.16955     0.95085025      995.10598      1.3865231
             23      855.18644      1.1642972      716.70754     0.97537683      1038.1016      1.4265745
             24      892.65979       1.185228      748.39773     0.99476129      1083.0717      1.4500019
             25      927.53565      1.2068256      777.85856      1.0170329      1124.9515      1.4859844
             26      961.88798      1.2281016      806.58521      1.0304004      1166.7834      1.5014608
             27      992.83392      1.2452369      832.84963      1.0452904      1203.7332       1.521433
             28      1024.0657      1.2630103      859.23613      1.0607426      1241.2625      1.5431668
             29      1050.6897      1.2797365       881.6095      1.0744288      1273.4705      1.5625771
             30      1071.7871      1.2910307      899.39194      1.0858444      1298.9008      1.5791094
             31      1090.8328      1.3075974      915.50428      1.0977796      1321.7475      1.5968386
             32      1103.6438      1.3123692      926.37028      1.1031312      1337.0544      1.6061248
             33      1115.9312      1.3162765      936.66931      1.1061979      1351.9855      1.6080943
             34      1117.1201      1.3196749      937.58338      1.1087223      1353.5847      1.6128551
             35       1110.556      1.3248795      932.30624      1.1124889      1345.2051      1.6225739
             36      1095.3182      1.3052716      919.65265      1.0966775      1326.5118      1.5932693
             37      1067.6442      1.2936888      896.41886        1.08678      1293.0024      1.5785987
             38      1026.3351      1.2636621      862.03015      1.0639241       1242.427      1.5470276
             39      977.34222      1.2350976       820.8094      1.0405984      1183.2739       1.514486
             40      921.37217      1.2026293      773.99886      1.0116155      1115.1739      1.4705072
             41      856.54637      1.1589256      719.35306     0.97423635      1037.0874      1.4148569
             42      792.28155      1.1136214      665.56776     0.93656705      958.95809      1.3593044
             43      726.51242      1.0657251      610.39695     0.89609565      879.24045      1.2990873
             44      666.23944      1.0217752      559.72809     0.85934392      806.36819      1.2455325
             45      606.79993     0.97571728      509.87817     0.82038692      734.29269      1.1891391
             46      553.27292     0.93401818      464.96183     0.78557287      669.42205      1.1389466
             47      505.23602     0.89451522      424.55752     0.75317561      611.37773      1.0918771
             48      461.18123     0.85333828      387.45209     0.71747079      558.24098      1.0408156
             49      422.78399     0.84241018      355.27404     0.70607799      511.62535      1.0349192
             50      385.43516     0.78113491      323.85185     0.65688572      466.50438     0.95236658
             51      353.96637     0.74775257      297.46828     0.62907223      428.32887     0.91213276
             52      326.06506     0.72804926      274.06168     0.61440566      394.48974     0.89829327
             53      300.95278     0.69427467      252.82811     0.58322021      364.35768      0.8477187
             54      277.53794     0.66264667      233.19261     0.55851684      335.94725     0.81032703
             55      255.93502     0.63869297      215.02197     0.53674397      309.84318     0.77912047
             56      236.09971     0.61373462      198.35013     0.51585619      285.84705     0.74901478
             57      219.27708     0.60433411      184.12651     0.50631252      265.65097     0.73957686
             58       203.3103     0.56756343      170.79301     0.47745555       246.1781     0.69224403
             59      189.03933     0.54926674      158.73284     0.46153314      229.03425     0.67080446
             60      175.91773      0.5285282      147.74862     0.44456992       213.0813     0.64510039
             61      164.27572     0.51062736      137.88954     0.42906632      199.13169     0.62310433
             62      153.56644     0.49362242      128.97482     0.41529909      186.01969     0.60304016
             63      143.45619     0.47898699      120.42263     0.40243236      173.88397     0.58582611
             64      134.01897      0.4621237       112.5107     0.38826337      162.43487     0.56423084
             65      124.95857     0.44618572      104.80968     0.37453669      151.62268     0.54507328
             66      118.31652     0.43849885      99.205118     0.36746074      143.62651     0.53676608
             67      109.89862     0.42133717      92.196015     0.35333735      133.32489     0.51537592
             68      103.93383     0.40615763      87.144881     0.34099488       126.1756     0.49605519
             69      97.394502     0.39381596      81.734711     0.33092845      118.11007     0.48233329
             70      92.688651     0.38705239       77.70641     0.32448412      112.54435     0.47370204
             71      86.169209     0.37108504      72.256243     0.31142479      104.60063     0.45367981
             72      81.727949     0.36169686      68.517514      0.3034433      99.242374     0.44234828
             73      77.177273     0.35075214      64.672674     0.29432163      93.769213     0.42965903
             74      72.516391     0.34207625       60.74844     0.28657082      88.141518     0.41903694
             75       69.04997     0.33493451      57.832254     0.28042944      83.953028     0.41068608
             76      65.017428     0.32497215      54.460092     0.27209899      79.042571     0.39844442
             77      61.969614     0.33788371      51.918642     0.28027669      75.319086     0.41912414
             78      58.703166     0.30748962       49.15481     0.25773268      71.401232     0.37696339
             79       55.43808     0.29823143       46.47711     0.25051855      67.330534     0.36615605
             80      52.082068       0.289501      43.583199      0.2426523      63.397371     0.35541626
             81      49.777646     0.28894361      41.661532     0.24140485      60.579776     0.35543579
             82      47.021307     0.27487509      39.340736     0.23009998      57.251122     0.33723514
             83      45.022727     0.26807819      37.665033     0.22448658      54.825743     0.32918536
             84      43.334043     0.26387385      36.261025     0.22117215      52.755577     0.32396916
             85      41.158845     0.25836752      34.418865     0.21611225      50.145222     0.31789391
             86      38.457141     0.24810574      32.169675     0.20787309      46.837203     0.30475374
             87      36.523894     0.24227101      30.531759     0.20271456      44.521778      0.2975235
             88      34.917154     0.23599971      29.200816     0.19768328      42.538593     0.28955942
             89       33.71517     0.23922538      28.197627     0.19958886       41.07344     0.29497136
             90      32.119997     0.25490902       26.83982     0.21139535      39.171262     0.31549361
             91      30.628336     0.22163355      25.610277     0.18554362      37.326075     0.27254184
             92      29.262659      0.2165995      24.453606     0.18130493      35.686474     0.26645091
             93       28.42487     0.22503783      23.758509     0.18686104      34.655649     0.27887718
             94      26.837129      0.2099859      22.429935     0.17534374      32.722632     0.25839433
             95      25.214207     0.20402779      21.059706     0.17029314      30.768873     0.25135346
             96      24.278846     0.20103673      20.272134     0.16766871      29.636889     0.24773966
             97      23.105613     0.19196316      19.311731     0.16065335      28.171042     0.23567534
             98      22.375294      0.1885643      18.698015     0.15781981      27.290764     0.23142549
             99      21.400031     0.18559804      17.872782     0.15508183      26.117137     0.22833084
            100      21.400031     0.18559804      17.872782     0.15508183      26.117137     0.22833084
