# y_bbZ-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5     0.82105482     0.11385391     0.67332173    0.093394442      1.0233465     0.14198508
           -4.9      1.9736895     0.17652276       1.643916     0.14721594      2.4124006     0.21630229
           -4.8      5.9391865     0.30709503      4.9575274     0.25601477      7.2434714      0.3763947
           -4.7      17.969731     0.53264868      15.148945      0.4519607       21.64164     0.64887616
           -4.6      43.772741     0.83191113      36.858779     0.70091132      52.812491      1.0062265
           -4.5      93.035987      1.2139025      78.555021      1.0248225      111.84699      1.4649969
           -4.4      163.95271      1.6123044      138.62984      1.3637302       196.7602      1.9477103
           -4.3      288.08429      2.1369289      243.91494       1.809138      345.13814      2.5714007
           -4.2      438.71652      2.6368736      371.68472      2.2322915      525.20207      3.1717329
           -4.1      643.57581      3.1902142      545.85246      2.7057704      769.35329      3.8275747
             -4      890.77033      3.7568994      756.33606      3.1958329      1063.3546      4.5218597
           -3.9      1155.0231      4.2723601      981.05324      3.6290644      1378.2632      5.1221973
           -3.8      1461.9314      4.8040983      1241.6772      4.0847194      1744.7072      5.7676392
           -3.7      1774.1182      5.2923768      1507.5507       4.511166      2116.0353      6.3996287
           -3.6      2091.6655      5.7413253      1776.2268      4.8775048      2497.0624      6.8854709
           -3.5      2414.3979      6.1748424      2050.2727      5.2443152      2882.5406      7.4159705
           -3.4      2734.0216      6.5619309      2320.9228      5.5843583      3265.6795      7.9105368
           -3.3      3028.3643       6.912367      2569.6293      5.8664962      3619.5445      8.3158596
           -3.2      3293.9357      7.1986754      2794.0913      6.1106312      3938.7098      8.6644458
           -3.1      3533.6957       7.480732       2994.728       6.342628      4230.5804       9.027999
             -3      3760.7086      7.6920104      3186.7955      6.5229693      4503.0605      9.2784377
           -2.9      3942.4637      7.9499855      3339.2538      6.7546983      4723.6362      9.6930613
           -2.8      4106.9974      8.0495753      3474.8639       6.813205      4927.8399      9.7202022
           -2.7      4238.0638      8.1634291      3585.2971      6.9201545      5085.9311      9.8953066
           -2.6      4352.4097      8.3827852      3679.8355      7.0846048      5227.2333      10.167141
           -2.5      4430.7803       8.366358      3744.0201      7.0722844      5325.2023      10.128184
           -2.4      4531.4157       8.543281      3827.4402       7.205135      5449.1548      10.373599
           -2.3      4571.5798      8.4793107      3860.5422      7.1681011      5499.0429      10.285792
           -2.2       4624.068      8.5377708      3903.0644      7.2109448      5565.4874      10.353996
           -2.1      4668.6812       8.578361      3939.1277      7.2464133      5622.1031      10.423158
             -2      4676.5481      8.5881647      3944.4986      7.2532844       5633.969      10.447174
           -1.9      4728.1875      8.6289551      3986.6353      7.2802401       5698.743      10.486898
           -1.8      4733.9133      8.6276401      3990.9819      7.2797316      5706.4678      10.488124
           -1.7       4738.307      8.6395461      3992.6801       7.284916      5715.5408      10.503843
           -1.6      4753.8065      8.6718608       4003.765      7.3067893       5737.855      10.549979
           -1.5      4777.2179      8.6639385      4024.8719      7.3133755      5763.5005      10.557338
