qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

extrapolation  0.5            2                   dNNLO.QCD                                                            25573.07190 +-        81.61982
-----------------------------------------------------------------------------------------------------------------------------------------------------
extrapolation  0.5            2                   NNLO.QT-CS.42            woVT2                                        7449.25424 +-        74.25979
independent    0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
independent    0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
independent    0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
independent    0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

extrapolation  1              1                   dNNLO.QCD                                                            23691.22923 +-        50.79324
-----------------------------------------------------------------------------------------------------------------------------------------------------
extrapolation  1              1                   NNLO.QT-CS.42            woVT2                                        6367.84530 +-        46.04981
independent    1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
independent    1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
independent    1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
independent    1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

extrapolation  2              0.5                 dNNLO.QCD                                                            21366.85218 +-        32.90731
-----------------------------------------------------------------------------------------------------------------------------------------------------
extrapolation  2              0.5                 NNLO.QT-CS.42            woVT2                                        5466.28981 +-        29.62860
independent    2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
independent    2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
independent    2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
independent    2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.01           0.5            2                   dNNLO.QCD                                                            25518.86862 +-        55.00648
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           0.5            2                   NNLO.QT-CS.42            woVT2                                        7395.05097 +-        43.34091
0.01           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.01           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.01           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.01           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.01           1              1                   dNNLO.QCD                                                            23658.13955 +-        34.30458
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           1              1                   NNLO.QT-CS.42            woVT2                                        6334.75563 +-        26.78499
0.01           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.01           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.01           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.01           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.01           2              0.5                 dNNLO.QCD                                                            21345.89914 +-        22.55910
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           2              0.5                 NNLO.QT-CS.42            woVT2                                        5445.33677 +-        17.43205
0.01           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.01           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.01           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.01           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.02           0.5            2                   dNNLO.QCD                                                            25533.03484 +-        46.33695
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           0.5            2                   NNLO.QT-CS.42            woVT2                                        7409.21719 +-        31.62017
0.02           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.02           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.02           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.02           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.02           1              1                   dNNLO.QCD                                                            23668.72536 +-        29.22728
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           1              1                   NNLO.QT-CS.42            woVT2                                        6345.34144 +-        19.87122
0.02           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.02           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.02           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.02           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.02           2              0.5                 dNNLO.QCD                                                            21353.87215 +-        19.49483
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           2              0.5                 NNLO.QT-CS.42            woVT2                                        5453.30978 +-        13.22920
0.02           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.02           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.02           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.02           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.03           0.5            2                   dNNLO.QCD                                                            25519.71082 +-        43.90068
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           0.5            2                   NNLO.QT-CS.42            woVT2                                        7395.89317 +-        27.92835
0.03           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.03           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.03           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.03           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.03           1              1                   dNNLO.QCD                                                            23662.59091 +-        27.92005
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           1              1                   NNLO.QT-CS.42            woVT2                                        6339.20698 +-        17.89302
0.03           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.03           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.03           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.03           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.03           2              0.5                 dNNLO.QCD                                                            21351.37335 +-        18.78551
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           2              0.5                 NNLO.QT-CS.42            woVT2                                        5450.81099 +-        12.15971
0.03           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.03           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.03           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.03           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.04           0.5            2                   dNNLO.QCD                                                            25495.25118 +-        42.52043
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           0.5            2                   NNLO.QT-CS.42            woVT2                                        7371.43352 +-        25.70427
0.04           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.04           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.04           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.04           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.04           1              1                   dNNLO.QCD                                                            23647.32396 +-        27.02739
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              1                   NNLO.QT-CS.42            woVT2                                        6323.94003 +-        16.46545
0.04           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.04           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.04           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.04           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.04           2              0.5                 dNNLO.QCD                                                            21341.44744 +-        18.17368
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           2              0.5                 NNLO.QT-CS.42            woVT2                                        5440.88508 +-        11.19133
0.04           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.04           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.04           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.04           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.05           0.5            2                   dNNLO.QCD                                                            25467.73094 +-        41.08896
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           0.5            2                   NNLO.QT-CS.42            woVT2                                        7343.91328 +-        23.25995
0.05           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.05           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.05           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.05           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.05           1              1                   dNNLO.QCD                                                            23632.03421 +-        26.22035
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           1              1                   NNLO.QT-CS.42            woVT2                                        6308.65028 +-        15.10423
0.05           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.05           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.05           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
