            bin (y_lp)   qTcut           order/list                                                                 dsigma +-            error

        -5        -4.9   independent     NLO.QCD                                                                     15.9431376 +-        0.0367442
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   independent     LO.22                                                                        5.0255791 +-        0.0116474
        -5        -4.9   independent     NLO.CS.32                                                                   10.9175585 +-        0.0348493

      -4.9        -4.8   independent     NLO.QCD                                                                     19.5512813 +-        0.0405777
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.9        -4.8   independent     LO.22                                                                        6.2007972 +-        0.0127681
      -4.9        -4.8   independent     NLO.CS.32                                                                   13.3504841 +-        0.0385165

      -4.8        -4.7   independent     NLO.QCD                                                                     24.1411932 +-        0.0446423
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   independent     LO.22                                                                        7.7287477 +-        0.0141770
      -4.8        -4.7   independent     NLO.CS.32                                                                   16.4124455 +-        0.0423314

      -4.7        -4.6   independent     NLO.QCD                                                                     29.8320415 +-        0.0513478
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   independent     LO.22                                                                        9.6293442 +-        0.0156768
      -4.7        -4.6   independent     NLO.CS.32                                                                   20.2026973 +-        0.0488962

      -4.6        -4.5   independent     NLO.QCD                                                                     36.6681980 +-        0.0585795
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.6        -4.5   independent     LO.22                                                                       11.9186801 +-        0.0173089
      -4.6        -4.5   independent     NLO.CS.32                                                                   24.7495179 +-        0.0559639

      -4.5        -4.4   independent     NLO.QCD                                                                     45.0288196 +-        0.0621718
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.5        -4.4   independent     LO.22                                                                       14.7972722 +-        0.0192386
      -4.5        -4.4   independent     NLO.CS.32                                                                   30.2315474 +-        0.0591203

      -4.4        -4.3   independent     NLO.QCD                                                                     55.0163584 +-        0.0661815
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.4        -4.3   independent     LO.22                                                                       18.2797912 +-        0.0213765
      -4.4        -4.3   independent     NLO.CS.32                                                                   36.7365672 +-        0.0626341

      -4.3        -4.2   independent     NLO.QCD                                                                     66.9211755 +-        0.0743255
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.3        -4.2   independent     LO.22                                                                       22.4204135 +-        0.0237061
      -4.3        -4.2   independent     NLO.CS.32                                                                   44.5007620 +-        0.0704436

      -4.2        -4.1   independent     NLO.QCD                                                                     80.7839253 +-        0.0817228
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.2        -4.1   independent     LO.22                                                                       27.3808035 +-        0.0263001
      -4.2        -4.1   independent     NLO.CS.32                                                                   53.4031218 +-        0.0773752

      -4.1          -4   independent     NLO.QCD                                                                     96.8845849 +-        0.0877549
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.1          -4   independent     LO.22                                                                       33.1261970 +-        0.0290635
      -4.1          -4   independent     NLO.CS.32                                                                   63.7583879 +-        0.0828024

        -4        -3.9   independent     NLO.QCD                                                                     115.191745 +-         0.095821
---------------------------------------------------------------------------------------------------------------------------------------------------
        -4        -3.9   independent     LO.22                                                                        39.825098 +-         0.032088
        -4        -3.9   independent     NLO.CS.32                                                                    75.366647 +-         0.090288

      -3.9        -3.8   independent     NLO.QCD                                                                     135.687012 +-         0.105476
---------------------------------------------------------------------------------------------------------------------------------------------------
      -3.9        -3.8   independent     LO.22                                                                        47.219479 +-         0.035188
      -3.9        -3.8   independent     NLO.CS.32                                                                    88.467533 +-         0.099433

      -3.8        -3.7   independent     NLO.QCD                                                                     158.385977 +-         0.114200
---------------------------------------------------------------------------------------------------------------------------------------------------
      -3.8        -3.7   independent     LO.22                                                                        55.563586 +-         0.038477
      -3.8        -3.7   independent     NLO.CS.32                                                                   102.822391 +-         0.107522

      -3.7        -3.6   independent     NLO.QCD                                                                     182.731486 +-         0.123146
---------------------------------------------------------------------------------------------------------------------------------------------------
      -3.7        -3.6   independent     LO.22                                                                        64.692566 +-         0.041875
      -3.7        -3.6   independent     NLO.CS.32                                                                   118.038920 +-         0.115808

      -3.6        -3.5   independent     NLO.QCD                                                                     209.156626 +-         0.139920
---------------------------------------------------------------------------------------------------------------------------------------------------
      -3.6        -3.5   independent     LO.22                                                                        74.538007 +-         0.045306
      -3.6        -3.5   independent     NLO.CS.32                                                                   134.618619 +-         0.132382

