#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           133.71404       0.728106        115.00536       0.512879        156.76304        1.09768       -13.99%     17.24%
           5           405.06014        1.39992        348.06249        1.07884        474.56050        2.07172       -14.07%     17.16%
          10           704.58521        2.18551        604.91586        1.53854        828.05084        3.27028       -14.15%     17.52%
          15           1002.7562        2.11132        862.34049        1.50533        1175.6767        3.12864       -14.00%     17.24%
          20           1309.2467        2.44584        1126.0430        1.57840        1534.8109        3.77192       -13.99%     17.23%
          25           1585.4231        2.84127        1367.4555        1.98198        1853.1624        4.31525       -13.75%     16.89%
          30           1767.7041        2.91701        1532.7439        2.05835        2052.6431        4.37798       -13.29%     16.12%
          35           1707.3010        3.07405        1487.0012        2.14132        1971.7823        4.67182       -12.90%     15.49%
          40           1268.2675        2.23653        1101.2773        1.57246        1470.1943        3.37196       -13.17%     15.92%
          45           800.07563        1.59883        688.80050        1.14986        937.23350        2.34573       -13.91%     17.14%
          50           511.94297        1.23068        437.50289       0.865000        605.12186        1.86274       -14.54%     18.20%
          55           344.55550       0.870518        292.92928       0.633315        409.81057        1.26704       -14.98%     18.94%
          60           243.24264       0.846472        205.91929       0.604588        290.82042        1.25273       -15.34%     19.56%
          65           176.13035       0.616804        148.65833       0.477266        211.07262       0.891735       -15.60%     19.84%
          70           131.19731       0.639724        110.58595       0.456701        157.62815       0.940917       -15.71%     20.15%
          75           100.01497       0.500144        84.218737       0.360676        120.29133       0.729067       -15.79%     20.27%
          80           77.951188       0.422268        65.475136       0.303393        94.047444       0.618834       -16.00%     20.65%
          85           61.121648       0.381136        51.348227       0.275577        73.719078       0.554290       -15.99%     20.61%
          90           48.535531       0.311341        40.791187       0.225929        58.491069       0.448461       -15.96%     20.51%
          95           39.683942       0.366731        33.198008       0.268003        48.127501       0.521244       -16.34%     21.28%
         100           31.734558       0.245504        26.560086       0.180009        38.449042       0.350331       -16.31%     21.16%
         105           26.255134       0.242944        21.939004       0.175991        31.860902       0.350388       -16.44%     21.35%
