#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
          -5           295.04440        15.7447        264.76178        11.3574        330.09417        22.5981       -10.26%     11.88%
        -4.9           334.57539        9.65289        303.00566        6.85260        370.63719        14.3861        -9.44%     10.78%
        -4.8           420.46687        17.8306        374.13095        12.3878        475.02609        26.2616       -11.02%     12.98%
        -4.7           438.18581        13.0960        398.23650        9.43255        483.59940        19.0253        -9.12%     10.36%
        -4.6           499.69026        19.0683        457.34504        13.7393        544.80895        27.5610        -8.47%      9.03%
        -4.5           530.13799        15.0189        488.52512        10.8857        574.07232        21.8490        -7.85%      8.29%
        -4.4           633.86018        18.3519        581.65575        13.0840        688.45646        26.9550        -8.24%      8.61%
        -4.3           719.19798        27.1796        654.69435        19.4891        792.06404        39.3563        -8.97%     10.13%
        -4.2           741.22632        21.9699        684.27082        15.8177        801.36429        31.7814        -7.68%      8.11%
        -4.1           892.65073        20.1380        812.41925        14.5125        983.98709        29.2190        -8.99%     10.23%
          -4           911.91173        25.4780        843.64534        18.0293        981.50970        37.6968        -7.49%      7.63%
        -3.9           1052.1560        20.6948        958.37835        14.9595        1159.6961        29.9773        -8.91%     10.22%
        -3.8           1100.3489        19.1133        1010.4852        13.5406        1197.5918        27.7595        -8.17%      8.84%
        -3.7           1215.4467        16.8473        1114.5196        12.2403        1325.6009        24.5028        -8.30%      9.06%
        -3.6           1263.7325        20.2269        1164.6177        14.6643        1366.9191        29.3198        -7.84%      8.17%
        -3.5           1401.4579        24.6713        1283.3074        17.8450        1529.4471        35.7285        -8.43%      9.13%
        -3.4           1504.8936        25.1001        1374.6045        18.0463        1649.8090        36.5427        -8.66%      9.63%
        -3.3           1673.5633        34.2657        1517.6656        24.3418        1852.6624        50.3014        -9.32%     10.70%
        -3.2           1724.4936        24.4727        1571.3895        17.8310        1893.8551        35.1860        -8.88%      9.82%
        -3.1           1835.4315        21.0974        1669.6508        15.3702        2021.2526        30.5168        -9.03%     10.12%
          -3           1951.9070        21.9203        1771.3854        16.1056        2155.9383        31.4441        -9.25%     10.45%
        -2.9           2048.7677        25.1446        1857.7878        18.3693        2265.0317        36.0100        -9.32%     10.56%
        -2.8           2164.3053        26.6555        1961.5852        19.3081        2393.6796        38.4949        -9.37%     10.60%
        -2.7           2309.1649        23.5161        2083.5054        17.1115        2569.4338        33.9875        -9.77%     11.27%
        -2.6           2379.9400        23.3056        2149.9862        17.2711        2642.0614        33.0729        -9.66%     11.01%
        -2.5           2482.2593        23.1753        2238.9899        16.8638        2763.4139        33.5802        -9.80%     11.33%
        -2.4           2642.0119        22.5847        2374.9203        16.6200        2953.1840        32.2482       -10.11%     11.78%
        -2.3           2674.6420        23.5972        2416.2211        17.3419        2966.5933        33.7650        -9.66%     10.92%
        -2.2           2794.5444        22.3507        2520.2036        16.4453        3105.6748        32.0082        -9.82%     11.13%
        -2.1           2934.5881        34.2676        2636.3123        24.4620        3276.8750        50.1550       -10.16%     11.66%
          -2           2983.0528        31.8960        2683.4697        22.8774        3313.6923        44.0384       -10.04%     11.08%
        -1.9           3020.3764        30.5295        2724.6731        22.3667        3351.1899        43.5726        -9.79%     10.95%
        -1.8           3175.9486        22.8403        2854.7502        16.8970        3541.2034        32.4414       -10.11%     11.50%
        -1.7           3301.2723        29.0599        2957.8043        21.2482        3695.6614        41.5450       -10.40%     11.95%
        -1.6           3381.4147        23.2755        3026.5029        17.2832        3789.4620        32.9280       -10.50%     12.07%
        -1.5           3461.0115        25.2198        3097.0054        18.6163        3880.1956        35.8073       -10.52%     12.11%
        -1.4           3557.4782        27.5602        3175.5419        20.1794        4000.4840        39.4063       -10.74%     12.45%
        -1.3           3584.5248        23.7641        3209.7169        17.5820        4012.0917        33.7352       -10.46%     11.93%
        -1.2           3608.1691        29.9196        3231.8841        21.9706        4036.0512        42.5752       -10.43%     11.86%
        -1.1           3757.2044        26.4968        3355.2926        19.4961        4220.1413        37.7289       -10.70%     12.32%
          -1           3825.8162        29.9452        3405.7848        21.4690        4314.1438        43.5840       -10.98%     12.76%
        -0.9           3828.4520        23.5988        3419.0910        17.5724        4297.5624        33.2927       -10.69%     12.25%
        -0.8           3896.7205        27.0393        3476.9743        20.1404        4379.2276        37.9606       -10.77%     12.38%
        -0.7           3940.3007        31.2254        3514.2018        22.9606        4429.7011        44.2564       -10.81%     12.42%
        -0.6           3949.4442        23.9560        3522.4769        17.7157        4439.3255        33.9885       -10.81%     12.40%
        -0.5           4011.8381        24.2789        3574.7086        18.0312        4515.1470        34.3268       -10.90%     12.55%
        -0.4           4008.3797        26.5986        3573.5827        19.6051        4512.1147        34.3475       -10.85%     12.57%
        -0.3           4073.1477        28.2524        3618.7357        18.6026        4598.4429        40.8590       -11.16%     12.90%
        -0.2           4068.2630        25.9111        3626.6421        19.0740        4582.4045        40.6730       -10.86%     12.64%
        -0.1           4087.8708        23.1091        3639.3758        17.2013        4606.1891        32.6121       -10.97%     12.68%
           0           4088.8838        23.1016        3640.1955        17.1903        4607.5141        32.6105       -10.97%     12.68%
         0.1           4067.3631        25.8404        3626.0354        19.0565        4580.1400        40.5160       -10.85%     12.61%
         0.2           4061.8266        24.5503        3614.2216        18.2114        4579.4627        34.6687       -11.02%     12.74%
         0.3           4003.7591        27.0990        3570.4287        19.8850        4500.2660        38.6425       -10.82%     12.40%
         0.4           4011.0735        24.5428        3574.0904        18.1905        4514.1613        34.7570       -10.89%     12.54%
         0.5           3958.3716        24.7381        3528.4864        18.2061        4453.1326        35.2605       -10.86%     12.50%
         0.6           3950.4044        32.1499        3520.8963        23.4460        4445.6328        46.0727       -10.87%     12.54%
         0.7           3898.0619        26.0290        3477.3858        19.3574        4382.3659        36.6458       -10.79%     12.42%
         0.8           3833.4496        24.0074        3422.5225        17.8356        4305.1230        33.9674       -10.72%     12.30%
         0.9           3820.6913        29.7743        3402.1435        19.2772        4306.7461        43.2825       -10.95%     12.72%
           1           3758.8413        25.6219        3355.9137        18.8861        4223.5511        36.4137       -10.72%     12.36%
         1.1           3605.7513        29.1727        3230.4478        21.4783        4032.0233        41.3821       -10.41%     11.82%
         1.2           3584.5438        23.8423        3209.4444        17.6149        4012.7799        33.9270       -10.46%     11.95%
         1.3           3552.1290        27.1586        3171.9330        19.9145        3992.0864        38.7563       -10.70%     12.39%
         1.4           3469.0180        27.9002        3099.4670        18.6871        3892.6980        39.8542       -10.65%     12.21%
         1.5           3401.5162        26.4246        3040.6786        19.4032        3819.1254        37.7109       -10.61%     12.28%
         1.6           3301.9529        30.4183        2958.0662        22.0187        3696.9773        44.0027       -10.41%     11.96%
         1.7           3180.1444        22.9915        2857.4498        16.9608        3547.9708        32.7616       -10.15%     11.57%
         1.8           3019.5197        30.5639        2724.1855        21.5249        3349.9000        43.5548        -9.78%     10.94%
         1.9           2963.5795        30.0355        2669.7595        21.5791        3295.3383        43.6980        -9.91%     11.19%
           2           2939.1860        33.0789        2639.5615        23.5245        3283.6040        48.5990       -10.19%     11.72%
         2.1           2792.1815        22.4046        2518.6690        16.4821        3101.7762        32.1235        -9.80%     11.09%
         2.2           2670.4557        26.3489        2414.0460        19.1636        2958.5906        38.0850        -9.60%     10.79%
         2.3           2636.6984        22.8269        2371.2657        16.7882        2945.2065        32.6100       -10.07%     11.70%
         2.4           2482.1440        23.7609        2239.1260        17.1677        2762.8553        34.6754        -9.79%     11.31%
         2.5           2378.5250        22.9584        2149.1499        16.9743        2639.6604        32.6987        -9.64%     10.98%
         2.6           2304.7631        25.0437        2080.3402        18.3501        2562.9549        35.8450        -9.74%     11.20%
         2.7           2169.2349        26.9007        1964.8442        19.4549        2401.4059        38.9146        -9.42%     10.70%
         2.8           2043.7533        25.4079        1854.9912        18.5418        2255.6006        36.4481        -9.24%     10.37%
         2.9           1957.1647        21.9114        1774.8785        16.0695        2164.2232        31.5089        -9.31%     10.58%
           3           1833.0666        21.0705        1667.9729        15.3633        2017.8511        30.4456        -9.01%     10.08%
